sweep,filter,domain,K,n_total,n_pred,coverage,mae_lo,mae_hi
K,global_median,drugs,1,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,1,1719,1719,1.0,17.472949389179757,26.16346713205352
K,global_median,drugs,3,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,3,1719,1719,1.0,17.472949389179757,26.16346713205352
K,global_median,drugs,5,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,5,1719,1719,1.0,17.472949389179757,26.16346713205352
K,global_median,drugs,10,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,10,1719,1719,1.0,17.472949389179757,26.16346713205352
K,global_median,drugs,15,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,15,1719,1719,1.0,17.472949389179757,26.16346713205352
K,global_median,drugs,20,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,20,1719,1719,1.0,17.472949389179757,26.16346713205352
K,global_median,drugs,30,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,30,1719,1719,1.0,17.472949389179757,26.16346713205352
K,global_median,drugs,50,2713,2713,1.0,8.496129745669002,13.978621452266863
K,global_median,weapon,50,1719,1719,1.0,17.472949389179757,26.16346713205352
K,random,drugs,1,2713,2713,1.0,12.843346848507188,20.594913380022117
K,random,weapon,1,1719,1719,1.0,28.234438627108783,42.11983711460151
K,random,drugs,3,2713,2713,1.0,10.305565794323627,16.762255805381496
K,random,weapon,3,1719,1719,1.0,21.675974403723096,32.311227457824316
K,random,drugs,5,2713,2713,1.0,9.636933284187247,15.856247696277183
K,random,weapon,5,1719,1719,1.0,19.56544502617801,29.31413612565445
K,random,drugs,10,2713,2713,1.0,8.984518982676004,14.966089200147438
K,random,weapon,10,1719,1719,1.0,18.38307155322862,27.356893542757415
K,random,drugs,15,2713,2713,1.0,8.898267600442315,14.711389605602655
K,random,weapon,15,1719,1719,1.0,18.21349621873182,26.969749854566608
K,random,drugs,20,2713,2713,1.0,8.795982307408773,14.504791743457428
K,random,weapon,20,1719,1719,1.0,18.008726003490402,26.71407795229785
K,random,drugs,30,2713,2713,1.0,8.678031699225949,14.35680058975304
K,random,weapon,30,1719,1719,1.0,17.760325770796975,26.41128563118092
K,random,drugs,50,2713,2713,1.0,8.617029119056395,14.149465536306671
K,random,weapon,50,1719,1719,1.0,17.67917393833624,26.44909831297266
K,random_llm,drugs,1,2713,2554,0.9413932915591596,7.976507439310885,12.568128425998434
K,random_llm,weapon,1,1719,1700,0.9889470622454916,18.321176470588235,27.36294117647059
K,random_llm,drugs,3,2713,2554,0.9413932915591596,6.840250587314017,10.938332028191073
K,random_llm,weapon,3,1719,1700,0.9889470622454916,14.986176470588235,21.87205882352941
