sweep,filter,domain,source_frac,n_total,n_pred,coverage,mae_lo,mae_hi
source,global_median,drugs,0.25,2516,2516,1.0,8.483306836248012,14.07154213036566
source,global_median,weapon,0.25,1688,1688,1.0,17.485189573459717,26.20675355450237
source,global_median,drugs,0.5,2516,2516,1.0,8.483306836248012,14.07154213036566
source,global_median,weapon,0.5,1688,1688,1.0,17.485189573459717,26.20675355450237
source,global_median,drugs,0.75,2516,2516,1.0,8.483306836248012,14.07154213036566
source,global_median,weapon,0.75,1688,1688,1.0,17.485189573459717,26.20675355450237
source,global_median,drugs,1.0,2516,2516,1.0,8.483306836248012,14.07154213036566
source,global_median,weapon,1.0,1688,1688,1.0,17.485189573459717,26.20675355450237
source,random,drugs,0.25,2516,2516,1.0,9.010532591414945,15.169912559618442
source,random,weapon,0.25,1688,1688,1.0,18.347748815165875,27.395438388625593
source,random,drugs,0.5,2516,2516,1.0,9.15043720190779,15.331279809220986
source,random,weapon,0.5,1688,1688,1.0,18.610485781990523,27.82079383886256
source,random,drugs,0.75,2516,2516,1.0,8.993243243243244,15.00775039745628
source,random,weapon,0.75,1688,1688,1.0,18.338862559241708,27.53080568720379
source,random,drugs,1.0,2516,2516,1.0,9.07889507154213,15.294515103338632
source,random,weapon,1.0,1688,1688,1.0,18.566943127962084,27.476303317535546
source,random_llm,drugs,0.25,2516,2308,0.9173290937996821,6.557409012131716,10.479202772963605
source,random_llm,weapon,0.25,1688,1647,0.9757109004739336,14.659684274438373,21.58834244080146
source,random_llm,drugs,0.5,2516,2331,0.9264705882352942,6.612183612183612,10.578507078507078
source,random_llm,weapon,0.5,1688,1650,0.9774881516587678,15.148181818181818,22.07151515151515
source,random_llm,drugs,0.75,2516,2312,0.918918918918919,6.643166089965398,10.668685121107266
source,random_llm,weapon,0.75,1688,1658,0.9822274881516587,14.833835946924005,21.49788902291918
source,random_llm,drugs,1.0,2516,2350,0.9340222575516693,6.5212765957446805,10.407659574468084
source,random_llm,weapon,1.0,1688,1660,0.9834123222748815,14.628915662650602,21.063855421686746
source,citation_all,drugs,0.25,2516,1893,0.7523847376788553,7.058372952984681,10.963285789751717
source,citation_all,weapon,0.25,1688,1471,0.8714454976303317,15.847722637661455,23.729435757987762
source,citation_all,drugs,0.5,2516,2063,0.8199523052464229,6.686621425109064,10.405962190984004
source,citation_all,weapon,0.5,1688,1552,0.919431279620853,15.636920103092784,23.06346649484536
source,citation_all,drugs,0.75,2516,2138,0.8497615262321144,6.689195509822264,10.458372310570626
source,citation_all,weapon,0.75,1688,1586,0.9395734597156398,15.41172761664565,22.815258511979824
source,citation_all,drugs,1.0,2516,2176,0.8648648648648649,6.683134191176471,10.394761029411764
source,citation_all,weapon,1.0,1688,1605,0.9508293838862559,16.01651090342679,23.541121495327104
source,citation_all_llm,drugs,0.25,2516,1893,0.7523847376788553,6.425515055467512,9.836238774432118
source,citation_all_llm,weapon,0.25,1688,1471,0.8714454976303317,13.782800815771584,20.627124405166555
source,citation_all_llm,drugs,0.5,2516,2063,0.8199523052464229,5.959524963645177,9.229035385361124
source,citation_all_llm,weapon,0.5,1688,1552,0.919431279620853,13.04188144329897,19.021907216494846
source,citation_all_llm,drugs,0.75,2516,2138,0.8497615262321144,5.715154349859682,8.88376987839102
source,citation_all_llm,weapon,0.75,1688,1586,0.9395734597156398,12.437894073139974,18.165510718789406
source,citation_all_llm,drugs,1.0,2516,2176,0.8648648648648649,5.494944852941177,8.547334558823529
source,citation_all_llm,weapon,1.0,1688,1605,0.9508293838862559,12.51214953271028,18.349532710280375
source,supervised,drugs,0.25,2516,2516,1.0,6.078497615262322,9.748012718600954
source,supervised,weapon,0.25,1688,1688,1.0,14.238744075829384,21.335308056872037
source,supervised,drugs,0.5,2516,2516,1.0,6.044515103338632,9.766494435612083
source,supervised,weapon,0.5,1688,1688,1.0,13.93335308056872,20.82553317535545
source,supervised,drugs,0.75,2516,2516,1.0,6.049483306836248,9.779411764705882
source,supervised,weapon,0.75,1688,1688,1.0,13.990817535545023,20.91291469194313
source,supervised,drugs,1.0,2516,2516,1.0,6.048092209856915,9.743640699523052
source,supervised,weapon,1.0,1688,1688,1.0,13.810426540284361,20.53436018957346
source,supervised_llm,drugs,0.25,2516,2516,1.0,5.905206677265501,9.498211446740859
source,supervised_llm,weapon,0.25,1688,1688,1.0,13.185722748815166,19.58945497630332
source,supervised_llm,drugs,0.5,2516,2516,1.0,5.826510333863275,9.492050874403816
source,supervised_llm,weapon,0.5,1688,1688,1.0,13.305983412322275,19.494964454976305
source,supervised_llm,drugs,0.75,2516,2516,1.0,5.817368839427663,9.520866454689983
source,supervised_llm,weapon,0.75,1688,1688,1.0,13.191350710900474,19.6146327014218
source,supervised_llm,drugs,1.0,2516,2516,1.0,5.832869634340223,9.480723370429253
source,supervised_llm,weapon,1.0,1688,1688,1.0,12.954087677725118,19.190462085308056
source,llm_top,drugs,0.25,2516,2516,1.0,5.3124006359300475,8.29014308426073
source,llm_top,weapon,0.25,1688,1688,1.0,12.479857819905213,17.96978672985782
source,llm_top,drugs,0.5,2516,2516,1.0,5.232114467408585,8.330683624801273
source,llm_top,weapon,0.5,1688,1688,1.0,12.081161137440759,17.462381516587676
source,llm_top,drugs,0.75,2516,2516,1.0,5.178855325914149,8.175675675675675
source,llm_top,weapon,0.75,1688,1688,1.0,11.925947867298579,17.32553317535545
source,llm_top,drugs,1.0,2516,2516,1.0,5.129173290937997,8.04829093799682
source,llm_top,weapon,1.0,1688,1688,1.0,11.800355450236967,17.106931279620852
