query,neighbor,low,high
תפ_34581-05-24,תפ_61816-07-23,6.0,18.0
תפ_34581-05-24,תפ_27961-04-18,6.0,18.0
תפ_34581-05-24,תפ_31579-08-23,7.0,17.0
תפ_34581-05-24,תפק_29591-10-20,8.0,20.0
תפ_34581-05-24,תפ_42003-03-20,9.0,18.0
תפ_34581-05-24,תפ_42516-05-24,9.0,18.0
תפ_34581-05-24,תפ_59541-10-18,9.0,18.0
תפ_34581-05-24,תפ_20931-12-20,10.0,20.0
תפ_34581-05-24,תפ_50359-08-19,10.0,20.0
תפ_34581-05-24,תפ_59067-03-21,10.0,27.0
תפ_34581-05-24,תפ_46424-05-24,10.0,24.0
תפ_34581-05-24,תפ_27952-06-19,12.0,24.0
תפ_34581-05-24,תפ_28565-05-24,12.0,26.0
תפ_34581-05-24,תפ_1062-08-22,12.0,24.0
תפ_34581-05-24,תפ_43884-01-23,12.0,24.0
תפ_34581-05-24,תפ_39308-05-15,12.0,24.0
תפ_34581-05-24,תפ_34232-05-24,14.0,28.0
תפ_34581-05-24,תפ_39019-05-15,15.0,30.0
תפ_34581-05-24,תפ_45644-11-22,16.0,36.0
תפ_34581-05-24,תפ_12265-09-24,16.0,36.0
תפ_34581-05-24,תפ_1387-01-22,18.0,36.0
תפ_34581-05-24,תפ_57006-11-23,18.0,36.0
תפ_34581-05-24,תפ_1606-02-24,18.0,42.0
תפ_34581-05-24,תפ_55035-10-18,18.0,48.0
תפ_34581-05-24,תפ_23408-05-15,24.0,40.0
תפ_34581-05-24,תפ_5778-09-20,27.0,54.0
תפ_34581-05-24,תפ_23142-09-14,36.0,72.0
תפ_34581-05-24,תפ_60295-03-22,40.0,60.0
תפ_69925-03-23,תפ_16779-09-22,14.0,34.0
תפ_69925-03-23,תפ_28100-07-20,14.0,36.0
תפ_69925-03-23,תפ_811-04-23,15.0,26.0
תפ_69925-03-23,תפ_46737-07-22,16.0,36.0
תפ_69925-03-23,תפ_3537-01-23,16.0,30.0
תפ_69925-03-23,תפ_10205-08-21,18.0,34.0
תפ_69925-03-23,תפ_45226-12-22,18.0,40.0
תפ_69925-03-23,תפ_17573-10-22,20.0,36.0
תפ_69925-03-23,תפ_28148-07-20,24.0,54.0
תפ_69925-03-23,תפ_35473-12-21,24.0,45.0
תפ_69925-03-23,תפ_7089-08-23,28.0,50.0
תפ_69925-03-23,תפ_46916-07-22,28.0,52.0
תפ_69925-03-23,תפ_58027-12-21,28.0,50.0
תפ_69925-03-23,תפ_35431-03-21,28.0,50.0
תפ_69925-03-23,תפ_63355-02-23,30.0,50.0
תפ_69925-03-23,תפ_53339-09-22,30.0,60.0
תפ_69925-03-23,תפ_13995-12-22,30.0,60.0
תפ_69925-03-23,תפ_57526-07-21,30.0,50.0
תפ_69925-03-23,תפ_44456-12-23,30.0,50.0
תפ_69925-03-23,תפ_27986-11-22,32.0,54.0
תפ_69925-03-23,תפ_28991-04-22,32.0,48.0
תפ_69925-03-23,תפ_37966-04-23,32.0,54.0
תפ_69925-03-23,תפ_4088-10-20,34.0,60.0
תפ_69925-03-23,תפ_395-05-17,36.0,72.0
תפ_69925-03-23,תפ_69945-03-23,38.0,60.0
תפ_69925-03-23,תפ_34669-01-23,42.0,50.0
תפ_69925-03-23,תפ_4734-12-22,42.0,84.0
תפ_69925-03-23,תפ_36287-01-22,48.0,84.0
תפ_69925-03-23,תפ_40811-07-23,54.0,90.0
תפ_69925-03-23,תפ_26702-01-23,60.0,96.0
תפ_69925-03-23,תפח_53498-02-20,120.0,156.0
