query,domain,true_low,n,nb_min,nb_max,nb_median,nb_std,nb_iqr,nb_spread
תפ_13781-01-24,drugs,9.0,120,0.0,60.0,7.0,8.650044155314404,10.0,60.0
תפ_23062-12-21,drugs,21.0,59,9.0,48.0,24.0,8.42528035365191,11.0,39.0
תפ_1276-05-15,drugs,13.0,34,0.0,40.0,10.0,8.282898127110043,6.75,40.0
תפ_63025-03-15,drugs,10.0,50,0.0,84.0,9.5,12.848346197079218,8.75,84.0
תפ_809-09-18,drugs,24.0,277,0.0,120.0,12.0,14.771781495423221,17.0,120.0
תפ_50607-03-19,drugs,15.0,56,0.0,36.0,6.0,7.53306910243367,12.0,36.0
תפ_7629-11-17,drugs,24.0,28,16.0,120.0,32.0,18.613516868235344,12.0,104.0
תפ_4606-08-20,drugs,6.0,29,0.0,36.0,2.0,7.298950130554628,8.0,36.0
תפ_19985-04-14,drugs,0.0,219,0.0,120.0,10.0,14.173607187956792,17.5,120.0
תפ_16982-03-21,drugs,12.0,21,0.0,84.0,12.0,16.494209799687276,4.0,84.0
תפ_64660-01-22,drugs,33.0,26,0.0,36.0,12.0,7.01235173982858,5.0,36.0
תפ_44694-10-18,drugs,12.0,7,9.0,48.0,18.0,14.992515139364762,27.0,39.0
תפ_13048-04-21,drugs,24.0,70,0.0,84.0,21.0,12.897365654129784,18.0,84.0
תפ_27103-01-18,drugs,9.0,255,0.0,120.0,10.0,14.433333200145972,14.0,120.0
תפ_39308-05-15,drugs,12.0,209,0.0,120.0,12.0,14.247328820413157,18.0,120.0
תפ_27683-01-21,drugs,0.0,258,0.0,120.0,9.5,13.41741337037767,12.0,120.0
תפ_25137-02-20,drugs,6.0,32,0.0,18.0,5.0,4.983468765578851,6.5,18.0
תפ_4435-07-19,drugs,14.0,76,0.0,54.0,20.0,10.62358838594125,17.0,54.0
תפ_54673-05-17,drugs,4.0,8,0.0,18.0,6.0,5.655473012931809,7.75,18.0
תפ_6681-09-21,drugs,36.0,200,0.0,120.0,12.0,14.485423707990043,18.0,120.0
תפ_893-03-22,drugs,12.0,17,0.0,30.0,14.0,6.659280799098779,6.0,30.0
תפ_45644-11-22,drugs,16.0,241,0.0,120.0,12.0,13.87391541095831,17.0,120.0
תפ_16097-08-21,drugs,22.0,106,0.0,84.0,22.0,11.504100991500446,13.75,84.0
תפ_49510-11-23,drugs,30.0,38,4.0,42.0,20.0,9.547954487901954,9.5,38.0
תפ_60484-03-22,drugs,42.0,28,9.0,60.0,27.5,12.831124467560931,14.0,51.0
תפ_24895-03-20,drugs,8.0,50,0.0,48.0,10.0,11.830401514741585,10.0,48.0
תפ_30637-02-21,drugs,72.0,33,6.0,120.0,20.0,20.3215654878042,12.0,114.0
תפ_18216-09-16,drugs,0.0,37,0.0,15.0,0.0,4.423194063887306,8.0,15.0
תפ_9109-02-16,drugs,60.0,54,0.0,66.0,24.0,16.779055220765827,27.75,66.0
תפ_62070-05-20,drugs,14.0,145,0.0,48.0,12.0,10.625748906949172,14.0,48.0
תפ_50860-02-20,drugs,0.0,248,0.0,120.0,9.0,14.196393020478245,12.25,120.0
תפ_37176-11-17,drugs,54.0,21,0.0,120.0,24.0,26.269491197974382,24.0,120.0
תפ_22433-05-18,drugs,45.0,19,15.0,66.0,42.0,13.966917778943474,21.0,51.0
תפ_53090-10-19,drugs,20.0,17,12.0,56.0,40.0,15.00149934836388,24.0,44.0
תפ_65386-09-19,drugs,24.0,36,0.0,48.0,16.0,11.37448275855616,10.5,48.0
תפ_58944-08-21,drugs,8.0,254,0.0,120.0,12.0,13.36746366661117,17.0,120.0
תפ_46315-12-23,drugs,30.0,75,0.0,60.0,24.0,11.281717757307863,19.5,60.0
תפ_42162-12-21,drugs,12.0,23,0.0,120.0,15.0,24.953643221359552,18.0,120.0
תפ_49055-02-18,drugs,8.0,243,0.0,120.0,9.0,14.270612882678963,14.0,120.0
תפ_23282-05-17,drugs,8.0,221,0.0,120.0,12.0,14.42766975050649,18.0,120.0
תפ_32175-07-22,drugs,48.0,16,6.0,66.0,36.0,17.858821349685986,30.5,60.0
תפק_11489-02-23,drugs,6.0,83,0.0,84.0,19.0,13.081885323505974,14.0,84.0
תפ_47879-06-13,drugs,27.0,13,0.0,36.0,10.0,10.470584324414494,15.0,36.0
תפ_27373-07-20,drugs,9.0,20,4.0,36.0,11.0,7.1909665553387185,6.0,32.0
תפ_60295-03-22,drugs,40.0,212,0.0,120.0,12.0,14.80846850916872,18.0,120.0
תפ_15392-04-17,drugs,33.0,37,1.0,48.0,10.0,13.812370991369079,20.0,47.0
תפ_25835-05-18,drugs,8.0,235,0.0,120.0,10.0,13.716733328330882,14.0,120.0
תפ_17081-12-16,drugs,9.0,32,0.0,36.0,6.0,8.349541529329619,6.0,36.0
תפ_38680-05-20,drugs,14.0,23,0.0,28.0,9.0,5.722637698703616,3.0,28.0
תפ_60476-05-13,drugs,8.0,22,0.0,36.0,8.5,7.478343388392294,3.75,36.0
תפ_32815-03-20,drugs,36.0,10,10.0,28.0,17.0,5.060632371551998,4.25,18.0
תפ_13927-04-13,drugs,10.0,5,0.0,12.0,8.0,4.317406628984581,6.0,12.0
תפ_33848-05-14,drugs,18.0,24,6.0,54.0,19.0,14.651270327934785,24.0,48.0
תפ_1722-05-21,drugs,6.0,39,0.0,18.0,6.0,3.9863343155682087,3.5,18.0
תפ_67646-05-24,drugs,12.0,28,6.0,120.0,18.0,20.54273172026087,13.0,114.0
תפ_8900-11-22,drugs,6.0,69,0.0,60.0,20.0,12.532419626429753,24.0,60.0
תפ_53127-06-16,drugs,6.0,246,0.0,120.0,9.0,15.389731200578819,14.0,120.0
תפ_60154-02-19,drugs,5.0,26,0.0,36.0,18.0,8.775048677354492,15.75,36.0
תפ_46735-02-20,drugs,18.0,218,0.0,120.0,12.0,14.058018824677141,18.0,120.0
תפ_12158-04-23,drugs,20.0,221,0.0,120.0,12.0,15.235450680347594,18.0,120.0
תפ_1969-02-17,drugs,6.0,53,0.0,20.0,6.0,4.702695348268463,9.0,20.0
תפ_51797-01-21,drugs,29.0,102,0.0,54.0,19.0,11.286455734418253,16.5,54.0
תפ_59009-05-21,drugs,9.0,221,0.0,120.0,12.0,14.167303031083438,18.0,120.0
תפ_44427-10-18,drugs,12.0,15,0.0,40.0,10.0,11.503429440340343,12.5,40.0
תפ_31103-09-17,drugs,24.0,7,6.0,16.0,14.0,3.5398604838182477,5.5,10.0
תפ_57043-06-16,drugs,0.0,38,0.0,10.0,0.0,3.217421413805879,0.0,10.0
תפ_42796-02-24,drugs,24.0,15,12.0,30.0,18.0,4.867123266251728,5.5,18.0
תפ_31419-11-20,drugs,28.0,118,0.0,84.0,22.0,12.346259379058264,16.0,84.0
תפ_46914-06-18,drugs,6.0,44,0.0,24.0,8.0,5.231964297777952,4.0,24.0
תפ_42761-01-18,drugs,66.0,29,15.0,66.0,45.0,13.28897695243432,24.0,51.0
תפ_27295-12-17,drugs,6.0,211,0.0,120.0,10.0,14.384352374217922,18.0,120.0
תפ_34960-10-19,drugs,36.0,34,6.0,60.0,24.0,12.619566561796505,20.75,54.0
תפ_46786-01-23,drugs,25.0,247,0.0,120.0,12.0,15.084024906260355,18.0,120.0
תפ_8203-05-23,drugs,24.0,80,2.0,60.0,24.0,12.211156527946072,20.25,58.0
