method,K,MAE_lo,MAE_hi,queries_covered,n_total
GPT-filtered,1,14.52,21.02,1719,1719
GPT-filtered,3,12.80,18.42,1719,1719
GPT-filtered,5,12.43,17.64,1719,1719
GPT-filtered,7,12.13,17.34,1719,1719
GPT-filtered,10,12.11,17.49,1719,1719
GPT-filtered,15,12.13,17.63,1719,1719
GPT-filtered,20,12.29,17.95,1719,1719
GPT-filtered,30,12.64,18.68,1719,1719
GPT-filtered,50,12.94,19.36,1719,1719
Gemma-all-pairs,1,16.41,24.29,1718,1719
Gemma-all-pairs,3,14.17,19.94,1718,1719
Gemma-all-pairs,5,13.21,18.85,1718,1719
Gemma-all-pairs,7,13.08,18.89,1718,1719
Gemma-all-pairs,10,13.05,18.71,1718,1719
Gemma-all-pairs,15,13.26,18.58,1718,1719
Gemma-all-pairs,20,13.53,18.88,1718,1719
Gemma-all-pairs,30,13.74,19.45,1718,1719
Gemma-all-pairs,50,13.92,19.89,1718,1719
Gemma-on-GPT-pool,1,15.03,22.26,1718,1719
Gemma-on-GPT-pool,3,13.17,18.84,1718,1719
Gemma-on-GPT-pool,5,12.77,18.48,1718,1719
Gemma-on-GPT-pool,7,12.65,18.17,1718,1719
Gemma-on-GPT-pool,10,12.58,18.06,1718,1719
Gemma-on-GPT-pool,15,12.53,18.09,1718,1719
Gemma-on-GPT-pool,20,12.65,18.37,1718,1719
Gemma-on-GPT-pool,30,12.85,18.90,1718,1719
Gemma-on-GPT-pool,50,13.02,19.58,1718,1719
