A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Manual,GPT-Schema,11,0.02062416883078687,0.8923008101583197,9,0.00927734375,0.00927734375,0.0556640625,Large,✓,,drugs,0,AP_PR
Manual,GPT-Free,11,0.05226393477302797,1.9093905710305297,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Manual,GPT-Law,11,0.06667266194039644,3.0470577223412163,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Manual,Raw-Facts,11,0.05349561259932845,2.361141155207609,10,0.0009765625,0.00146484375,0.005859375,Large,✓,✓,drugs,0,AP_PR
Manual,Hybrid-Manual,11,0.026781509100965228,1.1047348677274473,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Manual,Hybrid-Full,11,0.02003722146594408,0.9380889037871092,9,0.00341796875,0.0041015625,0.0205078125,Large,✓,✓,drugs,0,AP_PR
GPT-Schema,Manual,11,-0.02062416883078687,-0.8923008101583197,2,0.9931640625,0.9931640625,1.0,Large,,,drugs,0,AP_PR
GPT-Schema,GPT-Free,11,0.0316397659422411,0.8022143486927616,9,0.01220703125,0.0244140625,0.0732421875,Large,✓,,drugs,0,AP_PR
GPT-Schema,GPT-Law,11,0.04604849310960956,1.4408616318954865,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,drugs,0,AP_PR
GPT-Schema,Raw-Facts,11,0.032871443768541585,1.1911315320056566,10,0.00244140625,0.00732421875,0.0146484375,Large,✓,✓,drugs,0,AP_PR
GPT-Schema,Hybrid-Manual,11,0.006157340270178355,0.23281762595134695,6,0.259765625,0.3896484375,1.0,Small,,,drugs,0,AP_PR
GPT-Schema,Hybrid-Full,11,-0.0005869473648427916,-0.027380947234476732,5,0.51708984375,0.6205078125,1.0,Negligible,,,drugs,0,AP_PR
GPT-Free,Manual,11,-0.05226393477302797,-1.9093905710305297,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Free,GPT-Schema,11,-0.0316397659422411,-0.8022143486927616,2,0.99072265625,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Free,GPT-Law,11,0.014408727167368457,0.7580331286851347,9,0.03369140625,0.2021484375,0.2021484375,Medium,,,drugs,0,AP_PR
GPT-Free,Raw-Facts,11,0.0012316778263004842,0.06074823929328107,5,0.44921875,1.0,1.0,Negligible,,,drugs,0,AP_PR
GPT-Free,Hybrid-Manual,11,-0.025482425672062745,-0.8702781720114006,1,0.98779296875,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Free,Hybrid-Full,11,-0.03222671330708389,-0.9448686027710115,1,0.9951171875,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Law,Manual,11,-0.06667266194039644,-3.0470577223412163,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Law,GPT-Schema,11,-0.04604849310960956,-1.4408616318954865,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Law,GPT-Free,11,-0.014408727167368457,-0.7580331286851347,2,0.97314453125,1.0,1.0,Medium,,,drugs,0,AP_PR
GPT-Law,Raw-Facts,11,-0.013177049341067974,-0.6005540406231061,3,0.96630859375,1.0,1.0,Medium,,,drugs,0,AP_PR
GPT-Law,Hybrid-Manual,11,-0.039891152839431204,-1.8188086791609193,1,0.99951171875,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Law,Hybrid-Full,11,-0.046635440474452346,-1.743893239650386,1,0.99951171875,1.0,1.0,Large,,,drugs,0,AP_PR
Raw-Facts,Manual,11,-0.05349561259932845,-2.361141155207609,1,0.99951171875,1.0,1.0,Large,,,drugs,0,AP_PR
Raw-Facts,GPT-Schema,11,-0.032871443768541585,-1.1911315320056566,1,0.99853515625,1.0,1.0,Large,,,drugs,0,AP_PR
Raw-Facts,GPT-Free,11,-0.0012316778263004842,-0.06074823929328107,6,0.58447265625,1.0,1.0,Negligible,,,drugs,0,AP_PR
Raw-Facts,GPT-Law,11,0.013177049341067974,0.6005540406231061,8,0.04150390625,0.2490234375,0.2490234375,Medium,,,drugs,0,AP_PR
Raw-Facts,Hybrid-Manual,11,-0.02671410349836323,-0.8851613597323916,2,0.99072265625,1.0,1.0,Large,,,drugs,0,AP_PR
Raw-Facts,Hybrid-Full,11,-0.03345839113338438,-1.4187295088396215,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
Hybrid-Manual,Manual,11,-0.026781509100965228,-1.1047348677274473,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
Hybrid-Manual,GPT-Schema,11,-0.006157340270178355,-0.23281762595134695,5,0.767578125,1.0,1.0,Small,,,drugs,0,AP_PR
Hybrid-Manual,GPT-Free,11,0.025482425672062745,0.8702781720114006,10,0.01611328125,0.0322265625,0.0966796875,Large,✓,,drugs,0,AP_PR
Hybrid-Manual,GPT-Law,11,0.039891152839431204,1.8188086791609193,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,drugs,0,AP_PR
Hybrid-Manual,Raw-Facts,11,0.02671410349836323,0.8851613597323916,9,0.01220703125,0.0322265625,0.0732421875,Large,✓,,drugs,0,AP_PR
Hybrid-Manual,Hybrid-Full,11,-0.0067442876350211475,-0.24983259421687168,3,0.83984375,1.0,1.0,Small,,,drugs,0,AP_PR
Hybrid-Full,Manual,11,-0.02003722146594408,-0.9380889037871092,2,0.99755859375,0.99755859375,1.0,Large,,,drugs,0,AP_PR
Hybrid-Full,GPT-Schema,11,0.0005869473648427916,0.027380947234476732,6,0.51708984375,0.6205078125,1.0,Negligible,,,drugs,0,AP_PR
Hybrid-Full,GPT-Free,11,0.03222671330708389,0.9448686027710115,10,0.0068359375,0.013671875,0.041015625,Large,✓,✓,drugs,0,AP_PR
Hybrid-Full,GPT-Law,11,0.046635440474452346,1.743893239650386,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,drugs,0,AP_PR
Hybrid-Full,Raw-Facts,11,0.03345839113338438,1.4187295088396215,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Hybrid-Full,Hybrid-Manual,11,0.0067442876350211475,0.24983259421687168,8,0.1826171875,0.27392578125,1.0,Small,,,drugs,0,AP_PR
Manual,GPT-Schema,11,0.01646415789143387,1.9079192942956928,10,0.0009765625,0.0009765625,0.005859375,Large,✓,✓,drugs,1,AP_PR
Manual,GPT-Free,11,0.04540922158185321,2.7410979523981323,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Manual,GPT-Law,11,0.05569127805210825,4.871650280004695,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Manual,Raw-Facts,11,0.04826423095438887,3.476741517137674,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,1,AP_PR
