domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,0.906 ± 0.026,0.845 ± 0.021,0.696 ± 0.064,0.813 ± 0.042
GPT-Schema,0.871 ± 0.036,0.832 ± 0.020,0.686 ± 0.071,0.762 ± 0.042
GPT-Free,0.878 ± 0.015,0.809 ± 0.016,0.679 ± 0.048,0.758 ± 0.025
GPT-Law,0.862 ± 0.030,0.795 ± 0.016,0.636 ± 0.045,0.760 ± 0.033
Raw-Facts,0.869 ± 0.027,0.813 ± 0.019,0.699 ± 0.052,0.774 ± 0.023
Hybrid-Manual,0.882 ± 0.013,0.823 ± 0.018,0.713 ± 0.045,0.797 ± 0.036
Hybrid-Full,0.875 ± 0.026,0.819 ± 0.018,0.687 ± 0.070,0.793 ± 0.033
