domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,0.894 ± 0.034,0.835 ± 0.031,0.766 ± 0.061,0.828 ± 0.020
GPT-Schema,0.842 ± 0.054,0.818 ± 0.019,0.737 ± 0.038,0.801 ± 0.045
GPT-Free,0.855 ± 0.029,0.774 ± 0.022,0.702 ± 0.037,0.785 ± 0.032
GPT-Law,0.853 ± 0.035,0.764 ± 0.014,0.712 ± 0.050,0.793 ± 0.023
Raw-Facts,0.841 ± 0.031,0.790 ± 0.024,0.721 ± 0.034,0.785 ± 0.040
Hybrid-Manual,0.857 ± 0.030,0.788 ± 0.026,0.729 ± 0.063,0.805 ± 0.038
Hybrid-Full,0.866 ± 0.033,0.799 ± 0.035,0.742 ± 0.045,0.821 ± 0.025
