domain,metric,baseline_mean,baseline_std,baseline_ci_lo,baseline_ci_hi,observed_mean,observed_best,n_cells,frac_sig
drugs,AP_b0,0.3684487521456267,0.003280526059272518,0.2985006398124867,0.4643421208175557,0.9199202516724033,0.9753907109839314,77,1.0
drugs,AP_b1,0.5150163105534963,0.002529272933430396,0.43776693358035784,0.606156944287914,0.8847363136525368,0.9371760695212428,77,1.0
drugs,F1_CV_b0,0.3572498933180833,0.01796754933382245,0.24314080181525288,0.4785594816635266,0.8592407467688764,0.9393939393939394,77,1.0
drugs,F1_CV_b1,0.48368618640630456,0.028295552720317262,0.38329851427146105,0.5815594931800778,0.7939978767973584,0.8723404255319149,77,1.0
drugs,F1_Oracle_b0,0.35817985240301164,0.020410405491050925,0.24278002069338978,0.4802859792697578,0.8814345959085421,0.9552238805970149,77,1.0
drugs,F1_Oracle_b1,0.4801405679697233,0.02788341894943721,0.37866547510923054,0.5793401003694827,0.8214358612735755,0.8723404255319149,77,1.0
drugs,QWK_CV,-0.0013558596811243044,0.0009225035726573059,-0.1987226657523515,0.19913061299521742,0.7698364140441218,0.8905775075987842,77,1.0
drugs,QWK_Oracle,-0.0015779322526303459,0.0009281563294987992,-0.19744325820450595,0.20017175021918865,0.8070310505869284,0.8974668275030157,77,1.0
weapon,AP_b0,0.34377609322223274,0.002934371196257611,0.2832097387364899,0.42867473239620507,0.7753439919407773,0.8981750655145195,77,1.0
weapon,AP_b1,0.47441834752690415,0.0020665321856638383,0.4086881303396439,0.5540982080356455,0.8705393257299539,0.9386392746999166,77,1.0
weapon,F1_CV_b0,0.3547972481736378,0.028384394731099317,0.25025192227439086,0.46416795452770926,0.7299628899762993,0.8631578947368421,77,1.0
weapon,F1_CV_b1,0.47840520188715224,0.02655119974141744,0.39067878198622474,0.5649021239201352,0.8024907072455214,0.8872180451127819,77,1.0
weapon,F1_Oracle_b0,0.35429776908227073,0.032200878617085184,0.2520405028135517,0.46425782317539804,0.7554918495998144,0.8631578947368421,77,1.0
weapon,F1_Oracle_b1,0.4810116604859289,0.029246739438322063,0.39470460959779063,0.5667652650808813,0.821797439516298,0.8872180451127819,77,1.0
weapon,QWK_CV,0.0013969707319632955,0.0011078800417463678,-0.16486393915564398,0.16380444570166608,0.6906115816480874,0.8151468032561968,77,1.0
weapon,QWK_Oracle,0.0012646301844876197,0.000965013500470987,-0.16520905520756674,0.164288045895927,0.7198477020111301,0.831942789034565,77,1.0
