domain,rep,model,task,F1,AP_PR
drugs,Manual,gpt4,0,0.9273260073260072,0.959245179533748
drugs,Manual,gpt4,1,0.8296044031647746,0.9270699804441369
drugs,Manual,gpt5mini,0,0.8765567765567767,0.9538497793896326
drugs,Manual,gpt5mini,1,0.8488023088023088,0.921381143621599
drugs,Manual,gpt52,0,0.896043956043956,0.9638637337788035
drugs,Manual,gpt52,1,0.8322875816993462,0.9219100000018003
drugs,Manual,gpt51_thinking,0,0.8808058608058607,0.9659789800573212
drugs,Manual,gpt51_thinking,1,0.7856937799043061,0.9296647204499167
drugs,Manual,claude_sonnet_4_6,0,0.9384615384615385,0.9753907109839314
drugs,Manual,claude_sonnet_4_6,1,0.8698520811833503,0.9371760695212428
drugs,Manual,gemini_25_pro,0,0.9207498383968972,0.9584641587632614
drugs,Manual,gemini_25_pro,1,0.7951754385964912,0.9041755745053157
drugs,Manual,gemini_3_flash,0,0.8445054945054945,0.9525634771145607
drugs,Manual,gemini_3_flash,1,0.870175438596491,0.92291009126569
drugs,Manual,gemma3_27b,0,0.9025641025641026,0.9430814083875309
drugs,Manual,gemma3_27b,1,0.7875078147200909,0.8915130282882384
drugs,Manual,llama3_70b,0,0.8304218657159833,0.9316770186335404
drugs,Manual,llama3_70b,1,0.8535672514619883,0.8943116385503699
drugs,Manual,qwen3_235b,0,0.8433333333333334,0.9436555992280357
drugs,Manual,qwen3_235b,1,0.8450909883404162,0.9186149790433188
drugs,Manual,qwen_hf,0,0.8943589743589744,0.945188959785734
drugs,Manual,qwen_hf,1,0.7687462863933451,0.9046182053022989
drugs,GPT-Schema,gpt4,0,0.8184615384615384,0.9275585977943297
drugs,GPT-Schema,gpt4,1,0.7601703534197812,0.8909571635166291
drugs,GPT-Schema,gpt5mini,0,0.8476190476190476,0.942212237204741
drugs,GPT-Schema,gpt5mini,1,0.7837161531279178,0.9093302133849679
drugs,GPT-Schema,gpt52,0,0.8543589743589743,0.9442662335932096
drugs,GPT-Schema,gpt52,1,0.8174269005847954,0.9092343295825289
drugs,GPT-Schema,gpt51_thinking,0,0.8986080586080586,0.9597891811420589
drugs,GPT-Schema,gpt51_thinking,1,0.8461152882205514,0.9159577864050732
drugs,GPT-Schema,claude_sonnet_4_6,0,0.8806837606837608,0.959492116995182
drugs,GPT-Schema,claude_sonnet_4_6,1,0.8222966507177034,0.9182325763810877
drugs,GPT-Schema,gemini_25_pro,0,0.9130392156862746,0.9221153384430696
drugs,GPT-Schema,gemini_25_pro,1,0.8247481448719839,0.8979243689544079
drugs,GPT-Schema,gemini_3_flash,0,0.8565567765567765,0.9458630775509743
drugs,GPT-Schema,gemini_3_flash,1,0.810437859354268,0.9141740037209172
drugs,GPT-Schema,gemma3_27b,0,0.7622816399286988,0.9057142857142857
drugs,GPT-Schema,gemma3_27b,1,0.8387417819912099,0.8926554139981561
drugs,GPT-Schema,llama3_70b,0,0.8202614379084967,0.8811984368215372
drugs,GPT-Schema,llama3_70b,1,0.7944083995154125,0.8531348570375926
drugs,GPT-Schema,qwen3_235b,0,0.7857142857142858,0.9305277959511244
drugs,GPT-Schema,qwen3_235b,1,0.7886749482401656,0.8905015344251184
drugs,GPT-Schema,qwen_hf,0,0.8011721611721612,0.9208242588212193
drugs,GPT-Schema,qwen_hf,1,0.8208827404479578,0.8977884624101445
drugs,GPT-Free,gpt4,0,0.8566666666666667,0.921114673641232
drugs,GPT-Free,gpt4,1,0.7428571428571429,0.877646870923026
drugs,GPT-Free,gpt5mini,0,0.8816666666666666,0.9413073750737613
drugs,GPT-Free,gpt5mini,1,0.8191387559808613,0.9052155939129003
drugs,GPT-Free,gpt52,0,0.8628571428571428,0.9236137113580722
drugs,GPT-Free,gpt52,1,0.7717262854104959,0.8903635484483227
drugs,GPT-Free,gpt51_thinking,0,0.879120879120879,0.930116118784219
drugs,GPT-Free,gpt51_thinking,1,0.7614728520907011,0.8928886025522389
drugs,GPT-Free,claude_sonnet_4_6,0,0.796883116883117,0.8952351568959163
drugs,GPT-Free,claude_sonnet_4_6,1,0.7540717736369911,0.8697760987157943
drugs,GPT-Free,gemini_25_pro,0,0.8457142857142858,0.8631828811148056
drugs,GPT-Free,gemini_25_pro,1,0.7951073762838469,0.8410689413025012
drugs,GPT-Free,gemini_3_flash,0,0.8742857142857142,0.8899125847618311
drugs,GPT-Free,gemini_3_flash,1,0.7548646125116714,0.8650795543063807
drugs,GPT-Free,gemma3_27b,0,0.8813186813186814,0.9033296103198524
drugs,GPT-Free,gemma3_27b,1,0.7722968818620992,0.868869693377581
drugs,GPT-Free,llama3_70b,0,0.8044677871148458,0.8966999848412284
drugs,GPT-Free,llama3_70b,1,0.7551437417072092,0.8431391609735621
drugs,GPT-Free,qwen3_235b,0,0.8584615384615384,0.9267312542016295
drugs,GPT-Free,qwen3_235b,1,0.8051342259391795,0.8782664701178688
drugs,GPT-Free,qwen_hf,0,0.8586080586080586,0.9337286295278776
drugs,GPT-Free,qwen_hf,1,0.7592510688485921,0.8817961031779981
drugs,GPT-Law,gpt4,0,0.8742857142857142,0.9151709981834206
drugs,GPT-Law,gpt4,1,0.7549206349206349,0.8755636237782793
drugs,GPT-Law,gpt5mini,0,0.8910439560439561,0.9145230287960111
drugs,GPT-Law,gpt5mini,1,0.743859649122807,0.8603842081755895
drugs,GPT-Law,gpt52,0,0.8342857142857143,0.9075817481512096
drugs,GPT-Law,gpt52,1,0.7528350287483414,0.8672739048442251
drugs,GPT-Law,gpt51_thinking,0,0.8813186813186814,0.9027442356850957
drugs,GPT-Law,gpt51_thinking,1,0.7551995931858632,0.8709927277904561
drugs,GPT-Law,claude_sonnet_4_6,0,0.8719413919413919,0.9282365442834037
drugs,GPT-Law,claude_sonnet_4_6,1,0.7617355408982814,0.8902694733550581
drugs,GPT-Law,gemini_25_pro,0,0.8261904761904763,0.8675986905974079
drugs,GPT-Law,gemini_25_pro,1,0.76453216374269,0.845829877609513
drugs,GPT-Law,gemini_3_flash,0,0.8476190476190476,0.8666134784806622
drugs,GPT-Law,gemini_3_flash,1,0.7500721500721501,0.8488505460218602
drugs,GPT-Law,gemma3_27b,0,0.8110192147034251,0.8738782660699254
drugs,GPT-Law,gemma3_27b,1,0.7356132756132757,0.8449807930293701
drugs,GPT-Law,llama3_70b,0,0.7845754245754246,0.87470454867194
drugs,GPT-Law,llama3_70b,1,0.7560166886253843,0.8575764902233483
