A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Manual,GPT-Schema,11,0.04694280467007738,0.9236018071684664,9,0.00927734375,0.02783203125,0.0556640625,Large,✓,,drugs,0,F1
Manual,GPT-Free,11,0.03227974639739348,0.6609088433836755,8,0.02685546875,0.0322265625,0.1611328125,Medium,✓,,drugs,0,F1
Manual,GPT-Law,11,0.0450688581831278,1.0208104196096477,7,0.02099609375,0.031494140625,0.1259765625,Large,✓,,drugs,0,F1
Manual,Raw-Facts,11,0.04790148651111214,0.8990896629386823,9,0.0068359375,0.02783203125,0.041015625,Large,✓,✓,drugs,0,F1
Manual,Hybrid-Manual,11,0.02798569819960198,0.7440914381228286,8,0.02099609375,0.031494140625,0.1259765625,Medium,✓,,drugs,0,F1
Manual,Hybrid-Full,11,0.03175091646946415,0.6522030299461182,7,0.04150390625,0.04150390625,0.2490234375,Medium,✓,,drugs,0,F1
GPT-Schema,Manual,11,-0.04694280467007738,-0.9236018071684664,2,0.9931640625,0.9931640625,1.0,Large,,,drugs,0,F1
GPT-Schema,GPT-Free,11,-0.014663058272683903,-0.2458031530065539,4,0.79345703125,0.9931640625,1.0,Small,,,drugs,0,F1
GPT-Schema,GPT-Law,11,-0.0018739464869495766,-0.0408314282483127,7,0.55078125,0.9931640625,1.0,Negligible,,,drugs,0,F1
GPT-Schema,Raw-Facts,11,0.0009586818410347586,0.02404893930875644,4,0.61767578125,0.9931640625,1.0,Negligible,,,drugs,0,F1
GPT-Schema,Hybrid-Manual,11,-0.018957106470475396,-0.3120502833212678,6,0.86083984375,0.9931640625,1.0,Small,,,drugs,0,F1
GPT-Schema,Hybrid-Full,11,-0.015191888200613225,-0.3087449526769968,5,0.8173828125,0.9931640625,1.0,Small,,,drugs,0,F1
GPT-Free,Manual,11,-0.03227974639739348,-0.6609088433836755,3,0.97900390625,0.97900390625,1.0,Medium,,,drugs,0,F1
