domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,0.954 ± 0.012,0.916 ± 0.015,0.720 ± 0.082,0.837 ± 0.067
GPT-Schema,0.931 ± 0.023,0.899 ± 0.018,0.691 ± 0.084,0.771 ± 0.074
GPT-Free,0.911 ± 0.024,0.874 ± 0.020,0.678 ± 0.080,0.790 ± 0.054
GPT-Law,0.895 ± 0.021,0.863 ± 0.014,0.636 ± 0.064,0.775 ± 0.056
Raw-Facts,0.899 ± 0.029,0.868 ± 0.021,0.692 ± 0.058,0.824 ± 0.037
Hybrid-Manual,0.938 ± 0.018,0.898 ± 0.018,0.719 ± 0.086,0.832 ± 0.062
Hybrid-Full,0.930 ± 0.030,0.887 ± 0.021,0.687 ± 0.102,0.808 ± 0.072
