domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,0.887 ± 0.036,0.826 ± 0.036,0.638 ± 0.074,0.801 ± 0.046
GPT-Schema,0.840 ± 0.047,0.810 ± 0.026,0.642 ± 0.086,0.746 ± 0.038
GPT-Free,0.855 ± 0.029,0.772 ± 0.024,0.645 ± 0.057,0.730 ± 0.034
GPT-Law,0.842 ± 0.037,0.752 ± 0.014,0.611 ± 0.052,0.736 ± 0.037
Raw-Facts,0.839 ± 0.032,0.781 ± 0.022,0.682 ± 0.066,0.758 ± 0.023
Hybrid-Manual,0.859 ± 0.029,0.789 ± 0.030,0.678 ± 0.054,0.777 ± 0.043
Hybrid-Full,0.855 ± 0.031,0.793 ± 0.031,0.658 ± 0.076,0.775 ± 0.035
