metric,domain,a,b,n,mean_a,mean_b,delta_mean,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
QWK_CV,drugs,Manual,Hybrid-Manual,11,0.8427,0.7505,0.0922,1.969,11,0.000488,0.000732,0.002928,True
QWK_CV,drugs,Manual,Hybrid-Full,11,0.8427,0.7669,0.0758,1.442,11,0.000488,0.000732,0.002928,True
QWK_CV,drugs,Manual,GPT-Schema,11,0.8427,0.7829,0.0598,1.474,10,0.000977,0.000977,0.005862,True
QWK_CV,drugs,Manual,GPT-Free,11,0.8427,0.7436,0.0991,2.281,11,0.000488,0.000732,0.002928,True
QWK_CV,drugs,Manual,GPT-Law,11,0.8427,0.7413,0.1014,1.553,11,0.000488,0.000732,0.002928,True
QWK_CV,drugs,Manual,Raw-Facts,11,0.8427,0.7609,0.0818,1.522,10,0.000977,0.000977,0.005862,True
QWK_CV,drugs,Hybrid-Manual,Manual,11,0.7505,0.8427,-0.0922,-1.969,0,1.0,1.0,1.0,False
QWK_CV,drugs,Hybrid-Manual,Hybrid-Full,11,0.7505,0.7669,-0.0164,-0.25,4,0.793457,1.0,1.0,False
QWK_CV,drugs,Hybrid-Manual,GPT-Schema,11,0.7505,0.7829,-0.0324,-0.696,3,0.979004,1.0,1.0,False
QWK_CV,drugs,Hybrid-Manual,GPT-Free,11,0.7505,0.7436,0.0069,0.25,7,0.160156,0.960936,0.960936,False
QWK_CV,drugs,Hybrid-Manual,GPT-Law,11,0.7505,0.7413,0.0092,0.205,5,0.617676,1.0,1.0,False
QWK_CV,drugs,Hybrid-Manual,Raw-Facts,11,0.7505,0.7609,-0.0104,-0.372,4,0.879883,1.0,1.0,False
QWK_CV,drugs,Hybrid-Full,Manual,11,0.7669,0.8427,-0.0758,-1.442,0,1.0,1.0,1.0,False
QWK_CV,drugs,Hybrid-Full,Hybrid-Manual,11,0.7669,0.7505,0.0164,0.25,7,0.232422,0.519532,1.0,False
QWK_CV,drugs,Hybrid-Full,GPT-Schema,11,0.7669,0.7829,-0.016,-0.279,4,0.86084,1.0,1.0,False
QWK_CV,drugs,Hybrid-Full,GPT-Free,11,0.7669,0.7436,0.0233,0.463,7,0.087402,0.519532,0.524412,False
QWK_CV,drugs,Hybrid-Full,GPT-Law,11,0.7669,0.7413,0.0256,0.326,5,0.259766,0.519532,1.0,False
QWK_CV,drugs,Hybrid-Full,Raw-Facts,11,0.7669,0.7609,0.006,0.089,6,0.449219,0.673829,1.0,False
QWK_CV,drugs,GPT-Schema,Manual,11,0.7829,0.8427,-0.0598,-1.474,1,0.999512,0.999512,1.0,False
QWK_CV,drugs,GPT-Schema,Hybrid-Manual,11,0.7829,0.7505,0.0324,0.696,8,0.026855,0.05371,0.16113,False
QWK_CV,drugs,GPT-Schema,Hybrid-Full,11,0.7829,0.7669,0.016,0.279,7,0.160156,0.192187,0.960936,False
QWK_CV,drugs,GPT-Schema,GPT-Free,11,0.7829,0.7436,0.0393,1.173,9,0.002441,0.014646,0.014646,True
QWK_CV,drugs,GPT-Schema,GPT-Law,11,0.7829,0.7413,0.0416,0.575,8,0.050781,0.076172,0.304686,False
QWK_CV,drugs,GPT-Schema,Raw-Facts,11,0.7829,0.7609,0.022,0.464,10,0.026855,0.05371,0.16113,False
QWK_CV,drugs,GPT-Free,Manual,11,0.7436,0.8427,-0.0991,-2.281,0,1.0,1.0,1.0,False
QWK_CV,drugs,GPT-Free,Hybrid-Manual,11,0.7436,0.7505,-0.0069,-0.25,4,0.86084,1.0,1.0,False
QWK_CV,drugs,GPT-Free,Hybrid-Full,11,0.7436,0.7669,-0.0233,-0.463,4,0.92627,1.0,1.0,False
QWK_CV,drugs,GPT-Free,GPT-Schema,11,0.7436,0.7829,-0.0393,-1.173,2,0.998535,1.0,1.0,False
QWK_CV,drugs,GPT-Free,GPT-Law,11,0.7436,0.7413,0.0023,0.042,3,0.649902,1.0,1.0,False
QWK_CV,drugs,GPT-Free,Raw-Facts,11,0.7436,0.7609,-0.0173,-0.582,3,0.949219,1.0,1.0,False
QWK_CV,drugs,GPT-Law,Manual,11,0.7413,0.8427,-0.1014,-1.553,0,1.0,1.0,1.0,False
QWK_CV,drugs,GPT-Law,Hybrid-Manual,11,0.7413,0.7505,-0.0092,-0.205,6,0.415527,1.0,1.0,False
QWK_CV,drugs,GPT-Law,Hybrid-Full,11,0.7413,0.7669,-0.0256,-0.326,6,0.767578,1.0,1.0,False
QWK_CV,drugs,GPT-Law,GPT-Schema,11,0.7413,0.7829,-0.0416,-0.575,3,0.958496,1.0,1.0,False
QWK_CV,drugs,GPT-Law,GPT-Free,11,0.7413,0.7436,-0.0023,-0.042,8,0.382324,1.0,1.0,False
QWK_CV,drugs,GPT-Law,Raw-Facts,11,0.7413,0.7609,-0.0196,-0.43,4,0.912598,1.0,1.0,False
QWK_CV,drugs,Raw-Facts,Manual,11,0.7609,0.8427,-0.0818,-1.522,1,0.999512,0.999512,1.0,False
QWK_CV,drugs,Raw-Facts,Hybrid-Manual,11,0.7609,0.7505,0.0104,0.372,7,0.13916,0.27832,0.83496,False
QWK_CV,drugs,Raw-Facts,Hybrid-Full,11,0.7609,0.7669,-0.006,-0.089,5,0.584473,0.87671,1.0,False
QWK_CV,drugs,Raw-Facts,GPT-Schema,11,0.7609,0.7829,-0.022,-0.464,1,0.979004,0.999512,1.0,False
QWK_CV,drugs,Raw-Facts,GPT-Free,11,0.7609,0.7436,0.0173,0.582,8,0.061523,0.27832,0.369138,False
QWK_CV,drugs,Raw-Facts,GPT-Law,11,0.7609,0.7413,0.0196,0.43,7,0.103027,0.27832,0.618162,False
QWK_CV,weapon,Manual,Hybrid-Manual,11,0.7433,0.7043,0.039,0.915,10,0.006836,0.010254,0.041016,True
QWK_CV,weapon,Manual,Hybrid-Full,11,0.7433,0.7069,0.0364,0.682,8,0.026855,0.026855,0.16113,True
QWK_CV,weapon,Manual,GPT-Schema,11,0.7433,0.6882,0.0551,1.169,10,0.001465,0.004395,0.00879,True
QWK_CV,weapon,Manual,GPT-Free,11,0.7433,0.6701,0.0732,1.36,10,0.002441,0.004882,0.014646,True
QWK_CV,weapon,Manual,GPT-Law,11,0.7433,0.6601,0.0832,1.388,10,0.000977,0.004395,0.005862,True
QWK_CV,weapon,Manual,Raw-Facts,11,0.7433,0.6614,0.0819,0.866,9,0.012207,0.014648,0.073242,True
QWK_CV,weapon,Hybrid-Manual,Manual,11,0.7043,0.7433,-0.039,-0.915,1,0.995117,0.995117,1.0,False
QWK_CV,weapon,Hybrid-Manual,Hybrid-Full,11,0.7043,0.7069,-0.0026,-0.043,7,0.48291,0.579492,1.0,False
QWK_CV,weapon,Hybrid-Manual,GPT-Schema,11,0.7043,0.6882,0.0161,0.333,6,0.232422,0.348633,1.0,False
QWK_CV,weapon,Hybrid-Manual,GPT-Free,11,0.7043,0.6701,0.0343,0.657,8,0.026855,0.080565,0.16113,False
QWK_CV,weapon,Hybrid-Manual,GPT-Law,11,0.7043,0.6601,0.0442,0.774,7,0.020996,0.080565,0.125976,False
QWK_CV,weapon,Hybrid-Manual,Raw-Facts,11,0.7043,0.6614,0.0429,0.423,8,0.087402,0.174804,0.524412,False
QWK_CV,weapon,Hybrid-Full,Manual,11,0.7069,0.7433,-0.0364,-0.682,3,0.979004,0.979004,1.0,False
QWK_CV,weapon,Hybrid-Full,Hybrid-Manual,11,0.7069,0.7043,0.0026,0.043,4,0.550781,0.660937,1.0,False
QWK_CV,weapon,Hybrid-Full,GPT-Schema,11,0.7069,0.6882,0.0187,0.261,7,0.288574,0.432861,1.0,False
QWK_CV,weapon,Hybrid-Full,GPT-Free,11,0.7069,0.6701,0.0368,1.515,11,0.000488,0.002928,0.002928,True
QWK_CV,weapon,Hybrid-Full,GPT-Law,11,0.7069,0.6601,0.0468,0.592,9,0.07373,0.14746,0.44238,False
QWK_CV,weapon,Hybrid-Full,Raw-Facts,11,0.7069,0.6614,0.0455,0.772,8,0.020996,0.062988,0.125976,False
QWK_CV,weapon,GPT-Schema,Manual,11,0.6882,0.7433,-0.0551,-1.169,1,0.999023,0.999023,1.0,False
QWK_CV,weapon,GPT-Schema,Hybrid-Manual,11,0.6882,0.7043,-0.0161,-0.333,5,0.793457,0.952148,1.0,False
QWK_CV,weapon,GPT-Schema,Hybrid-Full,11,0.6882,0.7069,-0.0187,-0.261,4,0.740234,0.952148,1.0,False
QWK_CV,weapon,GPT-Schema,GPT-Free,11,0.6882,0.6701,0.0181,0.292,7,0.160156,0.365234,0.960936,False
QWK_CV,weapon,GPT-Schema,GPT-Law,11,0.6882,0.6601,0.0281,0.489,7,0.13916,0.365234,0.83496,False
QWK_CV,weapon,GPT-Schema,Raw-Facts,11,0.6882,0.6614,0.0268,0.252,7,0.182617,0.365234,1.0,False
QWK_CV,weapon,GPT-Free,Manual,11,0.6701,0.7433,-0.0732,-1.36,1,0.998535,1.0,1.0,False
QWK_CV,weapon,GPT-Free,Hybrid-Manual,11,0.6701,0.7043,-0.0343,-0.657,3,0.979004,1.0,1.0,False
QWK_CV,weapon,GPT-Free,Hybrid-Full,11,0.6701,0.7069,-0.0368,-1.515,0,1.0,1.0,1.0,False
QWK_CV,weapon,GPT-Free,GPT-Schema,11,0.6701,0.6882,-0.0181,-0.292,4,0.86084,1.0,1.0,False
QWK_CV,weapon,GPT-Free,GPT-Law,11,0.6701,0.6601,0.0099,0.158,8,0.232422,1.0,1.0,False
QWK_CV,weapon,GPT-Free,Raw-Facts,11,0.6701,0.6614,0.0087,0.129,7,0.350098,1.0,1.0,False
QWK_CV,weapon,GPT-Law,Manual,11,0.6601,0.7433,-0.0832,-1.388,1,0.999512,0.999512,1.0,False
QWK_CV,weapon,GPT-Law,Hybrid-Manual,11,0.6601,0.7043,-0.0442,-0.774,4,0.983887,0.999512,1.0,False
QWK_CV,weapon,GPT-Law,Hybrid-Full,11,0.6601,0.7069,-0.0468,-0.592,2,0.938477,0.999512,1.0,False
QWK_CV,weapon,GPT-Law,GPT-Schema,11,0.6601,0.6882,-0.0281,-0.489,4,0.879883,0.999512,1.0,False
QWK_CV,weapon,GPT-Law,GPT-Free,11,0.6601,0.6701,-0.0099,-0.158,3,0.793457,0.999512,1.0,False
QWK_CV,weapon,GPT-Law,Raw-Facts,11,0.6601,0.6614,-0.0013,-0.012,5,0.584473,0.999512,1.0,False
QWK_CV,weapon,Raw-Facts,Manual,11,0.6614,0.7433,-0.0819,-0.866,2,0.990723,0.990723,1.0,False
QWK_CV,weapon,Raw-Facts,Hybrid-Manual,11,0.6614,0.7043,-0.0429,-0.423,3,0.92627,0.990723,1.0,False
QWK_CV,weapon,Raw-Facts,Hybrid-Full,11,0.6614,0.7069,-0.0455,-0.772,3,0.983887,0.990723,1.0,False
QWK_CV,weapon,Raw-Facts,GPT-Schema,11,0.6614,0.6882,-0.0268,-0.252,4,0.839844,0.990723,1.0,False
QWK_CV,weapon,Raw-Facts,GPT-Free,11,0.6614,0.6701,-0.0087,-0.129,4,0.681152,0.990723,1.0,False
QWK_CV,weapon,Raw-Facts,GPT-Law,11,0.6614,0.6601,0.0013,0.012,6,0.449219,0.990723,1.0,False
