domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman,Ordinal_AUC
drugs,Manual,gpt4,0.8720186154741129,0.8720186154741129,0.9153719008264463,0.7944733998999347,0.9402351648351648
drugs,Manual,gpt5mini,0.8581997533908754,0.8409785932721713,0.9076033057851239,0.7858637506040747,0.9365945054945054
drugs,Manual,gpt52,0.8683423099940155,0.8510131108462455,0.9090909090909091,0.7893133835690622,0.9394912087912088
drugs,Manual,gpt51_thinking,0.8553345388788427,0.7905113986444855,0.9206611570247933,0.8052045132495343,0.9470901098901099
drugs,Manual,claude_sonnet_4_6,0.8974668275030157,0.8905775075987842,0.9236363636363636,0.8099320978731166,0.9496483516483516
drugs,Manual,gemini_25_pro,0.8499711482977496,0.828080229226361,0.8905785123966942,0.7764762871047034,0.9294010989010989
drugs,Manual,gemini_3_flash,0.8713235294117647,0.8541033434650456,0.9006611570247934,0.7802147721343361,0.9351318681318681
drugs,Manual,gemma3_27b,0.8295454545454546,0.8224476854787571,0.9062809917355372,0.793191509767162,0.9343637362637363
drugs,Manual,gemma4_31b_or,0.8553240740740741,0.8342214328004737,0.9191735537190082,0.8055383860842876,0.9463989010989011
drugs,Manual,llama3_70b,0.845460399227302,0.845460399227302,0.9044628099173554,0.7932425454377392,0.9361120879120879
drugs,Manual,qwen3_vl_235b_or,0.8405885959534029,0.8405885959534029,0.9148760330578513,0.7963916983777565,0.9404043956043956
drugs,Manual,qwen3_235b_or,0.8002577319587629,0.7476340694006309,0.9082644628099174,0.7873037333210521,0.9352967032967032
drugs,Manual,mistral_large_or,0.7914032869785081,0.7574626865671642,0.8871074380165289,0.7579030839520546,0.9169505494505494
drugs,Manual,deepseek_r1_or,0.8630989421281892,0.845679012345679,0.8968595041322314,0.7714899553822799,0.9288945054945055
drugs,GPT-Schema,gpt4,0.8015364916773368,0.7440944881889764,0.888595041322314,0.7550044143554091,0.9204505494505495
drugs,GPT-Schema,gpt5mini,0.8421372191863995,0.7745773324984346,0.8809917355371901,0.7529702857221202,0.9223494505494505
drugs,GPT-Schema,gpt52,0.8325062034739454,0.7873671044402752,0.8958677685950414,0.7718059594146357,0.9297956043956044
drugs,GPT-Schema,gpt51_thinking,0.8056300268096515,0.7326543602800764,0.8943801652892562,0.7672562607702782,0.9277857142857142
drugs,GPT-Schema,claude_sonnet_4_6,0.8523748395378691,0.7792765174739423,0.9277685950413224,0.814554624888075,0.9521164835164835
drugs,GPT-Schema,gemini_25_pro,0.8468137254901961,0.8291641244661379,0.8877685950413223,0.7698264193914551,0.9256021978021978
drugs,GPT-Schema,gemini_3_flash,0.8408018867924528,0.8263473053892215,0.8985123966942149,0.7757263122916445,0.9332296703296703
drugs,GPT-Schema,gemma3_27b,0.8295081967213115,0.814692256783587,0.9160330578512397,0.8086079127275644,0.9398153846153846
drugs,GPT-Schema,gemma4_31b_or,0.8367346938775511,0.7967479674796748,0.9069421487603305,0.7891472216242165,0.9381505494505494
drugs,GPT-Schema,llama3_70b,0.78,0.78,0.8897520661157025,0.7604545510004124,0.9186043956043954
drugs,GPT-Schema,qwen3_vl_235b_or,0.782608695652174,0.7473152242577384,0.8973553719008265,0.7651062433182445,0.9214395604395604
drugs,GPT-Schema,qwen3_235b_or,0.7980931015143017,0.7539015606242496,0.8940495867768595,0.7702103910728598,0.9262813186813187
drugs,GPT-Schema,mistral_large_or,0.7317236753856472,0.6641318124207858,0.8996694214876033,0.7678675433564842,0.9203912087912087
drugs,GPT-Schema,deepseek_r1_or,0.8222477064220184,0.7653958944281525,0.9013223140495867,0.7747150207692765,0.9331186813186814
drugs,GPT-Free,gpt4,0.8,0.7626112759643917,0.8737190082644628,0.7225561446800115,0.9033472527472527
drugs,GPT-Free,gpt5mini,0.8140615920976176,0.743436754176611,0.8933884297520661,0.75454084663842,0.9199021978021977
drugs,GPT-Free,gpt52,0.7852760736196319,0.7141119221411192,0.8892561983471075,0.7424725190454534,0.9123978021978022
drugs,GPT-Free,gpt51_thinking,0.8025909932140654,0.7503045066991474,0.900495867768595,0.7575846159832293,0.9199857142857143
drugs,GPT-Free,claude_sonnet_4_6,0.7865853658536586,0.7209026128266034,0.895702479338843,0.7454466565980823,0.9132395604395604
drugs,GPT-Free,gemini_25_pro,0.8023952095808383,0.7948098974049487,0.8568595041322314,0.7065434835017383,0.8886956043956044
drugs,GPT-Free,gemini_3_flash,0.7943595769682726,0.7826086956521738,0.877190082644628,0.7239453402891749,0.9030307692307693
drugs,GPT-Free,gemma3_27b,0.7630019749835418,0.7292191435768263,0.8874380165289256,0.7496217837934661,0.9115285714285715
drugs,GPT-Free,gemma4_31b_or,0.8134110787172012,0.7673031026252983,0.8973553719008265,0.7543908347108295,0.9156703296703296
drugs,GPT-Free,llama3_70b,0.7413793103448276,0.7137150466045273,0.8609917355371901,0.7109792751669574,0.8934384615384616
drugs,GPT-Free,qwen3_vl_235b_or,0.7515151515151515,0.7008547008547008,0.8750413223140496,0.7289393319394589,0.9040076923076923
drugs,GPT-Free,qwen3_235b_or,0.7863501483679525,0.7695035460992907,0.8725619834710744,0.7237227080678625,0.9030175824175825
