A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Manual,GPT-Schema,11,0.01167543200601049,0.9262358054943008,9,0.00927734375,0.00927734375,0.0556640625,Large,Y,,drugs,C_index
Manual,GPT-Free,11,0.0277235161532682,2.69484672447925,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,C_index
Manual,GPT-Law,11,0.04635612321562735,4.1781368586711425,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,C_index
Manual,Raw-Facts,11,0.03290758827948908,3.1325561450050556,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,C_index
Manual,Hybrid-Manual,11,0.009271224643125464,0.6975115882156545,10,0.00634765625,0.0076171875,0.0380859375,Medium,Y,Y,drugs,C_index
Manual,Hybrid-Full,11,0.01598797896318556,1.9017315094762248,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,C_index
GPT-Schema,Manual,11,-0.01167543200601049,-0.9262358054943008,2,0.9931640625,0.9931640625,1.0,Large,,,drugs,C_index
GPT-Schema,GPT-Free,11,0.01604808414725771,1.0590908030498507,9,0.0048828125,0.009765625,0.029296875,Large,Y,Y,drugs,C_index
GPT-Schema,GPT-Law,11,0.03468069120961686,4.104809982363875,11,0.00048828125,0.00146484375,0.0029296875,Large,Y,Y,drugs,C_index
GPT-Schema,Raw-Facts,11,0.02123215627347859,1.6480355940683884,11,0.00048828125,0.00146484375,0.0029296875,Large,Y,Y,drugs,C_index
GPT-Schema,Hybrid-Manual,11,-0.0024042073628850265,-0.13773541019691615,5,0.6904296875,0.828515625,1.0,Negligible,,,drugs,C_index
GPT-Schema,Hybrid-Full,11,0.00431254695717507,0.3730589512244263,8,0.16015625,0.240234375,0.9609375,Small,,,drugs,C_index
GPT-Free,Manual,11,-0.0277235161532682,-2.69484672447925,0,1.0,1.0,1.0,Large,,,drugs,C_index
GPT-Free,GPT-Schema,11,-0.01604808414725771,-1.0590908030498507,2,0.99658203125,1.0,1.0,Large,,,drugs,C_index
GPT-Free,GPT-Law,11,0.01863260706235915,1.478014822203705,11,0.00048828125,0.0029296875,0.0029296875,Large,Y,Y,drugs,C_index
GPT-Free,Raw-Facts,11,0.0051840721262208815,0.7058701823133011,7,0.048828125,0.146484375,0.29296875,Medium,,,drugs,C_index
GPT-Free,Hybrid-Manual,11,-0.018452291510142736,-1.6275434100418347,0,1.0,1.0,1.0,Large,,,drugs,C_index
GPT-Free,Hybrid-Full,11,-0.01173553719008264,-0.9213788779393084,3,0.99267578125,1.0,1.0,Large,,,drugs,C_index
