A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Manual,GPT-Schema,11,0.05979674824809791,1.4743891063874575,10,0.0009765625,0.0009765625,0.005859375,Large,Y,Y,drugs,QWK_CV
Manual,GPT-Free,11,0.09910211395098124,2.281414009048032,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,QWK_CV
Manual,GPT-Law,11,0.10143761845869127,1.5532262175116773,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,QWK_CV
Manual,Raw-Facts,11,0.08182545983895767,1.5218071306405132,10,0.0009765625,0.0009765625,0.005859375,Large,Y,Y,drugs,QWK_CV
Manual,Hybrid-Manual,11,0.09224499475576682,1.9693343669857757,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,QWK_CV
Manual,Hybrid-Full,11,0.07582965588501488,1.4421002384559773,11,0.00048828125,0.000732421875,0.0029296875,Large,Y,Y,drugs,QWK_CV
GPT-Schema,Manual,11,-0.05979674824809791,-1.4743891063874575,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,QWK_CV
GPT-Schema,GPT-Free,11,0.03930536570288334,1.173312950872649,9,0.00244140625,0.0146484375,0.0146484375,Large,Y,Y,drugs,QWK_CV
GPT-Schema,GPT-Law,11,0.04164087021059338,0.5749019564163981,8,0.05078125,0.076171875,0.3046875,Medium,,,drugs,QWK_CV
GPT-Schema,Raw-Facts,11,0.02202871159085977,0.46361176062817866,10,0.02685546875,0.0537109375,0.1611328125,Small,,,drugs,QWK_CV
GPT-Schema,Hybrid-Manual,11,0.032448246507668914,0.6959317363635357,8,0.02685546875,0.0537109375,0.1611328125,Medium,,,drugs,QWK_CV
GPT-Schema,Hybrid-Full,11,0.016032907636916963,0.2786132746718603,7,0.16015625,0.19218749999999998,0.9609375,Small,,,drugs,QWK_CV
GPT-Free,Manual,11,-0.09910211395098124,-2.281414009048032,0,1.0,1.0,1.0,Large,,,drugs,QWK_CV
GPT-Free,GPT-Schema,11,-0.03930536570288334,-1.173312950872649,2,0.99853515625,1.0,1.0,Large,,,drugs,QWK_CV
GPT-Free,GPT-Law,11,0.0023355045077100493,0.04189836540391081,3,0.64990234375,1.0,1.0,Negligible,,,drugs,QWK_CV
GPT-Free,Raw-Facts,11,-0.017276654112023563,-0.5815724840040151,3,0.94921875,1.0,1.0,Medium,,,drugs,QWK_CV
GPT-Free,Hybrid-Manual,11,-0.006857119195214418,-0.2504829232209297,4,0.86083984375,1.0,1.0,Small,,,drugs,QWK_CV
GPT-Free,Hybrid-Full,11,-0.02327245806596637,-0.4633318738078858,4,0.92626953125,1.0,1.0,Small,,,drugs,QWK_CV
GPT-Law,Manual,11,-0.10143761845869127,-1.5532262175116773,0,1.0,1.0,1.0,Large,,,drugs,QWK_CV
GPT-Law,GPT-Schema,11,-0.04164087021059338,-0.5749019564163981,3,0.95849609375,1.0,1.0,Medium,,,drugs,QWK_CV
GPT-Law,GPT-Free,11,-0.0023355045077100493,-0.04189836540391081,8,0.38232421875,1.0,1.0,Negligible,,,drugs,QWK_CV
GPT-Law,Raw-Facts,11,-0.019612158619733613,-0.43032562098412,4,0.91259765625,1.0,1.0,Small,,,drugs,QWK_CV
GPT-Law,Hybrid-Manual,11,-0.009192623702924467,-0.20462366470278112,6,0.41552734375,1.0,1.0,Small,,,drugs,QWK_CV
GPT-Law,Hybrid-Full,11,-0.02560796257367642,-0.32647383398586843,6,0.767578125,1.0,1.0,Small,,,drugs,QWK_CV
Raw-Facts,Manual,11,-0.08182545983895767,-1.5218071306405132,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,QWK_CV
Raw-Facts,GPT-Schema,11,-0.02202871159085977,-0.46361176062817866,1,0.97900390625,0.99951171875,1.0,Small,,,drugs,QWK_CV
Raw-Facts,GPT-Free,11,0.017276654112023563,0.5815724840040151,8,0.0615234375,0.2783203125,0.369140625,Medium,,,drugs,QWK_CV
Raw-Facts,GPT-Law,11,0.019612158619733613,0.43032562098412,7,0.10302734375,0.2783203125,0.6181640625,Small,,,drugs,QWK_CV
Raw-Facts,Hybrid-Manual,11,0.010419534916809147,0.37227381538387333,7,0.13916015625,0.2783203125,0.8349609375,Small,,,drugs,QWK_CV
Raw-Facts,Hybrid-Full,11,-0.005995803953942805,-0.08934452607679957,5,0.58447265625,0.876708984375,1.0,Negligible,,,drugs,QWK_CV
Hybrid-Manual,Manual,11,-0.09224499475576682,-1.9693343669857757,0,1.0,1.0,1.0,Large,,,drugs,QWK_CV
