A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Manual,GPT-Schema,11,0.05989657954097347,1.4065494483675345,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,QWK_LOO
Manual,GPT-Free,11,0.1024550459099212,2.1967499713236007,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,QWK_LOO
Manual,GPT-Law,11,0.10721790216617641,1.2809500679403951,10,0.0009765625,0.00146484375,0.005859375,Large,✓,✓,drugs,QWK_LOO
Manual,Raw-Facts,11,0.07222169164985806,1.2996954198886201,10,0.00146484375,0.00146484375,0.0087890625,Large,✓,✓,drugs,QWK_LOO
Manual,Hybrid-Manual,11,0.0959832888782128,1.4743462797384939,10,0.00146484375,0.00146484375,0.0087890625,Large,✓,✓,drugs,QWK_LOO
Manual,Hybrid-Full,11,0.07718714487638297,1.2920369869007298,10,0.0009765625,0.00146484375,0.005859375,Large,✓,✓,drugs,QWK_LOO
GPT-Schema,Manual,11,-0.05989657954097347,-1.4065494483675345,0,1.0,1.0,1.0,Large,,,drugs,QWK_LOO
GPT-Schema,GPT-Free,11,0.042558466368947716,1.0880895309647118,9,0.00244140625,0.0146484375,0.0146484375,Large,✓,✓,drugs,QWK_LOO
GPT-Schema,GPT-Law,11,0.04732132262520294,0.5774495929692983,7,0.07373046875,0.1474609375,0.4423828125,Medium,,,drugs,QWK_LOO
GPT-Schema,Raw-Facts,11,0.01232511210888459,0.25617729561307945,7,0.10302734375,0.154541015625,0.6181640625,Small,,,drugs,QWK_LOO
GPT-Schema,Hybrid-Manual,11,0.036086709337239335,0.5667858089242698,8,0.05078125,0.1474609375,0.3046875,Medium,,,drugs,QWK_LOO
GPT-Schema,Hybrid-Full,11,0.017290565335409493,0.20987223842552677,6,0.28857421875,0.34628906249999997,1.0,Small,,,drugs,QWK_LOO
GPT-Free,Manual,11,-0.1024550459099212,-2.1967499713236007,0,1.0,1.0,1.0,Large,,,drugs,QWK_LOO
GPT-Free,GPT-Schema,11,-0.042558466368947716,-1.0880895309647118,2,0.99853515625,1.0,1.0,Large,,,drugs,QWK_LOO
GPT-Free,GPT-Law,11,0.004762856256255216,0.06213527760688446,5,0.64990234375,1.0,1.0,Negligible,,,drugs,QWK_LOO
GPT-Free,Raw-Facts,11,-0.030233354260063128,-0.7555624856356701,3,0.97900390625,1.0,1.0,Medium,,,drugs,QWK_LOO
GPT-Free,Hybrid-Manual,11,-0.006471757031708386,-0.17729905439065186,6,0.71142578125,1.0,1.0,Negligible,,,drugs,QWK_LOO
GPT-Free,Hybrid-Full,11,-0.025267901033538223,-0.31281203093644233,5,0.8173828125,1.0,1.0,Small,,,drugs,QWK_LOO
GPT-Law,Manual,11,-0.10721790216617641,-1.2809500679403951,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,QWK_LOO
GPT-Law,GPT-Schema,11,-0.04732132262520294,-0.5774495929692983,4,0.9384765625,0.99951171875,1.0,Medium,,,drugs,QWK_LOO
GPT-Law,GPT-Free,11,-0.004762856256255216,-0.06213527760688446,6,0.38232421875,0.99951171875,1.0,Negligible,,,drugs,QWK_LOO
GPT-Law,Raw-Facts,11,-0.03499621051631834,-0.6817183193509483,2,0.9951171875,0.99951171875,1.0,Medium,,,drugs,QWK_LOO
GPT-Law,Hybrid-Manual,11,-0.011234613287963602,-0.1350675504092955,4,0.68115234375,0.99951171875,1.0,Negligible,,,drugs,QWK_LOO
GPT-Law,Hybrid-Full,11,-0.03003075728979344,-0.4036529035738622,4,0.8798828125,0.99951171875,1.0,Small,,,drugs,QWK_LOO
Raw-Facts,Manual,11,-0.07222169164985806,-1.2996954198886201,1,0.9990234375,0.9990234375,1.0,Large,,,drugs,QWK_LOO
Raw-Facts,GPT-Schema,11,-0.01232511210888459,-0.25617729561307945,4,0.91259765625,0.9990234375,1.0,Small,,,drugs,QWK_LOO
Raw-Facts,GPT-Free,11,0.030233354260063128,0.7555624856356701,8,0.02685546875,0.08056640625,0.1611328125,Medium,,,drugs,QWK_LOO
Raw-Facts,GPT-Law,11,0.03499621051631834,0.6817183193509483,9,0.0068359375,0.041015625,0.041015625,Medium,✓,✓,drugs,QWK_LOO
Raw-Facts,Hybrid-Manual,11,0.023761597228354744,0.5421825360312152,8,0.0615234375,0.123046875,0.369140625,Medium,,,drugs,QWK_LOO
Raw-Facts,Hybrid-Full,11,0.004965453226524904,0.0702884118670403,7,0.35009765625,0.525146484375,1.0,Negligible,,,drugs,QWK_LOO
Hybrid-Manual,Manual,11,-0.0959832888782128,-1.4743462797384939,1,0.9990234375,0.9990234375,1.0,Large,,,drugs,QWK_LOO
Hybrid-Manual,GPT-Schema,11,-0.036086709337239335,-0.5667858089242698,3,0.95849609375,0.9990234375,1.0,Medium,,,drugs,QWK_LOO
Hybrid-Manual,GPT-Free,11,0.006471757031708386,0.17729905439065186,5,0.31884765625,0.9990234375,1.0,Negligible,,,drugs,QWK_LOO
Hybrid-Manual,GPT-Law,11,0.011234613287963602,0.1350675504092955,7,0.35009765625,0.9990234375,1.0,Negligible,,,drugs,QWK_LOO
Hybrid-Manual,Raw-Facts,11,-0.023761597228354744,-0.5421825360312152,3,0.94921875,0.9990234375,1.0,Medium,,,drugs,QWK_LOO
Hybrid-Manual,Hybrid-Full,11,-0.01879614400182984,-0.21775724216736667,7,0.55078125,0.9990234375,1.0,Small,,,drugs,QWK_LOO
Hybrid-Full,Manual,11,-0.07718714487638297,-1.2920369869007298,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,QWK_LOO
Hybrid-Full,GPT-Schema,11,-0.017290565335409493,-0.20987223842552677,5,0.740234375,0.8882812499999999,1.0,Small,,,drugs,QWK_LOO
Hybrid-Full,GPT-Free,11,0.025267901033538223,0.31281203093644233,6,0.20654296875,0.61962890625,1.0,Small,,,drugs,QWK_LOO
Hybrid-Full,GPT-Law,11,0.03003075728979344,0.4036529035738622,7,0.13916015625,0.61962890625,0.8349609375,Small,,,drugs,QWK_LOO
Hybrid-Full,Raw-Facts,11,-0.004965453226524904,-0.0702884118670403,4,0.68115234375,0.8882812499999999,1.0,Negligible,,,drugs,QWK_LOO
Hybrid-Full,Hybrid-Manual,11,0.01879614400182984,0.21775724216736667,4,0.48291015625,0.8882812499999999,1.0,Small,,,drugs,QWK_LOO
Manual,GPT-Schema,11,0.05236603048677344,1.4258768660830128,10,0.00146484375,0.0029296875,0.0087890625,Large,✓,✓,weapon,QWK_LOO
Manual,GPT-Free,11,0.0848913898750346,1.2812130952031477,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,weapon,QWK_LOO
Manual,GPT-Law,11,0.09491055611142639,1.29634056452566,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,QWK_LOO
Manual,Raw-Facts,11,0.09221425652306295,0.9112476852306555,9,0.00341796875,0.0041015625,0.0205078125,Large,✓,✓,weapon,QWK_LOO
Manual,Hybrid-Manual,11,0.05976726100661627,0.846539206165363,9,0.00244140625,0.003662109375,0.0146484375,Large,✓,✓,weapon,QWK_LOO
Manual,Hybrid-Full,11,0.05030783313621641,0.9393519941242303,8,0.01611328125,0.01611328125,0.0966796875,Large,✓,,weapon,QWK_LOO
GPT-Schema,Manual,11,-0.05236603048677344,-1.4258768660830128,1,0.9990234375,0.9990234375,1.0,Large,,,weapon,QWK_LOO
GPT-Schema,GPT-Free,11,0.032525359388261156,0.4446871613435809,6,0.10302734375,0.30908203125,0.6181640625,Small,,,weapon,QWK_LOO
GPT-Schema,GPT-Law,11,0.04254452562465295,0.68159058597833,7,0.0322265625,0.193359375,0.193359375,Medium,,,weapon,QWK_LOO
GPT-Schema,Raw-Facts,11,0.0398482260362895,0.3854609618254923,7,0.1826171875,0.365234375,1.0,Small,,,weapon,QWK_LOO
GPT-Schema,Hybrid-Manual,11,0.007401230519842831,0.12476435221984163,5,0.41552734375,0.623291015625,1.0,Negligible,,,weapon,QWK_LOO
GPT-Schema,Hybrid-Full,11,-0.002058197350557032,-0.031142333586122905,5,0.61767578125,0.7412109375,1.0,Negligible,,,weapon,QWK_LOO
GPT-Free,Manual,11,-0.0848913898750346,-1.2812130952031477,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,QWK_LOO
GPT-Free,GPT-Schema,11,-0.032525359388261156,-0.4446871613435809,5,0.91259765625,0.99951171875,1.0,Small,,,weapon,QWK_LOO
GPT-Free,GPT-Law,11,0.010019166236391793,0.12119512423821888,7,0.31884765625,0.99951171875,1.0,Negligible,,,weapon,QWK_LOO
GPT-Free,Raw-Facts,11,0.007322866648028342,0.08074220526110823,7,0.48291015625,0.99951171875,1.0,Negligible,,,weapon,QWK_LOO
GPT-Free,Hybrid-Manual,11,-0.025124128868418326,-0.2860107386987728,4,0.86083984375,0.99951171875,1.0,Small,,,weapon,QWK_LOO
GPT-Free,Hybrid-Full,11,-0.03458355673881819,-1.160965891943939,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,QWK_LOO
GPT-Law,Manual,11,-0.09491055611142639,-1.29634056452566,0,1.0,1.0,1.0,Large,,,weapon,QWK_LOO
GPT-Law,GPT-Schema,11,-0.04254452562465295,-0.68159058597833,3,0.9755859375,1.0,1.0,Medium,,,weapon,QWK_LOO
