A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Manual,GPT-Schema,11,0.03572029704833839,1.4690520341182098,11,0.00048828125,0.00048828125,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
Manual,GPT-Free,11,0.07172717453234576,3.015616027007185,11,0.00048828125,0.00048828125,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
Manual,GPT-Law,11,0.08504187390088314,2.886978114927983,11,0.00048828125,0.00048828125,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
Manual,Raw-Facts,11,0.06323349478187427,2.5197084840448527,11,0.00048828125,0.00048828125,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
Manual,Hybrid-Manual,11,0.054250096664629426,2.9351713644327004,11,0.00048828125,0.00048828125,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
Manual,Hybrid-Full,11,0.05035759325927343,2.1148602127923115,11,0.00048828125,0.00048828125,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
GPT-Schema,Manual,11,-0.03572029704833839,-1.4690520341182098,0,1.0,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Schema,GPT-Free,11,0.03600687748400737,1.6693020565006174,11,0.00048828125,0.00146484375,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
GPT-Schema,GPT-Law,11,0.04932157685254475,1.7149806957238016,11,0.00048828125,0.00146484375,0.0029296875,Large,Y,Y,drugs,QWK_Oracle
GPT-Schema,Raw-Facts,11,0.027513197733535888,1.1284837436231976,9,0.0048828125,0.009765625,0.029296875,Large,Y,Y,drugs,QWK_Oracle
GPT-Schema,Hybrid-Manual,11,0.018529799616291035,0.7644064752211813,9,0.02099609375,0.031494140625,0.1259765625,Medium,Y,,drugs,QWK_Oracle
GPT-Schema,Hybrid-Full,11,0.014637296210935043,0.4222985230436191,7,0.1201171875,0.144140625,0.720703125,Small,,,drugs,QWK_Oracle
GPT-Free,Manual,11,-0.07172717453234576,-3.015616027007185,0,1.0,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Free,GPT-Schema,11,-0.03600687748400737,-1.6693020565006174,0,1.0,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Free,GPT-Law,11,0.013314699368537382,0.7097227202839217,9,0.00927734375,0.0556640625,0.0556640625,Medium,,,drugs,QWK_Oracle
GPT-Free,Raw-Facts,11,-0.008493679750471479,-0.45430982128042086,5,0.92626953125,1.0,1.0,Small,,,drugs,QWK_Oracle
GPT-Free,Hybrid-Manual,11,-0.01747707786771633,-1.673975839194689,2,0.99853515625,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Free,Hybrid-Full,11,-0.021369581273072324,-0.6930736969667806,4,0.94921875,1.0,1.0,Medium,,,drugs,QWK_Oracle
GPT-Law,Manual,11,-0.08504187390088314,-2.886978114927983,0,1.0,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Law,GPT-Schema,11,-0.04932157685254475,-1.7149806957238016,0,1.0,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Law,GPT-Free,11,-0.013314699368537382,-0.7097227202839217,2,0.9931640625,1.0,1.0,Medium,,,drugs,QWK_Oracle
GPT-Law,Raw-Facts,11,-0.02180837911900886,-1.2056696959198887,2,0.99658203125,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Law,Hybrid-Manual,11,-0.030791777236253714,-1.5958098879287013,0,1.0,1.0,1.0,Large,,,drugs,QWK_Oracle
GPT-Law,Hybrid-Full,11,-0.03468428064160971,-0.9171338095610334,2,0.99755859375,1.0,1.0,Large,,,drugs,QWK_Oracle
Raw-Facts,Manual,11,-0.06323349478187427,-2.5197084840448527,0,1.0,1.0,1.0,Large,,,drugs,QWK_Oracle
Raw-Facts,GPT-Schema,11,-0.027513197733535888,-1.1284837436231976,2,0.99658203125,1.0,1.0,Large,,,drugs,QWK_Oracle
Raw-Facts,GPT-Free,11,0.008493679750471479,0.45430982128042086,6,0.08740234375,0.26220703125,0.5244140625,Small,,,drugs,QWK_Oracle
Raw-Facts,GPT-Law,11,0.02180837911900886,1.2056696959198887,9,0.0048828125,0.029296875,0.029296875,Large,Y,Y,drugs,QWK_Oracle
