metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
QWK_CV30,drugs,Manual,Hybrid-Manual,11,0.8406,0.753,0.0876,1.791,11,0.000488,0.000586,0.002928,True
QWK_CV30,drugs,Manual,Hybrid-Full,11,0.8406,0.769,0.0715,1.676,11,0.000488,0.000586,0.002928,True
QWK_CV30,drugs,Manual,GPT-Schema,11,0.8406,0.7825,0.0581,1.552,11,0.000488,0.000586,0.002928,True
QWK_CV30,drugs,Manual,GPT-Free,11,0.8406,0.7434,0.0971,2.287,11,0.000488,0.000586,0.002928,True
QWK_CV30,drugs,Manual,GPT-Law,11,0.8406,0.737,0.1035,1.583,11,0.000488,0.000586,0.002928,True
QWK_CV30,drugs,Manual,Raw-Facts,11,0.8406,0.762,0.0786,1.432,10,0.000977,0.000977,0.005862,True
QWK_CV30,drugs,Hybrid-Manual,Manual,11,0.753,0.8406,-0.0876,-1.791,0,1.0,1.0,1.0,False
QWK_CV30,drugs,Hybrid-Manual,Hybrid-Full,11,0.753,0.769,-0.016,-0.289,4,0.879883,1.0,1.0,False
QWK_CV30,drugs,Hybrid-Manual,GPT-Schema,11,0.753,0.7825,-0.0295,-0.623,3,0.973145,1.0,1.0,False
QWK_CV30,drugs,Hybrid-Manual,GPT-Free,11,0.753,0.7434,0.0096,0.424,7,0.13916,0.697266,0.83496,False
QWK_CV30,drugs,Hybrid-Manual,GPT-Law,11,0.753,0.737,0.016,0.285,7,0.232422,0.697266,1.0,False
QWK_CV30,drugs,Hybrid-Manual,Raw-Facts,11,0.753,0.762,-0.009,-0.251,3,0.879883,1.0,1.0,False
QWK_CV30,drugs,Hybrid-Full,Manual,11,0.769,0.8406,-0.0715,-1.676,0,1.0,1.0,1.0,False
QWK_CV30,drugs,Hybrid-Full,Hybrid-Manual,11,0.769,0.753,0.016,0.289,7,0.13916,0.27832,0.83496,False
QWK_CV30,drugs,Hybrid-Full,GPT-Schema,11,0.769,0.7825,-0.0135,-0.253,4,0.711426,0.853711,1.0,False
QWK_CV30,drugs,Hybrid-Full,GPT-Free,11,0.769,0.7434,0.0256,0.471,8,0.087402,0.27832,0.524412,False
QWK_CV30,drugs,Hybrid-Full,GPT-Law,11,0.769,0.737,0.032,0.409,6,0.13916,0.27832,0.83496,False
QWK_CV30,drugs,Hybrid-Full,Raw-Facts,11,0.769,0.762,0.0071,0.107,6,0.48291,0.724365,1.0,False
QWK_CV30,drugs,GPT-Schema,Manual,11,0.7825,0.8406,-0.0581,-1.552,0,1.0,1.0,1.0,False
QWK_CV30,drugs,GPT-Schema,Hybrid-Manual,11,0.7825,0.753,0.0295,0.623,8,0.033691,0.050536,0.202146,False
QWK_CV30,drugs,GPT-Schema,Hybrid-Full,11,0.7825,0.769,0.0135,0.253,7,0.318848,0.382618,1.0,False
QWK_CV30,drugs,GPT-Schema,GPT-Free,11,0.7825,0.7434,0.0391,1.11,9,0.002441,0.014646,0.014646,True
QWK_CV30,drugs,GPT-Schema,GPT-Law,11,0.7825,0.737,0.0455,0.728,10,0.009277,0.027831,0.055662,True
QWK_CV30,drugs,GPT-Schema,Raw-Facts,11,0.7825,0.762,0.0205,0.428,10,0.026855,0.050536,0.16113,False
QWK_CV30,drugs,GPT-Free,Manual,11,0.7434,0.8406,-0.0971,-2.287,0,1.0,1.0,1.0,False
QWK_CV30,drugs,GPT-Free,Hybrid-Manual,11,0.7434,0.753,-0.0096,-0.424,4,0.879883,1.0,1.0,False
QWK_CV30,drugs,GPT-Free,Hybrid-Full,11,0.7434,0.769,-0.0256,-0.471,3,0.92627,1.0,1.0,False
QWK_CV30,drugs,GPT-Free,GPT-Schema,11,0.7434,0.7825,-0.0391,-1.11,2,0.998535,1.0,1.0,False
QWK_CV30,drugs,GPT-Free,GPT-Law,11,0.7434,0.737,0.0064,0.124,4,0.550781,1.0,1.0,False
QWK_CV30,drugs,GPT-Free,Raw-Facts,11,0.7434,0.762,-0.0185,-0.565,3,0.949219,1.0,1.0,False
QWK_CV30,drugs,GPT-Law,Manual,11,0.737,0.8406,-0.1035,-1.583,0,1.0,1.0,1.0,False
QWK_CV30,drugs,GPT-Law,Hybrid-Manual,11,0.737,0.753,-0.016,-0.285,4,0.793457,1.0,1.0,False
QWK_CV30,drugs,GPT-Law,Hybrid-Full,11,0.737,0.769,-0.032,-0.409,5,0.879883,1.0,1.0,False
QWK_CV30,drugs,GPT-Law,GPT-Schema,11,0.737,0.7825,-0.0455,-0.728,1,0.993164,1.0,1.0,False
QWK_CV30,drugs,GPT-Law,GPT-Free,11,0.737,0.7434,-0.0064,-0.124,7,0.48291,1.0,1.0,False
QWK_CV30,drugs,GPT-Law,Raw-Facts,11,0.737,0.762,-0.0249,-0.764,4,0.979004,1.0,1.0,False
QWK_CV30,drugs,Raw-Facts,Manual,11,0.762,0.8406,-0.0786,-1.432,1,0.999512,0.999512,1.0,False
QWK_CV30,drugs,Raw-Facts,Hybrid-Manual,11,0.762,0.753,0.009,0.251,8,0.13916,0.27832,0.83496,False
QWK_CV30,drugs,Raw-Facts,Hybrid-Full,11,0.762,0.769,-0.0071,-0.107,5,0.550781,0.826172,1.0,False
QWK_CV30,drugs,Raw-Facts,GPT-Schema,11,0.762,0.7825,-0.0205,-0.428,1,0.979004,0.999512,1.0,False
QWK_CV30,drugs,Raw-Facts,GPT-Free,11,0.762,0.7434,0.0185,0.565,8,0.061523,0.184569,0.369138,False
QWK_CV30,drugs,Raw-Facts,GPT-Law,11,0.762,0.737,0.0249,0.764,7,0.026855,0.16113,0.16113,False
QWK_CV30,weapon,Manual,Hybrid-Manual,11,0.7364,0.7019,0.0345,0.66,7,0.041504,0.041504,0.249024,True
QWK_CV30,weapon,Manual,Hybrid-Full,11,0.7364,0.7028,0.0336,0.63,8,0.033691,0.040429,0.202146,True
QWK_CV30,weapon,Manual,GPT-Schema,11,0.7364,0.6854,0.051,0.941,9,0.006836,0.013672,0.041016,True
QWK_CV30,weapon,Manual,GPT-Free,11,0.7364,0.6634,0.073,1.437,10,0.000977,0.002931,0.005862,True
QWK_CV30,weapon,Manual,GPT-Law,11,0.7364,0.6587,0.0778,1.226,10,0.000977,0.002931,0.005862,True
QWK_CV30,weapon,Manual,Raw-Facts,11,0.7364,0.6625,0.0739,0.799,9,0.012207,0.018311,0.073242,True
QWK_CV30,weapon,Hybrid-Manual,Manual,11,0.7019,0.7364,-0.0345,-0.66,4,0.966309,0.966309,1.0,False
QWK_CV30,weapon,Hybrid-Manual,Hybrid-Full,11,0.7019,0.7028,-0.0009,-0.014,7,0.350098,0.420118,1.0,False
QWK_CV30,weapon,Hybrid-Manual,GPT-Schema,11,0.7019,0.6854,0.0165,0.381,7,0.13916,0.20874,0.83496,False
QWK_CV30,weapon,Hybrid-Manual,GPT-Free,11,0.7019,0.6634,0.0386,1.075,8,0.006836,0.036621,0.041016,True
QWK_CV30,weapon,Hybrid-Manual,GPT-Law,11,0.7019,0.6587,0.0433,0.888,8,0.012207,0.036621,0.073242,True
QWK_CV30,weapon,Hybrid-Manual,Raw-Facts,11,0.7019,0.6625,0.0395,0.413,8,0.103027,0.206054,0.618162,False
QWK_CV30,weapon,Hybrid-Full,Manual,11,0.7028,0.7364,-0.0336,-0.63,3,0.973145,0.973145,1.0,False
QWK_CV30,weapon,Hybrid-Full,Hybrid-Manual,11,0.7028,0.7019,0.0009,0.014,4,0.681152,0.817382,1.0,False
QWK_CV30,weapon,Hybrid-Full,GPT-Schema,11,0.7028,0.6854,0.0174,0.242,7,0.318848,0.478272,1.0,False
QWK_CV30,weapon,Hybrid-Full,GPT-Free,11,0.7028,0.6634,0.0394,1.14,11,0.000488,0.002928,0.002928,True
QWK_CV30,weapon,Hybrid-Full,GPT-Law,11,0.7028,0.6587,0.0442,0.557,9,0.050781,0.101562,0.304686,False
QWK_CV30,weapon,Hybrid-Full,Raw-Facts,11,0.7028,0.6625,0.0403,0.741,9,0.009277,0.027831,0.055662,True
QWK_CV30,weapon,GPT-Schema,Manual,11,0.6854,0.7364,-0.051,-0.941,2,0.995117,0.995117,1.0,False
QWK_CV30,weapon,GPT-Schema,Hybrid-Manual,11,0.6854,0.7019,-0.0165,-0.381,4,0.879883,0.995117,1.0,False
QWK_CV30,weapon,GPT-Schema,Hybrid-Full,11,0.6854,0.7028,-0.0174,-0.242,4,0.711426,0.995117,1.0,False
QWK_CV30,weapon,GPT-Schema,GPT-Free,11,0.6854,0.6634,0.022,0.426,7,0.103027,0.365234,0.618162,False
QWK_CV30,weapon,GPT-Schema,GPT-Law,11,0.6854,0.6587,0.0268,0.48,6,0.160156,0.365234,0.960936,False
QWK_CV30,weapon,GPT-Schema,Raw-Facts,11,0.6854,0.6625,0.0229,0.227,8,0.182617,0.365234,1.0,False
QWK_CV30,weapon,GPT-Free,Manual,11,0.6634,0.7364,-0.073,-1.437,1,0.999512,1.0,1.0,False
QWK_CV30,weapon,GPT-Free,Hybrid-Manual,11,0.6634,0.7019,-0.0386,-1.075,3,0.995117,1.0,1.0,False
QWK_CV30,weapon,GPT-Free,Hybrid-Full,11,0.6634,0.7028,-0.0394,-1.14,0,1.0,1.0,1.0,False
QWK_CV30,weapon,GPT-Free,GPT-Schema,11,0.6634,0.6854,-0.022,-0.426,4,0.912598,1.0,1.0,False
QWK_CV30,weapon,GPT-Free,GPT-Law,11,0.6634,0.6587,0.0047,0.083,7,0.318848,1.0,1.0,False
QWK_CV30,weapon,GPT-Free,Raw-Facts,11,0.6634,0.6625,0.0009,0.012,6,0.550781,1.0,1.0,False
QWK_CV30,weapon,GPT-Law,Manual,11,0.6587,0.7364,-0.0778,-1.226,1,0.999512,0.999512,1.0,False
QWK_CV30,weapon,GPT-Law,Hybrid-Manual,11,0.6587,0.7019,-0.0433,-0.888,3,0.990723,0.999512,1.0,False
QWK_CV30,weapon,GPT-Law,Hybrid-Full,11,0.6587,0.7028,-0.0442,-0.557,2,0.958496,0.999512,1.0,False
QWK_CV30,weapon,GPT-Law,GPT-Schema,11,0.6587,0.6854,-0.0268,-0.48,5,0.86084,0.999512,1.0,False
QWK_CV30,weapon,GPT-Law,GPT-Free,11,0.6587,0.6634,-0.0047,-0.083,4,0.711426,0.999512,1.0,False
QWK_CV30,weapon,GPT-Law,Raw-Facts,11,0.6587,0.6625,-0.0038,-0.036,5,0.711426,0.999512,1.0,False
QWK_CV30,weapon,Raw-Facts,Manual,11,0.6625,0.7364,-0.0739,-0.799,2,0.990723,0.993164,1.0,False
QWK_CV30,weapon,Raw-Facts,Hybrid-Manual,11,0.6625,0.7019,-0.0395,-0.413,3,0.912598,0.993164,1.0,False
