A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Manual,GPT-Schema,11,0.023036131420397076,1.6074182398707577,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Manual,GPT-Free,11,0.042544275012334036,1.5792676862225696,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Manual,GPT-Law,11,0.059097586546280695,3.496723278029955,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Manual,Raw-Facts,11,0.05515318672205837,2.2922180600389486,10,0.0009765625,0.0009765625,0.005859375,Large,✓,✓,drugs,0,AP_PR
Manual,Hybrid-Manual,11,0.01623556464913032,0.9764766637564236,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,0,AP_PR
Manual,Hybrid-Full,11,0.023424474343347247,1.097292871651202,11,0.00048828125,0.0005859375,0.0029296875,Large,✓,✓,drugs,0,AP_PR
GPT-Schema,Manual,11,-0.023036131420397076,-1.6074182398707577,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Schema,GPT-Free,11,0.019508143591936956,0.6762221657122015,9,0.02685546875,0.0537109375,0.1611328125,Medium,,,drugs,0,AP_PR
GPT-Schema,GPT-Law,11,0.036061455125883615,1.7403826434954797,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,drugs,0,AP_PR
GPT-Schema,Raw-Facts,11,0.03211705530166129,1.4431861930108525,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,drugs,0,AP_PR
GPT-Schema,Hybrid-Manual,11,-0.006800566771266755,-0.3283336703426188,3,0.8798828125,1.0,1.0,Small,,,drugs,0,AP_PR
GPT-Schema,Hybrid-Full,11,0.0003883429229501719,0.0369265054772605,6,0.44921875,0.673828125,1.0,Negligible,,,drugs,0,AP_PR
GPT-Free,Manual,11,-0.042544275012334036,-1.5792676862225696,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Free,GPT-Schema,11,-0.019508143591936956,-0.6762221657122015,2,0.97900390625,1.0,1.0,Medium,,,drugs,0,AP_PR
GPT-Free,GPT-Law,11,0.01655331153394666,0.8122381836320621,9,0.02685546875,0.1611328125,0.1611328125,Large,,,drugs,0,AP_PR
GPT-Free,Raw-Facts,11,0.012608911709724335,0.4161586144096975,6,0.13916015625,0.41748046875,0.8349609375,Small,,,drugs,0,AP_PR
GPT-Free,Hybrid-Manual,11,-0.026308710363203713,-1.51528091460212,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Free,Hybrid-Full,11,-0.019119800668986785,-0.5782304038482327,4,0.9384765625,1.0,1.0,Medium,,,drugs,0,AP_PR
GPT-Law,Manual,11,-0.059097586546280695,-3.496723278029955,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
GPT-Law,GPT-Schema,11,-0.036061455125883615,-1.7403826434954797,0,1.0,1.0,1.0,Large,,,drugs,0,AP_PR
