A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Manual,GPT-Schema,11,0.034864172076492554,1.1953466005574864,10,0.0009765625,0.001171875,0.005859375,Large,✓,✓,drugs,0,F1
Manual,GPT-Free,11,0.027358504007923178,1.1286570088911063,10,0.0009765625,0.001171875,0.005859375,Large,✓,✓,drugs,0,F1
Manual,GPT-Law,11,0.04333985454622435,1.7600311375511364,10,0.0009765625,0.001171875,0.005859375,Large,✓,✓,drugs,0,F1
Manual,Raw-Facts,11,0.03645021719384694,1.0915673927727316,11,0.00048828125,0.001171875,0.0029296875,Large,✓,✓,drugs,0,F1
Manual,Hybrid-Manual,11,0.023363039424969947,1.0242003115558658,9,0.0068359375,0.0068359375,0.041015625,Large,✓,✓,drugs,0,F1
Manual,Hybrid-Full,11,0.030491786799983222,1.1466311536582352,10,0.0009765625,0.001171875,0.005859375,Large,✓,✓,drugs,0,F1
GPT-Schema,Manual,11,-0.034864172076492554,-1.1953466005574864,0,1.0,1.0,1.0,Large,,,drugs,0,F1
GPT-Schema,GPT-Free,11,-0.0075056680685693785,-0.21629606436044435,5,0.79345703125,1.0,1.0,Small,,,drugs,0,F1
GPT-Schema,GPT-Law,11,0.008475682469731788,0.2955706017499177,7,0.1826171875,1.0,1.0,Small,,,drugs,0,F1
GPT-Schema,Raw-Facts,11,0.0015860451173543844,0.0545262946324377,6,0.55078125,1.0,1.0,Negligible,,,drugs,0,F1
GPT-Schema,Hybrid-Manual,11,-0.01150113265152261,-0.3246304002489,6,0.86083984375,1.0,1.0,Small,,,drugs,0,F1
GPT-Schema,Hybrid-Full,11,-0.004372385276509335,-0.19280635928886997,5,0.7841796875,1.0,1.0,Negligible,,,drugs,0,F1
GPT-Free,Manual,11,-0.027358504007923178,-1.1286570088911063,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,0,F1
GPT-Free,GPT-Schema,11,0.0075056680685693785,0.21629606436044435,6,0.232421875,0.46875,1.0,Small,,,drugs,0,F1
GPT-Free,GPT-Law,11,0.015981350538301166,0.6748020498454929,8,0.0322265625,0.193359375,0.193359375,Medium,,,drugs,0,F1
GPT-Free,Raw-Facts,11,0.009091713185923762,0.3642416118025053,6,0.28515625,0.46875,1.0,Small,,,drugs,0,F1
GPT-Free,Hybrid-Manual,11,-0.003995464582953231,-0.2255500428477034,3,0.8388671875,0.99951171875,1.0,Small,,,drugs,0,F1
GPT-Free,Hybrid-Full,11,0.0031332827920600437,0.11179439278860835,6,0.3125,0.46875,1.0,Negligible,,,drugs,0,F1
GPT-Law,Manual,11,-0.04333985454622435,-1.7600311375511364,0,1.0,1.0,1.0,Large,,,drugs,0,F1
GPT-Law,GPT-Schema,11,-0.008475682469731788,-0.2955706017499177,4,0.83984375,1.0,1.0,Small,,,drugs,0,F1
GPT-Law,GPT-Free,11,-0.015981350538301166,-0.6748020498454929,2,0.9755859375,1.0,1.0,Medium,,,drugs,0,F1
GPT-Law,Raw-Facts,11,-0.006889637352377404,-0.30720003715349864,5,0.8173828125,1.0,1.0,Small,,,drugs,0,F1
GPT-Law,Hybrid-Manual,11,-0.019976815121254397,-0.7002944270361297,3,0.97900390625,1.0,1.0,Medium,,,drugs,0,F1
GPT-Law,Hybrid-Full,11,-0.012848067746241122,-0.39450736561227856,3,0.89697265625,1.0,1.0,Small,,,drugs,0,F1
Raw-Facts,Manual,11,-0.03645021719384694,-1.0915673927727316,0,1.0,1.0,1.0,Large,,,drugs,0,F1
Raw-Facts,GPT-Schema,11,-0.0015860451173543844,-0.0545262946324377,5,0.48291015625,1.0,1.0,Negligible,,,drugs,0,F1
Raw-Facts,GPT-Free,11,-0.009091713185923762,-0.3642416118025053,3,0.751953125,1.0,1.0,Small,,,drugs,0,F1
Raw-Facts,GPT-Law,11,0.006889637352377404,0.30720003715349864,6,0.20654296875,1.0,1.0,Small,,,drugs,0,F1
Raw-Facts,Hybrid-Manual,11,-0.013087177768876994,-0.3981170370738193,3,0.8984375,1.0,1.0,Small,,,drugs,0,F1
Raw-Facts,Hybrid-Full,11,-0.005958430393863719,-0.17642708573589072,5,0.75390625,1.0,1.0,Negligible,,,drugs,0,F1
Hybrid-Manual,Manual,11,-0.023363039424969947,-1.0242003115558658,2,0.9951171875,0.9951171875,1.0,Large,,,drugs,0,F1
Hybrid-Manual,GPT-Schema,11,0.01150113265152261,0.3246304002489,5,0.16015625,0.24785156249999998,0.9609375,Small,,,drugs,0,F1
Hybrid-Manual,GPT-Free,11,0.003995464582953231,0.2255500428477034,7,0.1875,0.24785156249999998,1.0,Small,,,drugs,0,F1
Hybrid-Manual,GPT-Law,11,0.019976815121254397,0.7002944270361297,8,0.02685546875,0.1611328125,0.1611328125,Medium,,,drugs,0,F1
Hybrid-Manual,Raw-Facts,11,0.013087177768876994,0.3981170370738193,6,0.125,0.24785156249999998,0.75,Small,,,drugs,0,F1
Hybrid-Manual,Hybrid-Full,11,0.007128747375013274,0.2828156101682025,7,0.20654296875,0.24785156249999998,1.0,Small,,,drugs,0,F1
Hybrid-Full,Manual,11,-0.030491786799983222,-1.1466311536582352,0,1.0,1.0,1.0,Large,,,drugs,0,F1
Hybrid-Full,GPT-Schema,11,0.004372385276509335,0.19280635928886997,5,0.24609375,0.556640625,1.0,Negligible,,,drugs,0,F1
Hybrid-Full,GPT-Free,11,-0.0031332827920600437,-0.11179439278860835,4,0.7216796875,0.980859375,1.0,Negligible,,,drugs,0,F1
Hybrid-Full,GPT-Law,11,0.012848067746241122,0.39450736561227856,8,0.1201171875,0.556640625,0.720703125,Small,,,drugs,0,F1
Hybrid-Full,Raw-Facts,11,0.005958430393863719,0.17642708573589072,5,0.2783203125,0.556640625,1.0,Negligible,,,drugs,0,F1
Hybrid-Full,Hybrid-Manual,11,-0.007128747375013274,-0.2828156101682025,4,0.8173828125,0.980859375,1.0,Small,,,drugs,0,F1
Manual,GPT-Schema,11,0.013152465501910687,0.42376446986045735,7,0.10302734375,0.10302734375,0.6181640625,Small,,,drugs,1,F1
Manual,GPT-Free,11,0.03618246307857782,1.4924003500057594,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1
Manual,GPT-Law,11,0.05017912314859773,2.5253100704919635,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1
Manual,Raw-Facts,11,0.03216305731862687,1.2134518487605728,9,0.00341796875,0.0068359375,0.0205078125,Large,✓,✓,drugs,1,F1
Manual,Hybrid-Manual,11,0.022627846640238283,0.8492810456797872,9,0.0244140625,0.029296875,0.146484375,Large,✓,,drugs,1,F1
Manual,Hybrid-Full,11,0.026165308219890424,1.1065573998453941,10,0.0048828125,0.00732421875,0.029296875,Large,✓,✓,drugs,1,F1
GPT-Schema,Manual,11,-0.013152465501910687,-0.42376446986045735,4,0.91259765625,0.91259765625,1.0,Small,,,drugs,1,F1
GPT-Schema,GPT-Free,11,0.023029997576667138,1.067691766579016,9,0.00341796875,0.0068359375,0.0205078125,Large,✓,✓,drugs,1,F1
GPT-Schema,GPT-Law,11,0.03702665764668704,2.2529436732314623,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,drugs,1,F1
GPT-Schema,Raw-Facts,11,0.01901059181671618,1.0432891634138919,10,0.00244140625,0.0068359375,0.0146484375,Large,✓,✓,drugs,1,F1
GPT-Schema,Hybrid-Manual,11,0.009475381138327597,0.338629124349546,6,0.1826171875,0.21914062499999998,1.0,Small,,,drugs,1,F1
GPT-Schema,Hybrid-Full,11,0.013012842717979735,0.877018157895864,8,0.01220703125,0.018310546875,0.0732421875,Large,✓,,drugs,1,F1
GPT-Free,Manual,11,-0.03618246307857782,-1.4924003500057594,0,1.0,1.0,1.0,Large,,,drugs,1,F1
GPT-Free,GPT-Schema,11,-0.023029997576667138,-1.067691766579016,2,0.99755859375,1.0,1.0,Large,,,drugs,1,F1
GPT-Free,GPT-Law,11,0.013996660070019902,0.8254904061472647,9,0.001953125,0.01171875,0.01171875,Large,✓,✓,drugs,1,F1
GPT-Free,Raw-Facts,11,-0.0040194057599509565,-0.16756357026518934,3,0.89697265625,1.0,1.0,Negligible,,,drugs,1,F1
GPT-Free,Hybrid-Manual,11,-0.01355461643833954,-0.742769473250513,2,0.9814453125,1.0,1.0,Medium,,,drugs,1,F1
GPT-Free,Hybrid-Full,11,-0.010017154858687401,-0.48827566011900386,1,0.97900390625,1.0,1.0,Small,,,drugs,1,F1
GPT-Law,Manual,11,-0.05017912314859773,-2.5253100704919635,0,1.0,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,GPT-Schema,11,-0.03702665764668704,-2.2529436732314623,0,1.0,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,GPT-Free,11,-0.013996660070019902,-0.8254904061472647,1,0.9990234375,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,Raw-Facts,11,-0.01801606582997086,-1.0281329173293317,1,0.99658203125,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,Hybrid-Manual,11,-0.027551276508359444,-1.225659607587639,1,0.99951171875,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,Hybrid-Full,11,-0.024013814928707303,-2.3281008534222143,0,1.0,1.0,1.0,Large,,,drugs,1,F1
Raw-Facts,Manual,11,-0.03216305731862687,-1.2134518487605728,2,0.99755859375,0.99853515625,1.0,Large,,,drugs,1,F1
Raw-Facts,GPT-Schema,11,-0.01901059181671618,-1.0432891634138919,1,0.99853515625,0.99853515625,1.0,Large,,,drugs,1,F1
Raw-Facts,GPT-Free,11,0.0040194057599509565,0.16756357026518934,8,0.1201171875,0.3603515625,0.720703125,Negligible,,,drugs,1,F1
Raw-Facts,GPT-Law,11,0.01801606582997086,1.0281329173293317,10,0.0048828125,0.029296875,0.029296875,Large,✓,✓,drugs,1,F1
Raw-Facts,Hybrid-Manual,11,-0.009535210678388584,-0.4698937445725469,3,0.9443359375,0.99853515625,1.0,Small,,,drugs,1,F1
Raw-Facts,Hybrid-Full,11,-0.005997749098736445,-0.4611945751830291,3,0.95849609375,0.99853515625,1.0,Small,,,drugs,1,F1
Hybrid-Manual,Manual,11,-0.022627846640238283,-0.8492810456797872,1,0.9814453125,0.9814453125,1.0,Large,,,drugs,1,F1
Hybrid-Manual,GPT-Schema,11,-0.009475381138327597,-0.338629124349546,5,0.83984375,0.9814453125,1.0,Small,,,drugs,1,F1
Hybrid-Manual,GPT-Free,11,0.01355461643833954,0.742769473250513,8,0.0244140625,0.0732421875,0.146484375,Medium,,,drugs,1,F1
Hybrid-Manual,GPT-Law,11,0.027551276508359444,1.225659607587639,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,drugs,1,F1
Hybrid-Manual,Raw-Facts,11,0.009535210678388584,0.4698937445725469,7,0.0625,0.125,0.375,Small,,,drugs,1,F1
Hybrid-Manual,Hybrid-Full,11,0.0035374615796521388,0.15773040816237838,5,0.44921875,0.673828125,1.0,Negligible,,,drugs,1,F1
Hybrid-Full,Manual,11,-0.026165308219890424,-1.1065573998453941,1,0.99658203125,0.99658203125,1.0,Large,,,drugs,1,F1
Hybrid-Full,GPT-Schema,11,-0.013012842717979735,-0.877018157895864,3,0.99072265625,0.99658203125,1.0,Large,,,drugs,1,F1
Hybrid-Full,GPT-Free,11,0.010017154858687401,0.48827566011900386,10,0.02685546875,0.08056640625,0.1611328125,Small,,,drugs,1,F1
Hybrid-Full,GPT-Law,11,0.024013814928707303,2.3281008534222143,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,drugs,1,F1
Hybrid-Full,Raw-Facts,11,0.005997749098736445,0.4611945751830291,8,0.05078125,0.1015625,0.3046875,Small,,,drugs,1,F1
Hybrid-Full,Hybrid-Manual,11,-0.0035374615796521388,-0.15773040816237838,6,0.58447265625,0.876708984375,1.0,Negligible,,,drugs,1,F1
Manual,GPT-Schema,11,0.01056705428888746,0.30554274881496796,6,0.16015625,0.3203125,0.9609375,Small,,,weapon,0,F1
Manual,GPT-Free,11,0.01745657445509352,0.4772042488249696,8,0.10302734375,0.30908203125,0.6181640625,Small,,,weapon,0,F1
Manual,GPT-Law,11,0.06003995684072394,1.3356116281510624,10,0.00146484375,0.0087890625,0.0087890625,Large,✓,✓,weapon,0,F1
Manual,Raw-Facts,11,-0.002651812199932965,-0.05856553361037183,4,0.6875,0.825,1.0,Negligible,,,weapon,0,F1
Manual,Hybrid-Manual,11,-0.016541967126291482,-0.63802543777558,3,0.97314453125,0.97314453125,1.0,Medium,,,weapon,0,F1
Manual,Hybrid-Full,11,0.009837210672331604,0.21794577365924742,7,0.259765625,0.3896484375,1.0,Small,,,weapon,0,F1
GPT-Schema,Manual,11,-0.01056705428888746,-0.30554274881496796,5,0.86083984375,0.9814453125,1.0,Small,,,weapon,0,F1
GPT-Schema,GPT-Free,11,0.006889520166206062,0.21921512700019022,6,0.259765625,0.779296875,1.0,Small,,,weapon,0,F1
GPT-Schema,GPT-Law,11,0.04947290255183648,1.146147624083649,10,0.0048828125,0.029296875,0.029296875,Large,✓,✓,weapon,0,F1
GPT-Schema,Raw-Facts,11,-0.013218866488820424,-0.2738301106869175,5,0.8173828125,0.9814453125,1.0,Small,,,weapon,0,F1
GPT-Schema,Hybrid-Manual,11,-0.027109021415178944,-0.7295564565933073,2,0.9814453125,0.9814453125,1.0,Medium,,,weapon,0,F1
GPT-Schema,Hybrid-Full,11,-0.0007298436165558545,-0.022654795719991593,5,0.44921875,0.8984375,1.0,Negligible,,,weapon,0,F1
GPT-Free,Manual,11,-0.01745657445509352,-0.4772042488249696,3,0.91259765625,0.9990234375,1.0,Small,,,weapon,0,F1
GPT-Free,GPT-Schema,11,-0.006889520166206062,-0.21921512700019022,5,0.767578125,0.9990234375,1.0,Small,,,weapon,0,F1
GPT-Free,GPT-Law,11,0.04258338238563042,1.5047739768711703,10,0.00146484375,0.0087890625,0.0087890625,Large,✓,✓,weapon,0,F1
GPT-Free,Raw-Facts,11,-0.020108386655026487,-0.636672479128117,3,0.96630859375,0.9990234375,1.0,Medium,,,weapon,0,F1
GPT-Free,Hybrid-Manual,11,-0.033998541581385,-1.3588482663186974,1,0.9990234375,0.9990234375,1.0,Large,,,weapon,0,F1
GPT-Free,Hybrid-Full,11,-0.007619363782761916,-0.15845948970793083,6,0.51708984375,0.9990234375,1.0,Negligible,,,weapon,0,F1
GPT-Law,Manual,11,-0.06003995684072394,-1.3356116281510624,1,0.9990234375,1.0,1.0,Large,,,weapon,0,F1
GPT-Law,GPT-Schema,11,-0.04947290255183648,-1.146147624083649,1,0.99658203125,1.0,1.0,Large,,,weapon,0,F1
GPT-Law,GPT-Free,11,-0.04258338238563042,-1.5047739768711703,1,0.9990234375,1.0,1.0,Large,,,weapon,0,F1
GPT-Law,Raw-Facts,11,-0.0626917690406569,-1.5559434498817033,0,1.0,1.0,1.0,Large,,,weapon,0,F1
GPT-Law,Hybrid-Manual,11,-0.07658192396701542,-2.4358110076419,0,1.0,1.0,1.0,Large,,,weapon,0,F1
GPT-Law,Hybrid-Full,11,-0.050202746168392334,-0.9653697941181524,2,0.99658203125,1.0,1.0,Large,,,weapon,0,F1
Raw-Facts,Manual,11,0.002651812199932965,0.05856553361037183,6,0.34765625,0.45878906249999996,1.0,Negligible,,,weapon,0,F1
Raw-Facts,GPT-Schema,11,0.013218866488820424,0.2738301106869175,6,0.20654296875,0.4130859375,1.0,Small,,,weapon,0,F1
Raw-Facts,GPT-Free,11,0.020108386655026487,0.636672479128117,8,0.04150390625,0.12451171875,0.2490234375,Medium,,,weapon,0,F1
Raw-Facts,GPT-Law,11,0.0626917690406569,1.5559434498817033,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,0,F1
Raw-Facts,Hybrid-Manual,11,-0.013890154926358518,-0.44167777207822406,5,0.86083984375,0.86083984375,1.0,Small,,,weapon,0,F1
Raw-Facts,Hybrid-Full,11,0.01248902287226457,0.22384148546890428,5,0.38232421875,0.45878906249999996,1.0,Small,,,weapon,0,F1
Hybrid-Manual,Manual,11,0.016541967126291482,0.63802543777558,8,0.03369140625,0.0404296875,0.2021484375,Medium,✓,,weapon,0,F1
Hybrid-Manual,GPT-Schema,11,0.027109021415178944,0.7295564565933073,8,0.0244140625,0.040283203125,0.146484375,Medium,✓,,weapon,0,F1
Hybrid-Manual,GPT-Free,11,0.033998541581385,1.3588482663186974,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,weapon,0,F1
Hybrid-Manual,GPT-Law,11,0.07658192396701542,2.4358110076419,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,0,F1
Hybrid-Manual,Raw-Facts,11,0.013890154926358518,0.44167777207822406,6,0.16015625,0.16015625,0.9609375,Small,,,weapon,0,F1
Hybrid-Manual,Hybrid-Full,11,0.026379177798623088,0.6285927484943874,8,0.02685546875,0.040283203125,0.1611328125,Medium,✓,,weapon,0,F1
Hybrid-Full,Manual,11,-0.009837210672331604,-0.21794577365924742,4,0.767578125,0.9210937499999999,1.0,Small,,,weapon,0,F1
Hybrid-Full,GPT-Schema,11,0.0007298436165558545,0.022654795719991593,6,0.58447265625,0.9210937499999999,1.0,Negligible,,,weapon,0,F1
Hybrid-Full,GPT-Free,11,0.007619363782761916,0.15845948970793083,5,0.51708984375,0.9210937499999999,1.0,Negligible,,,weapon,0,F1
Hybrid-Full,GPT-Law,11,0.050202746168392334,0.9653697941181524,9,0.0048828125,0.029296875,0.029296875,Large,✓,✓,weapon,0,F1
Hybrid-Full,Raw-Facts,11,-0.01248902287226457,-0.22384148546890428,6,0.64990234375,0.9210937499999999,1.0,Small,,,weapon,0,F1
Hybrid-Full,Hybrid-Manual,11,-0.026379177798623088,-0.6285927484943874,3,0.97900390625,0.97900390625,1.0,Medium,,,weapon,0,F1
Manual,GPT-Schema,11,0.05117065469055703,1.68759017167362,10,0.0009765625,0.00146484375,0.005859375,Large,✓,✓,weapon,1,F1
Manual,GPT-Free,11,0.055735515469060214,2.282674647427979,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,weapon,1,F1
Manual,GPT-Law,11,0.05277479846495819,1.8240083376983514,10,0.0009765625,0.00146484375,0.005859375,Large,✓,✓,weapon,1,F1
Manual,Raw-Facts,11,0.03969945258834659,1.5749936573758319,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,weapon,1,F1
Manual,Hybrid-Manual,11,0.016190226688052863,0.5712510196006618,9,0.07373046875,0.07373046875,0.4423828125,Medium,,,weapon,1,F1
Manual,Hybrid-Full,11,0.020275247112067518,0.6163734105067075,8,0.05078125,0.0609375,0.3046875,Medium,,,weapon,1,F1
GPT-Schema,Manual,11,-0.05117065469055703,-1.68759017167362,1,0.99951171875,1.0,1.0,Large,,,weapon,1,F1
GPT-Schema,GPT-Free,11,0.004564860778503185,0.15413190922587966,6,0.259765625,0.95654296875,1.0,Negligible,,,weapon,1,F1
GPT-Schema,GPT-Law,11,0.0016041437744011616,0.043044912042605646,6,0.31884765625,0.95654296875,1.0,Negligible,,,weapon,1,F1
GPT-Schema,Raw-Facts,11,-0.011471202102210441,-0.39168395260827393,5,0.8173828125,1.0,1.0,Small,,,weapon,1,F1
GPT-Schema,Hybrid-Manual,11,-0.034980428002504164,-1.78327097117528,1,0.99951171875,1.0,1.0,Large,,,weapon,1,F1
GPT-Schema,Hybrid-Full,11,-0.03089540757848951,-1.160902812292574,0,1.0,1.0,1.0,Large,,,weapon,1,F1
GPT-Free,Manual,11,-0.055735515469060214,-2.282674647427979,0,1.0,1.0,1.0,Large,,,weapon,1,F1
GPT-Free,GPT-Schema,11,-0.004564860778503185,-0.15413190922587966,5,0.767578125,1.0,1.0,Negligible,,,weapon,1,F1
GPT-Free,GPT-Law,11,-0.0029607170041020233,-0.13421115805020814,3,0.740234375,1.0,1.0,Negligible,,,weapon,1,F1
GPT-Free,Raw-Facts,11,-0.016036062880713627,-1.1872859974687224,1,0.99951171875,1.0,1.0,Large,,,weapon,1,F1
GPT-Free,Hybrid-Manual,11,-0.039545288781007354,-1.5876834892247378,0,1.0,1.0,1.0,Large,,,weapon,1,F1
GPT-Free,Hybrid-Full,11,-0.035460268356992695,-1.4437926119017563,1,0.9990234375,1.0,1.0,Large,,,weapon,1,F1
GPT-Law,Manual,11,-0.05277479846495819,-1.8240083376983514,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,1,F1
GPT-Law,GPT-Schema,11,-0.0016041437744011616,-0.043044912042605646,5,0.71142578125,0.99951171875,1.0,Negligible,,,weapon,1,F1
GPT-Law,GPT-Free,11,0.0029607170041020233,0.13421115805020814,8,0.28857421875,0.99951171875,1.0,Negligible,,,weapon,1,F1
GPT-Law,Raw-Facts,11,-0.013075345876611603,-0.47259482786395046,5,0.86083984375,0.99951171875,1.0,Small,,,weapon,1,F1
GPT-Law,Hybrid-Manual,11,-0.03658457177690533,-1.2141807437215906,1,0.9990234375,0.99951171875,1.0,Large,,,weapon,1,F1
GPT-Law,Hybrid-Full,11,-0.03249955135289067,-1.21508520866624,2,0.99853515625,0.99951171875,1.0,Large,,,weapon,1,F1
Raw-Facts,Manual,11,-0.03969945258834659,-1.5749936573758319,0,1.0,1.0,1.0,Large,,,weapon,1,F1
Raw-Facts,GPT-Schema,11,0.011471202102210441,0.39168395260827393,6,0.20654296875,0.4130859375,1.0,Small,,,weapon,1,F1
Raw-Facts,GPT-Free,11,0.016036062880713627,1.1872859974687224,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,weapon,1,F1
Raw-Facts,GPT-Law,11,0.013075345876611603,0.47259482786395046,6,0.16015625,0.4130859375,0.9609375,Small,,,weapon,1,F1
Raw-Facts,Hybrid-Manual,11,-0.023509225900293727,-0.8267990358239042,2,0.9931640625,1.0,1.0,Large,,,weapon,1,F1
Raw-Facts,Hybrid-Full,11,-0.019424205476279068,-0.6656812745679414,3,0.96630859375,1.0,1.0,Medium,,,weapon,1,F1
Hybrid-Manual,Manual,11,-0.016190226688052863,-0.5712510196006618,2,0.9384765625,0.9384765625,1.0,Medium,,,weapon,1,F1
Hybrid-Manual,GPT-Schema,11,0.034980428002504164,1.78327097117528,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,weapon,1,F1
Hybrid-Manual,GPT-Free,11,0.039545288781007354,1.5876834892247378,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,F1
Hybrid-Manual,GPT-Law,11,0.03658457177690533,1.2141807437215906,10,0.00146484375,0.0029296875,0.0087890625,Large,✓,✓,weapon,1,F1
Hybrid-Manual,Raw-Facts,11,0.023509225900293727,0.8267990358239042,9,0.00927734375,0.013916015625,0.0556640625,Large,✓,,weapon,1,F1
Hybrid-Manual,Hybrid-Full,11,0.004085020424014657,0.19022316566777925,6,0.259765625,0.31171875,1.0,Negligible,,,weapon,1,F1
Hybrid-Full,Manual,11,-0.020275247112067518,-0.6163734105067075,3,0.95849609375,0.95849609375,1.0,Medium,,,weapon,1,F1
Hybrid-Full,GPT-Schema,11,0.03089540757848951,1.160902812292574,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,F1
Hybrid-Full,GPT-Free,11,0.035460268356992695,1.4437926119017563,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,weapon,1,F1
Hybrid-Full,GPT-Law,11,0.03249955135289067,1.21508520866624,9,0.00244140625,0.0048828125,0.0146484375,Large,✓,✓,weapon,1,F1
Hybrid-Full,Raw-Facts,11,0.019424205476279068,0.6656812745679414,8,0.04150390625,0.062255859375,0.2490234375,Medium,,,weapon,1,F1
Hybrid-Full,Hybrid-Manual,11,-0.004085020424014657,-0.19022316566777925,5,0.767578125,0.9210937499999999,1.0,Negligible,,,weapon,1,F1
