verdict,domain
תפ_54272-09-14,drugs
תפ_13781-01-24,drugs
תפ_48152-02-20,drugs
תפח_17033-01-22,drugs
תפ_31892-08-21,drugs
תפ_64418-09-16,drugs
תפ_19908-10-21,drugs
תפ_34222-02-20,drugs
תפ_26494-03-13,drugs
תפ_40055-03-18,drugs
תפ_12708-04-14,drugs
תפ_37764-03-21,drugs
תפ_23613-02-22,drugs
תפ_40305-08-13,drugs
תפ_15457-09-18,drugs
תפ_10603-12-18,drugs
תפ_49932-08-21,drugs
תפ_3526-04-21,drugs
תפ_62426-11-17,drugs
תפ_40239-09-17,drugs
תפ_38315-12-15,drugs
תפ_26928-08-19,drugs
תפ_6431-05-13,drugs
תפ_62070-05-20,drugs
תפ_3092-10-21,drugs
תפ_55331-06-21,drugs
תפ_37692-10-19,drugs
תפ_53298-06-20,drugs
תפ_1187-04-22,drugs
תפ_7027-07-19,drugs
תפ_70374-11-20,drugs
תפ_50860-02-20,drugs
תפ_32546-04-16,drugs
תפ_3725-08-17,drugs
תפ_44977-10-15,drugs
תפ_809-09-18,drugs
תפ_52781-10-18,drugs
תפ_63596-02-18,drugs
תפ_18163-03-15,drugs
תפ_23062-12-21,drugs
תפ_42225-09-17,drugs
תפ_27683-01-21,drugs
תפ_63672-03-19,drugs
תפ_66889-01-22,drugs
תפ_13927-04-13,drugs
תפ_47080-05-21,drugs
תפ_11592-05-19,drugs
תפק_11489-02-23,drugs
תפ_4244-01-17,drugs
תפ_52882-04-15,drugs
תפ_6780-10-16,drugs
תפ_39587-11-22,drugs
תפ_32356-04-22,drugs
תפ_15868-04-16,drugs
תפ_33835-10-15,drugs
תפ_9104-12-22,drugs
תפ_66306-03-19,drugs
תפ_58944-08-21,drugs
תפ_56865-11-13,drugs
תפ_61820-08-21,drugs
תפ_57177-05-22,drugs
תפ_1681-12-15,drugs
תפ_24003-09-14,drugs
תפ_39424-11-22,drugs
תפ_59117-03-21,drugs
תפ_33658-01-18,drugs
תפ_13583-12-21,drugs
תפח_24510-09-15,drugs
תפ_49055-02-18,drugs
תפ_41189-09-15,drugs
תפ_34497-06-22,drugs
תפ_18510-10-14,drugs
תפ_58282-05-20,drugs
תפ_9369-01-13,drugs
תפ_67471-06-18,drugs
תפ_60450-12-23,drugs
תפ_70627-11-17,drugs
תפ_7786-05-16,drugs
תפ_43632-05-17,drugs
תפ_2200-02-18,drugs
תפ_27417-07-23,drugs
תפ_49808-06-16,drugs
תפ_27103-01-18,drugs
תפ_66589-01-23,drugs
תפ_38312-03-10,drugs
תפ_64232-11-22,drugs
תפ_41933-08-22,drugs
תפ_57253-05-19,drugs
תפ_42790-07-18,drugs
תפ_62866-06-20,drugs
תפ_43978-02-21,drugs
תפ_10139-03-21,drugs
תפ_42779-07-18,drugs
תפ_60454-06-16,drugs
תפ_32174-07-20,drugs
תפ_41783-12-17,drugs
תפ_27544-05-22,drugs
תפ_51140-08-23,drugs
תפ_50777-11-23,drugs
תפ_19830-10-20,drugs
תפ_8995-04-21,drugs
תפ_21503-07-23,drugs
תפ_16015-05-21,drugs
תפ_2217-07-15,drugs
תפ_802-12-22,drugs
תפ_39491-09-17,drugs
תפ_16273-02-16,drugs
תפ_8127-05-22,drugs
תפ_16759-07-17,drugs
תפ_1516-10-16,drugs
תפ_12158-04-23,drugs
תפ_54460-03-21,drugs
תפ_15091-06-21,drugs
תפ_31628-07-15,drugs
תפ_57657-03-23,drugs
תפ_57084-03-22,drugs
תפ_13054-06-10,drugs
תפ_39201-05-18,drugs
תפ_27475-05-21,drugs
תפ_7342-04-19,drugs
תפ_22679-09-16,drugs
תפ_24248-09-22,drugs
תפ_5680-02-18,drugs
תפ_43397-02-15,drugs
תפ_24079-11-19,drugs
תפ_48695-03-20,drugs
תפ_8287-07-20,drugs
תפ_6048-01-17,drugs
תפ_30310-09-23,drugs
תפ_42410-08-13,drugs
תפ_10108-11-21,drugs
תפ_7858-02-21,drugs
תפ_37953-02-16,drugs
תפ_44015-11-21,drugs
תפ_27255-08-16,drugs
תפ_21806-01-19,drugs
תפ_63997-02-19,drugs
תפ_16406-07-22,drugs
תפ_1136-11-21,drugs
תפ_76171-01-23,drugs
תפ_8887-10-21,drugs
תפ_16982-03-21,drugs
תפ_58591-08-18,drugs
תפ_24350-06-23,drugs
תפ_21284-10-19,drugs
תפ_44280-01-18,drugs
תפ_19469-12-19,drugs
תפ_16520-09-21,drugs
תפ_37546-04-15,drugs
תפ_56566-08-20,drugs
תפ_17252-07-20,drugs
תפ_11739-03-21,drugs
תפ_29731-05-21,drugs
תפ_25137-02-20,drugs
תפ_33338-02-20,drugs
תפ_51251-08-21,drugs
תפ_15744-02-20,drugs
תפ_46786-01-23,drugs
תפ_14825-04-13,drugs
תפ_1064-10-21,drugs
תפ_14611-12-21,drugs
תפ_41968-09-17,drugs
תפ_55430-06-20,drugs
תפ_11475-02-14,drugs
תפ_38450-09-20,drugs
תפ_15709-10-19,drugs
תפ_8444-04-23,drugs
תפ_40484-05-16,drugs
תפ_34053-04-18,drugs
תפ_1463-04-19,drugs
תפ_4606-08-20,drugs
תפ_36469-02-12,drugs
תפ_39299-11-18,drugs
תפ_42734-08-23,drugs
תפחע_7212-11-23,drugs
תפ_18218-11-19,drugs
תפ_42956-04-22,drugs
תפ_60385-08-16,drugs
תפ_16020-10-22,drugs
תפ_62688-01-20,drugs
תפ_66437-07-20,drugs
תפ_45644-11-22,drugs
תפ_880-02-22,drugs
תפ_13749-03-17,drugs
תפ_14236-12-21,drugs
תפ_20872-02-14,drugs
תפ_26647-05-17,drugs
תפ_46701-08-22,drugs
