domain,task,model,rep_a,rep_b,n_pairs,n12_a_right_b_wrong,n21_a_wrong_b_right,mcnemar_p,p_fdr_bh
drugs,binary_0,gemini_25_pro,facts,fe_gpt_schema,100,4,8,0.3876953125,0.8228821591578327
drugs,binary_0,gemini_25_pro,facts,fe_manual_format,100,5,4,1.0,1.0
drugs,binary_0,gemini_25_pro,facts,gpt_free,100,4,4,1.0,1.0
drugs,binary_0,gemini_25_pro,facts,gpt_law,100,2,3,1.0,1.0
drugs,binary_0,gemini_25_pro,facts,hybrid_full_gpt,100,3,5,0.7265625,1.0
drugs,binary_0,gemini_25_pro,facts,hybrid_gpt,100,6,3,0.5078125,0.9206017354124748
drugs,binary_0,gemini_25_pro,facts,hybrid_manual_gpt,100,3,4,1.0,1.0
drugs,binary_0,gemini_25_pro,facts,manual_fe,100,4,12,0.076812744140625,0.420719042375095
drugs,binary_0,gemini_25_pro,fe_gpt_schema,fe_manual_format,100,7,2,0.1796875,0.6179329675572519
drugs,binary_0,gemini_25_pro,fe_gpt_schema,gpt_free,100,6,2,0.2890625,0.7174801997245179
drugs,binary_0,gemini_25_pro,fe_gpt_schema,gpt_law,100,7,4,0.548828125,0.9537013319672131
drugs,binary_0,gemini_25_pro,fe_gpt_schema,hybrid_full_gpt,100,5,3,0.7265625,1.0
drugs,binary_0,gemini_25_pro,fe_gpt_schema,hybrid_gpt,100,8,1,0.0390625,0.32588252314814814
drugs,binary_0,gemini_25_pro,fe_gpt_schema,hybrid_manual_gpt,100,6,3,0.5078125,0.9206017354124748
drugs,binary_0,gemini_25_pro,fe_gpt_schema,manual_fe,100,4,8,0.3876953125,0.8228821591578327
drugs,binary_0,gemini_25_pro,fe_manual_format,gpt_free,100,4,5,1.0,1.0
drugs,binary_0,gemini_25_pro,fe_manual_format,gpt_law,100,3,5,0.7265625,1.0
drugs,binary_0,gemini_25_pro,fe_manual_format,hybrid_full_gpt,100,3,6,0.5078125,0.9206017354124748
drugs,binary_0,gemini_25_pro,fe_manual_format,hybrid_gpt,100,7,5,0.7744140625,1.0
drugs,binary_0,gemini_25_pro,fe_manual_format,hybrid_manual_gpt,100,2,4,0.6875,1.0
drugs,binary_0,gemini_25_pro,fe_manual_format,manual_fe,100,3,12,0.03515625,0.30632402378888357
drugs,binary_0,gemini_25_pro,gpt_free,gpt_law,100,5,6,1.0,1.0
drugs,binary_0,gemini_25_pro,gpt_free,hybrid_full_gpt,100,3,5,0.7265625,1.0
drugs,binary_0,gemini_25_pro,gpt_free,hybrid_gpt,100,7,4,0.548828125,0.9537013319672131
drugs,binary_0,gemini_25_pro,gpt_free,hybrid_manual_gpt,100,3,4,1.0,1.0
drugs,binary_0,gemini_25_pro,gpt_free,manual_fe,100,3,11,0.057373046875,0.39029337064173997
drugs,binary_0,gemini_25_pro,gpt_law,hybrid_full_gpt,100,5,6,1.0,1.0
drugs,binary_0,gemini_25_pro,gpt_law,hybrid_gpt,100,7,3,0.34375,0.7928074853190658
drugs,binary_0,gemini_25_pro,gpt_law,hybrid_manual_gpt,100,4,4,1.0,1.0
drugs,binary_0,gemini_25_pro,gpt_law,manual_fe,100,5,12,0.143463134765625,0.5620012366253396
drugs,binary_0,gemini_25_pro,hybrid_full_gpt,hybrid_gpt,100,8,3,0.2265625,0.6736161957346267
drugs,binary_0,gemini_25_pro,hybrid_full_gpt,hybrid_manual_gpt,100,4,3,1.0,1.0
drugs,binary_0,gemini_25_pro,hybrid_full_gpt,manual_fe,100,4,10,0.1795654296875,0.6179329675572519
drugs,binary_0,gemini_25_pro,hybrid_gpt,hybrid_manual_gpt,100,4,8,0.3876953125,0.8228821591578327
drugs,binary_0,gemini_25_pro,hybrid_gpt,manual_fe,100,5,16,0.02660369873046875,0.26633258395724824
drugs,binary_0,gemini_25_pro,hybrid_manual_gpt,manual_fe,100,2,9,0.0654296875,0.39170862749169433
drugs,binary_0,gemini_3_flash,facts,fe_gpt_schema,100,5,7,0.7744140625,1.0
drugs,binary_0,gemini_3_flash,facts,fe_manual_format,100,3,3,1.0,1.0
drugs,binary_0,gemini_3_flash,facts,gpt_free,100,3,3,1.0,1.0
drugs,binary_0,gemini_3_flash,facts,gpt_law,100,2,5,0.453125,0.8869833426447995
drugs,binary_0,gemini_3_flash,facts,hybrid_full_gpt,100,55,2,2.295386103412511e-14,3.760259780317586e-12
drugs,binary_0,gemini_3_flash,facts,hybrid_gpt,100,4,5,1.0,1.0
drugs,binary_0,gemini_3_flash,facts,hybrid_manual_gpt,100,2,2,1.0,1.0
drugs,binary_0,gemini_3_flash,facts,manual_fe,100,5,11,0.210113525390625,0.656760834008737
drugs,binary_0,gemini_3_flash,fe_gpt_schema,fe_manual_format,100,6,4,0.75390625,1.0
drugs,binary_0,gemini_3_flash,fe_gpt_schema,gpt_free,100,6,4,0.75390625,1.0
drugs,binary_0,gemini_3_flash,fe_gpt_schema,gpt_law,100,2,3,1.0,1.0
drugs,binary_0,gemini_3_flash,fe_gpt_schema,hybrid_full_gpt,100,62,7,4.102799046681871e-12,3.8911809905898585e-10
drugs,binary_0,gemini_3_flash,fe_gpt_schema,hybrid_gpt,100,3,2,1.0,1.0
drugs,binary_0,gemini_3_flash,fe_gpt_schema,hybrid_manual_gpt,100,7,5,0.7744140625,1.0
drugs,binary_0,gemini_3_flash,fe_gpt_schema,manual_fe,100,5,9,0.4239501953125,0.8650338374651395
drugs,binary_0,gemini_3_flash,fe_manual_format,gpt_free,100,4,4,1.0,1.0
drugs,binary_0,gemini_3_flash,fe_manual_format,gpt_law,100,2,5,0.453125,0.8869833426447995
drugs,binary_0,gemini_3_flash,fe_manual_format,hybrid_full_gpt,100,56,3,1.189326415129699e-13,1.428777466709145e-11
drugs,binary_0,gemini_3_flash,fe_manual_format,hybrid_gpt,100,4,5,1.0,1.0
drugs,binary_0,gemini_3_flash,fe_manual_format,hybrid_manual_gpt,100,3,3,1.0,1.0
drugs,binary_0,gemini_3_flash,fe_manual_format,manual_fe,100,4,10,0.1795654296875,0.6179329675572519
drugs,binary_0,gemini_3_flash,gpt_free,gpt_law,100,2,5,0.453125,0.8869833426447995
drugs,binary_0,gemini_3_flash,gpt_free,hybrid_full_gpt,100,57,4,4.85494457136415e-13,5.1462412456459994e-11
drugs,binary_0,gemini_3_flash,gpt_free,hybrid_gpt,100,3,4,1.0,1.0
drugs,binary_0,gemini_3_flash,gpt_free,hybrid_manual_gpt,100,3,3,1.0,1.0
