representation_id,domain,task,f1_mean,f1_std,n
facts,drugs,binary_0,0.8311363636363637,0.02130841489774744,11
facts,drugs,binary_1,0.7721181818181818,0.03582409295939866,11
facts,weapon,binary_0,0.6903545454545454,0.05033709096951001,11
facts,weapon,binary_1,0.7656454545454546,0.032369317683150656,11
fe_gpt_schema,drugs,binary_0,0.8309272727272727,0.040988342023289784,11
fe_gpt_schema,drugs,binary_1,0.7644181818181818,0.021238305873200823,11
fe_gpt_schema,weapon,binary_0,0.6156545454545455,0.08222036686413367,11
fe_gpt_schema,weapon,binary_1,0.7221454545454545,0.06131077170671336,11
fe_legacy_from_structured,drugs,binary_0,0.8182,,1
fe_legacy_from_structured,drugs,binary_1,0.7843,,1
fe_manual_format,drugs,binary_0,0.8003899999999999,0.035452517541071746,10
fe_manual_format,drugs,binary_1,0.7641600000000001,0.023140594441610863,10
fe_manual_format,weapon,binary_0,0.7061909090909091,0.07963280045992926,11
fe_manual_format,weapon,binary_1,0.762509090909091,0.04491417269738927,11
fe_my_gpt_extracted,weapon,binary_0,0.74805,0.009665229778265325,4
fe_my_gpt_extracted,weapon,binary_1,0.8023,0.032027800424006665,4
gpt_free,drugs,binary_0,0.82073,0.02220875953312113,10
gpt_free,drugs,binary_1,0.76253,0.02689783345261185,10
gpt_free,weapon,binary_0,0.6714818181818182,0.052028065852611084,11
gpt_free,weapon,binary_1,0.7484000000000001,0.03344039473451233,11
gpt_law,drugs,binary_0,0.8493999999999999,0.029165314254359684,10
gpt_law,drugs,binary_1,0.76512,0.01204646559507534,10
gpt_law,weapon,binary_0,0.6288363636363636,0.04598815657812939,11
gpt_law,weapon,binary_1,0.756190909090909,0.03204601237425508,11
gpt_manual_features,weapon,binary_0,0.69888,0.055767668849333214,10
gpt_manual_features,weapon,binary_1,0.76736,0.04356778116401561,10
hybrid_full_gpt,drugs,binary_0,0.7849363636363637,0.10364439466490481,11
hybrid_full_gpt,drugs,binary_1,0.7411800000000001,0.03770142349213533,10
hybrid_full_gpt,weapon,binary_0,0.6297090909090909,0.05844858346522103,11
hybrid_full_gpt,weapon,binary_1,0.7204181818181818,0.0441578264451913,11
hybrid_gpt,drugs,binary_0,0.8069454545454545,0.0333923752864741,11
hybrid_gpt,drugs,binary_1,0.7370727272727272,0.017341343137663303,11
hybrid_gpt,weapon,binary_0,0.6880363636363636,0.058862080709524235,11
hybrid_gpt,weapon,binary_1,0.7572727272727273,0.028455758324426785,11
hybrid_manual_gpt,drugs,binary_0,0.8441700000000001,0.022410664623988486,10
hybrid_manual_gpt,drugs,binary_1,0.79344,0.02275552191837796,10
hybrid_manual_gpt,weapon,binary_0,0.6979090909090909,0.07184432412578538,11
hybrid_manual_gpt,weapon,binary_1,0.7787181818181818,0.05725643751023668,11
manual_fe,drugs,binary_0,0.8560363636363636,0.0463362120317851,11
manual_fe,drugs,binary_1,0.8193,0.02728105569804804,11
manual_fe,weapon,binary_0,0.6983818181818182,0.05211070558305307,11
manual_fe,weapon,binary_1,0.8058181818181819,0.03677634615297771,11
