rep_a,rep_b,n_pairs,mean_diff_f1_a_minus_b,cohen_d_paired,wins_a,wins_b,wilcoxon_stat,p_value,p_fdr_bh
facts,fe_gpt_schema,44,0.03152727272727273,0.49563155965293604,30,14,227.0,0.0013584922321570048,0.003735853638431763
facts,fe_manual_format,42,0.007573809523809525,0.15858128003347272,24,16,323.5,0.24495718922633147,0.3133173350569356
facts,fe_my_gpt_extracted,8,-0.036862500000000006,-1.0681879917677009,0,8,0.0,0.0078125,0.014322916666666666
facts,gpt_free,42,0.015904761904761915,0.6225312013733536,30,11,150.0,0.00027813401121705124,0.0009560856635586136
facts,gpt_law,42,0.017590476190476195,0.42535713640892703,24,17,248.0,0.018034916412804677,0.03099751258450804
facts,gpt_manual_features,20,0.0027900000000000034,0.06499140643119096,8,12,105.0,1.0,1.0
facts,hybrid_full_gpt,42,0.0455404761904762,0.7438061031217954,35,7,78.5,3.1025388623440407e-06,2.132995467861528e-05
facts,hybrid_gpt,44,0.017481818181818192,0.46534975020758573,28,15,252.0,0.007617063912726737,0.014322916666666666
facts,hybrid_manual_gpt,42,-0.01189761904761904,-0.34576599970332056,14,27,253.0,0.021442063165278195,0.03573677194213032
facts,manual_fe,44,-0.03007045454545454,-0.8108348686645306,9,35,125.5,1.6165796610608894e-05,8.891188135834891e-05
fe_gpt_schema,fe_manual_format,42,-0.024476190476190478,-0.32339183144898703,16,26,300.0,0.05849173206024716,0.08465908587667352
fe_gpt_schema,fe_my_gpt_extracted,8,-0.046337500000000004,-1.096395465967748,1,7,4.0,0.0546875,0.08129222972972973
fe_gpt_schema,gpt_free,42,-0.01614523809523809,-0.2570745927549242,16,26,339.0,0.16298418179530927,0.2134316666367145
fe_gpt_schema,gpt_law,42,-0.014459523809523808,-0.24134219728354112,17,25,339.0,0.1595235111560689,0.2134316666367145
fe_gpt_schema,gpt_manual_features,20,-0.05622999999999998,-0.7086595504226242,3,17,19.0,0.0013232490063516996,0.003735853638431763
fe_gpt_schema,hybrid_full_gpt,42,0.013490476190476195,0.17985798205447182,30,12,245.0,0.008998170695122099,0.015964496394571464
fe_gpt_schema,hybrid_gpt,44,-0.01404545454545454,-0.19614536522473858,21,23,428.5,0.43770505099879176,0.5015370376027822
fe_gpt_schema,hybrid_manual_gpt,42,-0.04394761904761904,-0.7089213529791831,9,33,112.0,5.540735855902312e-06,3.386005245273635e-05
fe_gpt_schema,manual_fe,44,-0.061597727272727255,-1.1522375934640912,3,40,11.0,2.424230228979864e-08,4.4444220864630847e-07
fe_manual_format,fe_my_gpt_extracted,8,-0.013200000000000003,-0.5000840596296242,2,6,10.0,0.3125,0.3736413043478261
fe_manual_format,gpt_free,42,0.008330952380952389,0.19787105027707413,25,17,367.0,0.2907079199021023,0.35964181688096786
fe_manual_format,gpt_law,42,0.01001666666666667,0.16001133763361977,23,18,373.0,0.456207864982086,0.5120700525309129
fe_manual_format,gpt_manual_features,20,0.012545,0.2836081897479372,10,10,78.0,0.3299827575683594,0.38615003545233545
fe_manual_format,hybrid_full_gpt,42,0.037966666666666676,0.5349205339885057,31,11,194.0,0.000931076825963828,0.002844956968222808
fe_manual_format,hybrid_gpt,42,0.0106404761904762,0.27165678352611966,27,14,282.0,0.05431495078950619,0.08129222972972973
fe_manual_format,hybrid_manual_gpt,42,-0.019471428571428567,-0.5178664090356279,10,30,182.5,0.0022287187827876686,0.005329544915361817
fe_manual_format,manual_fe,42,-0.03864761904761904,-0.8485174003010626,6,36,102.0,2.4961636881926097e-06,1.9612714692941934e-05
fe_my_gpt_extracted,gpt_free,8,0.046350000000000044,1.56977879977252,8,0,0.0,0.0078125,0.014322916666666666
fe_my_gpt_extracted,gpt_law,8,0.07738750000000003,1.3642068288622444,7,1,2.0,0.0234375,0.03791360294117647
fe_my_gpt_extracted,gpt_manual_features,8,0.019587500000000008,0.6773223569116799,6,2,7.0,0.1484375,0.2041015625
fe_my_gpt_extracted,hybrid_full_gpt,8,0.06897500000000004,2.660266527842767,8,0,0.0,0.0078125,0.014322916666666666
fe_my_gpt_extracted,hybrid_gpt,8,0.03767500000000003,2.327750144091945,8,0,0.0,0.0078125,0.014322916666666666
fe_my_gpt_extracted,hybrid_manual_gpt,8,0.0026750000000000246,0.07904749795225195,5,3,16.0,0.84375,0.8667165013527933
fe_my_gpt_extracted,manual_fe,8,-0.005387499999999976,-0.2340158775248498,3,4,9.0,0.46875,0.515625
gpt_free,gpt_law,42,0.0016857142857142824,0.045699262533885815,19,22,416.0,0.8509580195100153,0.8667165013527933
gpt_free,gpt_manual_features,20,-0.01593500000000001,-0.5006403484634658,5,15,46.0,0.026641845703125,0.041865757533482144
gpt_free,hybrid_full_gpt,42,0.029635714285714283,0.5075728608100494,30,11,153.5,0.0003313089398856139,0.0010718818643358097
gpt_free,hybrid_gpt,42,0.0023095238095238117,0.08068712167211936,25,17,400.0,0.5196029556463027,0.5603561286381695
gpt_free,hybrid_manual_gpt,42,-0.02780238095238095,-0.8489509522814077,8,32,91.0,1.8047270042739423e-05,9.023635021369711e-05
gpt_free,manual_fe,42,-0.04697857142857143,-1.3393096236430009,4,37,21.0,1.1178207152538449e-07,1.2296027867792294e-06
gpt_law,gpt_manual_features,20,-0.036185,-0.8559763955476084,4,16,25.0,0.001689910888671875,0.004377952037819936
gpt_law,hybrid_full_gpt,42,0.027950000000000003,0.4470960031704508,33,9,170.0,0.00025826377168414183,0.0009469671628418533
gpt_law,hybrid_gpt,42,0.0006238095238095291,0.013554939539383064,25,17,417.0,0.6661916437340676,0.7046257770264177
gpt_law,hybrid_manual_gpt,42,-0.029488095238095237,-0.6755604980630737,10,31,136.0,0.00013550254092921667,0.0005323314107933512
gpt_law,manual_fe,42,-0.04866428571428571,-1.2787553510544638,3,39,32.0,1.5599592078890493e-07,1.4299626072316284e-06
gpt_manual_features,hybrid_full_gpt,20,0.04910500000000001,1.8221689024177652,20,0,0.0,8.844915021211902e-05,0.0003742079432051189
gpt_manual_features,hybrid_gpt,20,0.00565500000000001,0.24260487027724367,12,8,76.0,0.2942523956298828,0.35964181688096786
gpt_manual_features,hybrid_manual_gpt,20,-0.016734999999999993,-0.48274981693854724,8,12,55.5,0.0645838076270593,0.09107972870482722
gpt_manual_features,manual_fe,20,-0.029324999999999983,-0.737232968603759,4,15,26.0,0.005491205694554838,0.012584013050021504
hybrid_full_gpt,hybrid_gpt,42,-0.027326190476190476,-0.43384933663506875,16,26,236.0,0.006279030217683612,0.013813866478903947
hybrid_full_gpt,hybrid_manual_gpt,42,-0.05743809523809523,-1.0845390452788328,2,40,3.0,2.2737367544323206e-12,8.753886504564434e-11
hybrid_full_gpt,manual_fe,42,-0.07661428571428572,-1.2427846105614495,2,40,4.0,3.183231456205249e-12,8.753886504564434e-11
