verdict_1,verdict_2,side,פיצרים_לפני_המרה_לפורמט_ידני,פיצרים_אחרי_המרה_לפורמט_ידני
SH-16-04-30406-325,ME-16-02-59812-881,1,"{""מספר עבירה"": ""144 א"", ""סוג_עבירה_החזקה"": ""כן"", ""סוג_עבירה_נשיאה"": ""לא"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [תת מקלע מאולתר]"": 2.0, ""סטטוס הנשק"": ""תקין"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""כן"", ""אופן_החזקה_על_גופו"": ""לא"", ""אופן_החזקה_מוסלק"": ""לא"", ""אופן_החזקה_סמוך_לבית"": ""לא"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ריקה ובה 0 כדורים, שתי מחסניות"", ""מטרה-סיבת העבירה"": ""חתונה"", ""תכנון"": ""לא""}","{""אופן החזקת הנשק"": ""ברכב"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ריקה ובה 0 כדורים, שתי מחסניות"", ""מטרה-סיבת העבירה"": ""חתונה"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [תת מקלע מאולתר]"": 2.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""תקין"", ""תכנון"": ""לא""}"
SH-16-04-30406-325,ME-16-02-59812-881,2,"{""מספר עבירה"": ""144 ב"", ""סוג_עבירה_החזקה"": ""לא"", ""סוג_עבירה_נשיאה"": ""לא"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""כן"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""תקין"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""לא"", ""אופן_החזקה_על_גופו"": ""לא"", ""אופן_החזקה_מוסלק"": ""לא"", ""אופן_החזקה_סמוך_לבית"": ""כן"", ""אופן קבלת הנשק"": ""אחר"", ""כמות תחמושת"": ""2 מחסניות וכן 20 כדורים תואמים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""עבירות נוספות"": ""מסירת ידיעה כוזבת על עבירת פשע, לפי סעיף 243 סיפא לחוק; שיבוש הליכי משפט, לפי סעיף 244 לחוק"", ""תכנון"": ""כן""}","{""אופן החזקת הנשק"": ""סמוך לבית"", ""אופן קבלת הנשק"": ""אחר"", ""כמות תחמושת"": ""2 מחסניות וכן 20 כדורים תואמים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""סחר בנשק"", ""סטטוס הנשק"": ""תקין"", ""עבירות נוספות"": ""מסירת ידיעה כוזבת על עבירת פשע, לפי סעיף 243 סיפא לחוק; שיבוש הליכי משפט, לפי סעיף 244 לחוק"", ""תכנון"": ""כן""}"
ME-16-05-25902-514,ME-16-11-56385-886,1,"{""מספר עבירה"": ""144 א, 144 ב"", ""סוג_עבירה_החזקה"": ""כן"", ""סוג_עבירה_נשיאה"": ""כן"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""תקין"", ""אופן_החזקה_בבית"": ""כן"", ""אופן_החזקה_ברכב"": ""לא"", ""אופן_החזקה_על_גופו"": ""כן"", ""אופן_החזקה_מוסלק"": ""כן"", ""אופן_החזקה_סמוך_לבית"": ""לא"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ובה 7 כדורים"", ""מטרה-סיבת העבירה"": ""הגנה עצמית"", ""תכנון"": ""לא""}","{""אופן החזקת הנשק"": ""בבית, על גופו, מוסלק - מוסתר"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ובה 7 כדורים"", ""מטרה-סיבת העבירה"": ""הגנה עצמית"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""החזקה נשק, נשיאת נשק"", ""סטטוס הנשק"": ""תקין"", ""תכנון"": ""לא""}"
ME-16-05-25902-514,ME-16-11-56385-886,2,"{""מספר עבירה"": ""144 א"", ""סוג_עבירה_החזקה"": ""כן"", ""סוג_עבירה_נשיאה"": ""לא"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""לא"", ""אופן_החזקה_על_גופו"": ""כן"", ""אופן_החזקה_מוסלק"": ""לא"", ""אופן_החזקה_סמוך_לבית"": ""לא"", ""תכנון"": ""לא""}","{""אופן החזקת הנשק"": ""על גופו"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""לא""}"
ME-18-06-36728-73,ME-16-09-398-589,1,"{""מספר עבירה"": ""144 ב"", ""סוג_עבירה_החזקה"": ""לא"", ""סוג_עבירה_נשיאה"": ""כן"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""לא"", ""אופן_החזקה_על_גופו"": ""כן"", ""אופן_החזקה_מוסלק"": ""כן"", ""אופן_החזקה_סמוך_לבית"": ""לא"", ""כמות תחמושת"": ""כדור"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""עבירות נוספות"": ""פציעה, לפי סעיף 334 לחוק העונשין, התשל\""ז-1977"", ""תכנון"": ""לא"", ""שימוש"": ""כן,ירי""}","{""אופן החזקת הנשק"": ""על גופו, מוסלק - מוסתר"", ""כמות תחמושת"": ""כדור"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""נשיאת נשק"", ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""עבירות נוספות"": ""פציעה, לפי סעיף 334 לחוק העונשין, התשל\""ז-1977"", ""שימוש"": ""כן,ירי"", ""תכנון"": ""לא""}"
ME-18-06-36728-73,ME-16-09-398-589,2,"{""מספר עבירה"": ""144 ב"", ""סוג_עבירה_החזקה"": ""לא"", ""סוג_עבירה_נשיאה"": ""כן"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""לא"", ""אופן_החזקה_על_גופו"": ""לא"", ""אופן_החזקה_מוסלק"": ""לא"", ""אופן_החזקה_סמוך_לבית"": ""לא"", ""כמות תחמושת"": ""כדור"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""עבירות נוספות"": ""חבלה חמורה בנסיבות מחמירות, עבירה לפי סעיף 333 + 335(א)(2+1) לחוק העונשין, התשל\""ז-1977"", ""תכנון"": ""כן"", ""שימוש"": ""כן,ירי""}","{""כמות תחמושת"": ""כדור"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""נשיאת נשק"", ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""עבירות נוספות"": ""חבלה חמורה בנסיבות מחמירות, עבירה לפי סעיף 333 + 335(א)(2+1) לחוק העונשין, התשל\""ז-1977"", ""שימוש"": ""כן,ירי"", ""תכנון"": ""כן""}"
SH-17-10-10556-234,ME-16-11-13999-863,1,"{""מספר עבירה"": ""144 א"", ""סוג_עבירה_החזקה"": ""כן"", ""סוג_עבירה_נשיאה"": ""לא"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 2.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""לא"", ""אופן_החזקה_על_גופו"": ""לא"", ""אופן_החזקה_מוסלק"": ""כן"", ""אופן_החזקה_סמוך_לבית"": ""כן"", ""אופן קבלת הנשק"": ""מאחר"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים, מחסנית ובה 0 כדורים"", ""תכנון"": ""לא""}","{""אופן החזקת הנשק"": ""מוסלק - מוסתר, סמוך לבית"", ""אופן קבלת הנשק"": ""מאחר"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים, מחסנית ובה 0 כדורים"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 2.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא""}"
SH-17-10-10556-234,ME-16-11-13999-863,2,"{""מספר עבירה"": ""144 א, 144 ב"", ""סוג_עבירה_החזקה"": ""כן"", ""סוג_עבירה_נשיאה"": ""כן"", ""סוג_עבירה_הובלה"": ""כן"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""כן"", ""אופן_החזקה_על_גופו"": ""כן"", ""אופן_החזקה_מוסלק"": ""לא"", ""אופן_החזקה_סמוך_לבית"": ""לא"", ""כמות תחמושת"": ""מחסנית עם כדורים לאקדח, מחסנית נוספת עם כדורים לאקדח"", ""מטרה-סיבת העבירה"": ""תדמית"", ""תכנון"": ""לא""}","{""אופן החזקת הנשק"": ""ברכב, על גופו"", ""כמות תחמושת"": ""מחסנית עם כדורים לאקדח, מחסנית נוספת עם כדורים לאקדח"", ""מטרה-סיבת העבירה"": ""תדמית"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""החזקה נשק, נשיאת נשק, הובלת נשק"", ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא""}"
SH-17-10-10556-234,m08000207-175,1,"{""מספר עבירה"": ""144 א"", ""סוג_עבירה_החזקה"": ""כן"", ""סוג_עבירה_נשיאה"": ""לא"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 2.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""לא"", ""אופן_החזקה_על_גופו"": ""לא"", ""אופן_החזקה_מוסלק"": ""כן"", ""אופן_החזקה_סמוך_לבית"": ""כן"", ""אופן קבלת הנשק"": ""מאחר"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים, מחסנית ובה 0 כדורים"", ""תכנון"": ""לא""}","{""אופן החזקת הנשק"": ""מוסלק - מוסתר, סמוך לבית"", ""אופן קבלת הנשק"": ""מאחר"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים, מחסנית ובה 0 כדורים"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 2.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא""}"
SH-17-10-10556-234,m08000207-175,2,"{""מספר עבירה"": ""144 ב"", ""סוג_עבירה_החזקה"": ""לא"", ""סוג_עבירה_נשיאה"": ""כן"", ""סוג_עבירה_הובלה"": ""לא"", ""סוג_עבירה_סחר"": ""לא"", ""סוג_עבירה_ניסיון_סחר"": ""לא"", ""סוג_עבירה_ביצוע_עבירות"": ""לא"", ""סוג_עבירה_ייצור"": ""לא"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""אופן_החזקה_בבית"": ""לא"", ""אופן_החזקה_ברכב"": ""כן"", ""אופן_החזקה_על_גופו"": ""לא"", ""אופן_החזקה_מוסלק"": ""לא"", ""אופן_החזקה_סמוך_לבית"": ""לא"", ""אופן קבלת הנשק"": ""מצא"", ""כמות תחמושת"": ""מחסנית ובה 15 כדורים, מחסנית ובה כ-10 כדורים"", ""עבירות נוספות"": ""החזקת סם לצריכה עצמית בלבד, עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים, התשל\""ג-1973"", ""תכנון"": ""לא""}","{""אופן החזקת הנשק"": ""ברכב"", ""אופן קבלת הנשק"": ""מצא"", ""כמות תחמושת"": ""מחסנית ובה 15 כדורים, מחסנית ובה כ-10 כדורים"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""נשיאת נשק"", ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""עבירות נוספות"": ""החזקת סם לצריכה עצמית בלבד, עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים, התשל\""ג-1973"", ""תכנון"": ""לא""}"
