representation,domain,completed_cells
facts,drugs,22
facts,weapon,22
manual_fe,drugs,22
manual_fe,weapon,22
fe_manual_format,drugs,0
fe_manual_format,weapon,0
fe_legacy_from_structured,drugs,0
fe_legacy_from_structured,weapon,0
fe_gpt_schema,drugs,0
fe_gpt_schema,weapon,0
gpt_law,drugs,20
gpt_law,weapon,22
gpt_free,drugs,20
gpt_free,weapon,22
hybrid_manual_gpt,drugs,22
hybrid_manual_gpt,weapon,22
hybrid_gpt,drugs,0
hybrid_gpt,weapon,0
hybrid_full_gpt,drugs,21
hybrid_full_gpt,weapon,22
