domain,rep,model,task,f1,ap_pr
drugs,manual_fe,gpt5mini,b0,0.88,0.9287
drugs,manual_fe,gpt5mini,b1,0.8,0.8982
drugs,facts,gemini_25_pro,b0,0.8158,0.7799
drugs,facts,gemini_25_pro,b1,0.7255,0.726
drugs,gpt_free,gpt52,b0,0.8286,0.8596
drugs,gpt_free,gpt52,b1,0.7748,0.8186
drugs,manual_fe,claude_sonnet_4_6,b0,0.8861,0.9519
drugs,manual_fe,claude_sonnet_4_6,b1,0.8454,0.9266
drugs,manual_fe,gpt52,b0,0.88,0.9307
drugs,manual_fe,gpt52,b1,0.8387,0.9058
drugs,fe_gpt_schema_v2,claude_sonnet_4_6,b0,0.9,0.9597
drugs,fe_gpt_schema_v2,claude_sonnet_4_6,b1,0.8298,0.9068
drugs,facts,qwen_hf,b0,0.8421,0.8168
drugs,facts,qwen_hf,b1,0.8,0.7892
drugs,gpt_free,gemini_25_pro,b0,0.8158,0.7936
drugs,gpt_free,gemini_25_pro,b1,0.7677,0.753
drugs,gpt_free,gemma3_27b,b0,0.8,0.8251
drugs,gpt_free,gemma3_27b,b1,0.7573,0.8134
drugs,hybrid_full_gpt,gpt52,b0,0.9143,0.9617
drugs,hybrid_full_gpt,gpt52,b1,0.8431,0.9196
drugs,gpt_free,llama3_70b,b0,0.7949,0.8578
drugs,gpt_free,llama3_70b,b1,0.7167,0.7912
drugs,hybrid_manual_gpt,gemini_3_flash,b0,0.8974,0.9288
drugs,hybrid_manual_gpt,gemini_3_flash,b1,0.8515,0.9118
drugs,hybrid_full_gpt,gemini_25_pro,b0,0.8919,0.9284
drugs,hybrid_full_gpt,gemini_25_pro,b1,0.8043,0.8733
drugs,hybrid_full_gpt,gemini_3_flash,b0,0.8974,0.947
drugs,hybrid_full_gpt,gemini_3_flash,b1,0.84,0.9059
drugs,gpt_law,qwen3_235b,b0,0.8767,0.8921
drugs,gpt_law,qwen3_235b,b1,0.7586,0.8175
drugs,gpt_law,gpt51_thinking,b0,0.8732,0.868
drugs,gpt_law,gpt51_thinking,b1,0.7742,0.8126
drugs,manual_fe,gpt51_thinking,b0,0.8358,0.9096
drugs,manual_fe,gpt51_thinking,b1,0.8,0.8906
drugs,manual_fe,gpt4,b0,0.8611,0.9137
drugs,manual_fe,gpt4,b1,0.8,0.8939
drugs,gpt_law,qwen_hf,b0,0.8529,0.8672
drugs,gpt_law,qwen_hf,b1,0.7525,0.8127
drugs,hybrid_manual_gpt,qwen3_235b,b0,0.8696,0.9232
drugs,hybrid_manual_gpt,qwen3_235b,b1,0.8235,0.8888
drugs,gpt_law,gpt52,b0,0.8571,0.8519
drugs,gpt_law,gpt52,b1,0.7636,0.8055
drugs,manual_fe,qwen3_235b,b0,0.8358,0.902
drugs,manual_fe,qwen3_235b,b1,0.8,0.8891
drugs,facts,qwen3_235b,b0,0.8649,0.8365
drugs,facts,qwen3_235b,b1,0.8,0.7917
drugs,gpt_free,gpt5mini,b0,0.7901,0.8562
drugs,gpt_free,gpt5mini,b1,0.76,0.8086
drugs,hybrid_full_gpt,gemma3_27b,b0,0.85,0.9023
drugs,hybrid_full_gpt,gemma3_27b,b1,0.84,0.8811
drugs,gpt_free,gpt51_thinking,b0,0.8533,0.8556
drugs,gpt_free,gpt51_thinking,b1,0.7742,0.8111
drugs,hybrid_full_gpt,claude_sonnet_4_6,b0,0.9067,0.9631
drugs,hybrid_full_gpt,claude_sonnet_4_6,b1,0.8247,0.9064
drugs,fe_gpt_schema_v2,gemini_3_flash,b0,0.8861,0.9544
drugs,fe_gpt_schema_v2,gemini_3_flash,b1,0.8431,0.9127
drugs,gpt_law,gemini_25_pro,b0,0.8219,0.764
drugs,gpt_law,gemini_25_pro,b1,0.7579,0.7312
drugs,hybrid_manual_gpt,gpt5mini,b0,0.8657,0.9494
drugs,hybrid_manual_gpt,gpt5mini,b1,0.86,0.9136
drugs,facts,claude_sonnet_4_6,b0,0.875,0.8961
drugs,facts,claude_sonnet_4_6,b1,0.8515,0.8841
drugs,facts,gemini_3_flash,b0,0.8312,0.7957
drugs,facts,gemini_3_flash,b1,0.8085,0.7829
drugs,fe_gpt_schema_v2,gpt5mini,b0,0.8919,0.9562
drugs,fe_gpt_schema_v2,gpt5mini,b1,0.8261,0.9071
drugs,manual_fe,gemini_25_pro,b0,0.8767,0.9175
drugs,manual_fe,gemini_25_pro,b1,0.8043,0.8874
drugs,facts,gpt5mini,b0,0.8421,0.8827
drugs,facts,gpt5mini,b1,0.7556,0.8222
drugs,hybrid_full_gpt,llama3_70b,b0,0.7805,0.7667
drugs,hybrid_full_gpt,llama3_70b,b1,0.7692,0.7783
drugs,facts,gpt52,b0,0.8205,0.8843
drugs,facts,gpt52,b1,0.8211,0.8451
drugs,gpt_free,qwen_hf,b0,0.8451,0.8697
drugs,gpt_free,qwen_hf,b1,0.7629,0.8113
drugs,fe_gpt_schema_v2,gpt4,b0,0.8533,0.9375
drugs,fe_gpt_schema_v2,gpt4,b1,0.8283,0.9059
drugs,fe_gpt_schema_v2,qwen3_235b,b0,0.8333,0.8924
drugs,fe_gpt_schema_v2,qwen3_235b,b1,0.8148,0.8743
drugs,manual_fe,llama3_70b,b0,0.8095,0.8716
drugs,manual_fe,llama3_70b,b1,0.8571,0.9059
drugs,facts,llama3_70b,b0,0.8197,0.863
drugs,facts,llama3_70b,b1,0.7317,0.8181
