row,gt_b0,gt_b1,scale,v1,v2,mfe_w0,mfe_w1,hyb_w0,hyb_w1,hfg_w0,hfg_w1,total,gap_b0_mfe_vs_hyb,gap_b1_mfe_vs_hyb,gap_b0_mfe_vs_hfg,gap_b1_mfe_vs_hfg,max_gap,min_gap
0,0,0,1,ME-16-07-11608-225,ME-22-12-47987-640,1,2,1,7,0,4,11,0,-5,1,-2,1,-5
1,0,0,1,ME-16-11-63255-338,ME-18-01-73652-357,0,0,1,5,0,1,11,-1,-5,0,-1,0,-5
2,1,1,3,ME-16-12-26620-433,ME-16-06-6788-21,9,9,7,4,1,1,11,2,5,8,8,8,2
3,1,1,3,ME-17-01-59971-328,ME-14-01-16958-980,0,0,0,0,0,0,11,0,0,0,0,0,0
4,1,1,3,ME-17-01-620-279,ME-16-12-19902-389,0,0,0,0,0,0,11,0,0,0,0,0,0
5,0,0,1,ME-17-03-30876-747,SH-23-02-41988-839,0,0,0,0,0,0,11,0,0,0,0,0,0
6,1,1,3,ME-17-03-30876-747,ME-17-01-59971-328,0,0,0,0,0,0,11,0,0,0,0,0,0
7,1,1,3,ME-17-04-17677-800,ME-14-01-16958-980,0,0,0,0,0,0,11,0,0,0,0,0,0
8,0,0,1,ME-18-02-5680-55,ME-22-04-7867-732,0,0,0,0,0,0,11,0,0,0,0,0,0
9,0,1,2,ME-18-02-5680-55,ME-15-11-31122-886,1,2,1,6,1,3,11,0,-4,0,-1,0,-4
10,1,1,3,ME-18-04-16826-842,ME-16-12-19902-389,0,0,0,0,0,0,11,0,0,0,0,0,0
11,0,1,2,ME-18-04-46786-521,ME-16-06-6788-21,3,4,5,1,1,1,11,-2,3,2,3,3,-2
12,0,0,1,ME-18-04-46786-521,ME-16-12-26620-433,1,5,10,10,5,6,11,-9,-5,-4,-1,-1,-9
13,0,0,1,ME-18-08-58591-978,ME-16-06-6788-21,0,3,0,1,1,1,11,0,2,-1,2,2,-1
14,1,1,3,ME-19-01-68942-383,ME-16-06-6788-21,10,10,6,1,2,1,11,4,9,8,9,9,4
15,1,1,3,ME-19-01-68958-71,ME-16-06-6788-21,8,7,1,1,1,0,11,7,6,7,7,7,6
16,1,1,3,ME-19-02-45480-398,ME-17-03-30876-747,0,0,0,0,0,0,11,0,0,0,0,0,0
17,1,1,3,ME-19-02-45480-398,ME-17-04-17677-800,0,0,0,0,0,0,11,0,0,0,0,0,0
18,1,1,3,ME-19-02-45480-398,ME-19-04-14578-148,0,0,0,0,0,0,11,0,0,0,0,0,0
19,1,1,3,ME-19-04-14488-104,ME-19-04-14578-148,0,0,0,0,0,0,11,0,0,0,0,0,0
20,0,0,1,ME-19-04-14488-104,ME-21-03-10139-230,0,0,0,0,0,0,11,0,0,0,0,0,0
21,1,1,3,ME-19-04-14488-104,ME-14-01-16958-980,0,0,0,0,0,0,11,0,0,0,0,0,0
22,1,1,3,ME-19-04-14578-148,ME-17-03-30876-747,0,0,0,0,0,0,11,0,0,0,0,0,0
23,1,1,3,ME-19-04-14578-148,ME-17-04-17677-800,0,0,0,0,0,0,11,0,0,0,0,0,0
24,1,1,3,ME-19-07-4435-107,ME-14-01-16958-980,0,0,0,0,0,0,11,0,0,0,0,0,0
25,1,1,3,ME-19-07-4435-107,ME-19-04-14488-104,0,0,0,0,0,0,11,0,0,0,0,0,0
26,0,0,1,ME-21-03-10139-230,ME-15-09-24514-351,1,3,0,1,0,0,11,1,2,1,3,3,1
27,0,0,1,ME-21-03-10139-230,ME-16-06-6788-21,0,1,0,0,0,1,11,0,1,0,0,1,0
28,0,0,1,ME-21-03-10139-230,ME-16-07-11608-225,0,0,0,0,0,1,11,0,0,0,-1,0,-1
29,1,1,3,ME-21-03-10139-230,ME-18-01-73652-357,0,0,1,0,0,0,11,-1,0,0,0,0,-1
30,0,0,1,ME-21-12-42162-424,ME-19-04-14488-104,0,1,0,1,0,0,11,0,0,0,1,1,0
31,0,0,1,ME-22-01-47042-277,SH-16-09-64418-33,0,0,0,0,0,0,11,0,0,0,0,0,0
32,1,1,3,ME-22-07-53625-139,ME-19-04-14578-148,0,0,0,0,0,0,11,0,0,0,0,0,0
33,0,0,1,ME-22-08-15747-700,ME-16-12-26620-433,1,7,8,10,6,6,11,-7,-3,-5,1,1,-7
34,0,0,1,ME-22-11-1990-79,ME-19-04-14578-148,0,0,0,0,0,0,11,0,0,0,0,0,0
35,0,0,1,ME-22-11-1990-79,SH-24-01-9804-702,0,0,0,0,0,0,11,0,0,0,0,0,0
36,0,0,1,ME-23-01-46786-206,ME-17-04-17677-800,0,0,0,0,0,0,11,0,0,0,0,0,0
37,0,0,1,ME-23-04-8444-574,ME-19-07-4435-107,0,2,0,0,0,0,11,0,2,0,2,2,0
38,1,1,3,ME-23-05-13598-78,ME-23-12-14553-571,0,0,0,0,1,1,11,0,0,-1,-1,0,-1
39,1,1,3,ME-23-05-52567-993,ME-22-04-7867-732,0,0,0,0,0,0,11,0,0,0,0,0,0
40,0,0,1,ME-23-12-14553-571,ME-18-04-16826-842,0,0,0,0,0,0,11,0,0,0,0,0,0
41,0,0,1,SH-16-09-64418-33,SH-19-11-18218-11,0,0,0,0,0,0,11,0,0,0,0,0,0
42,0,0,1,SH-19-02-58269-573,ME-17-04-17677-800,0,0,0,0,0,0,11,0,0,0,0,0,0
43,0,0,1,SH-19-02-58269-573,SH-15-05-1276-44,6,8,0,4,1,2,11,6,4,5,6,6,4
