row,gt_b0,gt_b1,scale,v1,v2,mfe_w0,mfe_w1,hyb_w0,hyb_w1,hfg_w0,hfg_w1,total,gap_b0_mfe_vs_hyb,gap_b1_mfe_vs_hyb,gap_b0_mfe_vs_hfg,gap_b1_mfe_vs_hfg,max_gap,min_gap
0,0,0,1,SH-16-04-30406-325,ME-16-02-59812-881,0,0,0,0,0,0,11,0,0,0,0,0,0
1,1,1,3,ME-16-05-25902-514,ME-16-11-56385-886,2,0,1,0,0,0,11,1,0,2,0,2,0
2,1,1,3,ME-18-06-36728-73,ME-16-09-398-589,0,0,1,0,3,2,11,-1,0,-3,-2,0,-3
3,0,0,1,SH-17-10-10556-234,ME-16-11-13999-863,8,10,1,5,0,1,11,7,5,8,9,9,5
4,0,0,1,SH-17-10-10556-234,m08000207-175,6,10,1,6,0,0,11,5,4,6,10,10,4
5,0,0,1,SH-18-06-11098-353,ME-16-03-54615-517,0,0,0,0,0,0,11,0,0,0,0,0,0
6,1,1,3,ME-17-05-633-549,ME-19-04-1316-977,1,0,0,0,2,0,11,1,0,-1,0,1,-1
7,1,1,3,ME-16-04-12480-812,ME-13-10-28139-807,0,0,0,0,0,0,11,0,0,0,0,0,0
8,0,0,1,ME-17-05-633-549,ME-09-05-16192-355,0,0,0,0,0,1,11,0,0,0,-1,0,-1
9,0,0,1,ME-16-05-336-804,ME-15-12-39071-113,1,1,0,0,0,0,11,1,1,1,1,1,1
10,1,1,3,ME-16-10-12213-904,ME-09-05-16192-355,1,0,0,0,1,0,11,1,0,0,0,1,0
11,0,0,1,ME-16-10-9348-780,SH-10-02-25802-731,3,6,1,3,0,2,11,2,3,3,4,4,2
12,1,1,3,ME-16-05-25902-514,ME-12-05-33444-999,0,0,0,0,0,0,11,0,0,0,0,0,0
13,0,1,2,ME-15-08-44579-251,ME-14-12-6904-57,2,8,1,6,0,4,11,1,2,2,4,4,1
14,0,1,2,ME-17-05-633-549,ME-16-03-54615-517,11,0,8,0,4,1,11,3,0,7,-1,7,-1
15,1,1,3,ME-20-01-62688-591,ME-16-09-398-589,0,0,0,0,1,0,11,0,0,-1,0,0,-1
16,1,1,3,ME-16-06-42987-901,ME-16-06-44840-433,4,2,2,0,1,0,11,2,2,3,2,3,2
17,0,0,1,ME-21-10-18557-340,SH-11-01-41775-497,0,0,0,0,0,0,11,0,0,0,0,0,0
18,0,0,1,ME-16-06-42987-901,ME-14-10-31218-522,0,0,0,3,2,2,11,0,-3,-2,-2,0,-3
19,0,0,1,ME-18-05-32659-754,ME-15-02-9111-399,2,5,4,8,2,3,11,-2,-3,0,2,2,-3
20,0,1,2,ME-16-05-336-804,ME-16-11-69158-529,6,0,10,1,1,1,11,-4,-1,5,-1,5,-4
21,0,1,2,SH-17-10-10556-234,m07001074-98,4,3,4,3,4,0,11,0,0,0,3,3,0
22,0,0,1,SH-19-07-60805-168,ME-14-10-31218-522,0,0,0,0,0,0,11,0,0,0,0,0,0
23,0,0,1,ME-16-06-44840-433,SH-11-05-24791-315,0,0,0,0,0,0,11,0,0,0,0,0,0
24,0,0,1,ME-16-08-229-604,ME-16-05-19384-544,4,10,5,9,0,2,11,-1,1,4,8,8,-1
25,0,0,1,ME-16-02-18397-87,ME-20-01-62688-591,0,0,0,0,0,0,11,0,0,0,0,0,0
26,0,0,1,sh-10-05-7434-952,ME-15-06-12109-344,0,1,0,1,0,0,11,0,0,0,1,1,0
27,0,0,1,ME-16-06-44840-433,SH-09-05-9349-998,0,0,0,0,0,0,11,0,0,0,0,0,0
28,1,1,3,ME-16-08-44157-713,ME-15-11-45465-294,0,0,0,0,0,0,11,0,0,0,0,0,0
29,0,0,1,ME-15-06-12109-344,ME-12-04-33577-700,0,0,0,0,0,0,11,0,0,0,0,0,0
30,0,1,2,ME-17-08-28615-573,ME-16-05-336-804,6,0,6,0,4,0,11,0,0,2,0,2,0
31,0,0,1,ME-16-05-25902-514,SH-17-08-47445-166,5,9,3,7,2,4,11,2,2,3,5,5,2
32,1,1,3,ME-16-05-336-804,ME-14-12-6904-57,7,1,7,2,1,0,11,0,-1,6,1,6,-1
33,0,0,1,SH-19-07-60805-168,ME-20-01-17935-7,2,4,0,3,0,0,11,2,1,2,4,4,1
34,1,1,3,ME-15-12-39071-113,ME-09-11-7566-913,6,1,0,0,0,0,11,6,1,6,1,6,1
35,0,0,1,ME-19-04-1316-977,SH-11-05-24791-315,0,0,0,0,0,0,11,0,0,0,0,0,0
36,0,0,1,ME-15-12-39071-113,ME-13-02-28360-614,0,0,0,0,0,0,11,0,0,0,0,0,0
37,1,1,3,ME-16-02-59812-881,ME-22-03-52964-443,9,8,11,10,5,5,11,-2,-2,4,3,4,-2
38,0,0,1,ME-20-01-62688-591,ME-17-05-35227-215,3,6,3,4,0,1,11,0,2,3,5,5,0
39,0,0,1,ME-16-06-64845-657,ME-12-03-13401-281,2,4,1,3,1,3,11,1,1,1,1,1,1
40,0,0,1,SH-14-02-28659-762,ME-16-05-19384-544,0,0,0,0,0,0,11,0,0,0,0,0,0
41,0,0,1,ME-20-01-62688-591,ME-22-03-52964-443,6,9,4,9,0,1,11,2,0,6,8,8,0
42,1,1,3,ME-19-01-53615-8,ME-16-11-69158-529,2,1,0,0,1,0,11,2,1,1,1,2,1
43,1,1,3,ME-15-12-39071-113,sh-10-05-7434-952,0,0,2,1,0,0,11,-2,-1,0,0,0,-2
44,0,0,1,ME-16-06-44840-433,ME-12-09-51207-971,0,0,0,0,0,0,11,0,0,0,0,0,0
45,1,1,3,ME-16-05-19384-544,ME-16-03-54615-517,8,2,7,2,5,2,11,1,0,3,0,3,0
46,0,0,1,ME-12-05-33444-999,ME-17-04-613-913,11,11,10,10,5,5,11,1,1,6,6,6,1
47,0,0,1,ME-17-04-613-913,ME-12-04-33577-700,0,0,0,0,0,0,11,0,0,0,0,0,0
48,0,0,1,ME-21-10-18557-340,ME-16-10-9348-780,0,0,0,0,0,1,11,0,0,0,-1,0,-1
49,1,1,3,SH-16-04-30406-325,SH-16-11-7544-55,0,0,0,0,0,0,11,0,0,0,0,0,0
50,0,0,1,SH-16-11-7544-55,ME-13-10-28139-807,0,0,0,0,0,0,11,0,0,0,0,0,0
51,0,0,1,ME-16-04-12480-812,SH-16-05-42991-439,1,3,1,1,0,3,11,0,2,1,0,2,0
52,1,1,3,ME-16-05-9968-487,ME-13-04-35007-454,8,2,8,2,4,2,11,0,0,4,0,4,0
53,0,1,2,ME-16-11-69158-529,ME-14-12-6904-57,3,3,1,6,5,0,11,2,-3,-2,3,3,-3
54,0,0,1,SH-11-05-24791-315,ME-16-10-9348-780,1,2,0,1,0,0,11,1,1,1,2,2,1
55,1,1,3,ME-15-12-39071-113,ME-10-08-17917-313,0,0,0,0,0,0,11,0,0,0,0,0,0
56,0,0,1,ME-22-03-52964-443,SH-17-08-47445-166,1,1,0,0,0,0,11,1,1,1,1,1,1
