domain,representation,model,f1_b0_old,f1_b0_new,f1_b1_old,f1_b1_new
drugs,fe,gpt5mini,0.88,0.88,0.8,0.8411214953271028
drugs,with_indicment_facts,gemini_25_pro,0.8157894736842105,0.8157894736842105,0.7254901960784313,0.7878787878787878
drugs,with_gpt_features,gpt52,0.8285714285714286,0.8285714285714286,0.7747747747747747,0.8333333333333334
drugs,fe,claude_sonnet_4_6,0.8860759493670886,0.8860759493670886,0.845360824742268,0.875
drugs,fe,gpt52,0.88,0.88,0.8387096774193549,0.8888888888888888
drugs,fe_gpt_schema_v2,claude_sonnet_4_6,0.9,0.9,0.8297872340425532,0.9010989010989011
drugs,with_indicment_facts,qwen_hf,0.8421052631578947,0.8421052631578947,0.8,0.8735632183908046
drugs,with_gpt_features,gemini_25_pro,0.8157894736842105,0.8157894736842105,0.7676767676767676,0.8333333333333334
drugs,with_gpt_features,gemma3_27b,0.8,0.8,0.7572815533980582,0.813953488372093
drugs,hybrid_full_gpt,gpt52,0.9142857142857143,0.9142857142857143,0.8431372549019608,0.9111111111111111
drugs,with_gpt_features,llama3_70b,0.7948717948717948,0.7948717948717948,0.7166666666666667,0.7640449438202247
drugs,hybrid,gemini_3_flash,0.8974358974358975,0.8974358974358975,0.8514851485148515,0.9183673469387755
drugs,hybrid_full_gpt,gemini_25_pro,,,,
drugs,hybrid_full_gpt,gemini_3_flash,,,,
drugs,with_gpt_law_features,qwen3_235b,0.8767123287671232,0.8767123287671232,0.7586206896551724,0.8333333333333334
drugs,with_gpt_law_features,gpt51_thinking,0.8732394366197183,0.8732394366197183,0.7741935483870968,0.8444444444444444
drugs,fe,gpt51_thinking,0.835820895522388,0.835820895522388,0.8,0.8735632183908046
drugs,fe,gpt4,0.8611111111111112,0.8611111111111112,0.8,0.8247422680412371
drugs,with_gpt_law_features,qwen_hf,0.8529411764705882,0.8529411764705882,0.7524752475247525,0.8163265306122449
drugs,hybrid,qwen3_235b,0.8695652173913043,0.8695652173913043,0.8235294117647058,0.8888888888888888
drugs,with_gpt_law_features,gpt52,0.8571428571428571,0.8571428571428571,0.7636363636363637,0.8260869565217391
drugs,fe,qwen3_235b,0.835820895522388,0.835820895522388,0.8,0.8372093023255814
drugs,with_indicment_facts,qwen3_235b,0.8648648648648649,0.8648648648648649,0.8,0.8695652173913043
drugs,with_gpt_features,gpt5mini,0.7901234567901234,0.7901234567901234,0.76,0.8247422680412371
drugs,hybrid_full_gpt,gemma3_27b,,,,
drugs,with_gpt_features,gpt51_thinking,0.8533333333333334,0.8533333333333334,0.7741935483870968,0.8444444444444444
