domain,representation,n,b0_old,b0_new,b1_old,b1_new,b0_delta,b1_delta
drugs,fe,11,0.8583,0.8583,0.8185,0.8567,0.0,0.0382
drugs,fe_gpt_schema_v2,11,0.8649,0.8649,0.8305,0.8828,0.0,0.0523
drugs,hybrid,11,0.8692,0.8692,0.8367,0.8976,0.0,0.0609
drugs,hybrid_full_gpt,11,0.8683,0.8683,0.8141,0.8773,0.0,0.0632
drugs,with_gpt_features,11,0.8277,0.8277,0.7678,0.8313,0.0,0.0635
drugs,with_gpt_law_features,11,0.853,0.853,0.7715,0.8352,0.0,0.0637
drugs,with_indicment_facts,11,0.8364,0.8364,0.7845,0.854,0.0,0.0695
weapon,fe,11,0.6963,0.7267,0.8132,0.8335,0.0304,0.0203
weapon,fe_gpt_schema_v2,11,0.6858,0.7146,0.7621,0.783,0.0288,0.0209
weapon,hybrid,11,0.7129,0.7285,0.7971,0.8177,0.0156,0.0206
weapon,hybrid_full_gpt,11,0.7458,0.7789,0.8239,0.8506,0.0331,0.0267
weapon,with_gpt_features,11,0.6789,0.7105,0.7575,0.7785,0.0316,0.021
weapon,with_gpt_law_features,11,0.6363,0.6669,0.7605,0.7818,0.0306,0.0213
weapon,with_indicment_facts,11,0.699,0.7304,0.7735,0.794,0.0314,0.0205
