domain,task,rep,f1_mean,ap_mean,n
drugs,b0,facts,0.8364,0.8357,11
drugs,b0,fe_gpt_schema_v2,0.8649,0.9246,11
drugs,b0,gpt_free,0.8277,0.8468,11
drugs,b0,gpt_law,0.853,0.8546,11
drugs,b0,hybrid_full_gpt,0.868,0.9168,11
drugs,b0,hybrid_manual_gpt,0.8692,0.9255,11
drugs,b0,manual_fe,0.8583,0.9119,11
drugs,b1,facts,0.7845,0.8032,11
drugs,b1,fe_gpt_schema_v2,0.8305,0.897,11
drugs,b1,gpt_free,0.7679,0.8053,11
drugs,b1,gpt_law,0.7715,0.8085,11
drugs,b1,hybrid_full_gpt,0.8177,0.8803,11
drugs,b1,hybrid_manual_gpt,0.8367,0.9,11
drugs,b1,manual_fe,0.8185,0.8966,11
weapon,b0,facts,0.699,0.6922,11
weapon,b0,fe_gpt_schema_v2,0.6858,0.6908,11
weapon,b0,gpt_free,0.6789,0.6775,11
weapon,b0,gpt_law,0.6363,0.6357,11
weapon,b0,hybrid_full_gpt,0.6865,0.6875,11
weapon,b0,hybrid_manual_gpt,0.7129,0.7188,11
weapon,b0,manual_fe,0.6963,0.7195,11
weapon,b1,facts,0.7735,0.8243,11
weapon,b1,fe_gpt_schema_v2,0.7621,0.7708,11
weapon,b1,gpt_free,0.7575,0.7904,11
weapon,b1,gpt_law,0.7605,0.7751,11
weapon,b1,hybrid_full_gpt,0.793,0.8085,11
weapon,b1,hybrid_manual_gpt,0.797,0.8316,11
weapon,b1,manual_fe,0.8133,0.8373,11
