domain,rep,model,task,f1,prec,rec,loo,thr,nv,nf
drugs,facts,claude_sonnet_4_6,binary_0,0.875,0.814,0.9459,0.85,32.1608,100,0
drugs,facts,claude_sonnet_4_6,binary_1,0.8515,0.86,0.8431,0.8163,22.1106,100,0
drugs,facts,gemini_25_pro,binary_0,0.8158,0.7381,0.9118,0.7671,25.1256,100,0
drugs,facts,gemini_25_pro,binary_1,0.7255,0.6852,0.7708,0.7255,20.1005,100,0
drugs,facts,gemini_3_flash,binary_0,0.8312,0.7442,0.9412,0.8312,58.2915,100,0
drugs,facts,gemini_3_flash,binary_1,0.8085,0.8261,0.7917,0.8,45.2261,100,0
drugs,facts,gemma3_27b,binary_0,0.7901,0.6809,0.9412,0.7805,55.2764,100,0
drugs,facts,gemma3_27b,binary_1,0.7789,0.7872,0.7708,0.7708,55.2764,100,0
drugs,facts,gpt4,binary_0,0.8421,0.7619,0.9412,0.8312,60.3015,100,0
drugs,facts,gpt4,binary_1,0.7692,0.814,0.7292,0.7692,55.2764,100,0
drugs,facts,gpt51_thinking,binary_0,0.8571,0.7674,0.9706,0.8462,58.2915,100,0
drugs,facts,gpt51_thinking,binary_1,0.7872,0.8043,0.7708,0.766,52.2613,100,0
drugs,facts,gpt52,binary_0,0.8205,0.7273,0.9412,0.7848,46.2312,100,0
drugs,facts,gpt52,binary_1,0.8211,0.8298,0.8125,0.8211,43.2161,100,0
drugs,facts,gpt5mini,binary_0,0.8421,0.7619,0.9412,0.8158,53.2663,100,0
drugs,facts,gpt5mini,binary_1,0.7556,0.8095,0.7083,0.7333,53.2663,100,0
drugs,facts,llama3_70b,binary_0,0.8197,0.9259,0.7353,0.8,60.3015,100,0
drugs,facts,llama3_70b,binary_1,0.7317,0.6,0.9375,0.6195,30.1508,100,0
drugs,facts,qwen3_235b,binary_0,0.8649,0.8,0.9412,0.8169,40.201,100,0
drugs,facts,qwen3_235b,binary_1,0.8,0.8085,0.7917,0.8,35.1759,100,0
drugs,facts,qwen_hf,binary_0,0.8421,0.7619,0.9412,0.7945,40.201,100,0
drugs,facts,qwen_hf,binary_1,0.8,0.8571,0.75,0.8,40.201,100,0
drugs,fe_gpt_schema_v2,claude_sonnet_4_6,binary_0,0.9,0.8372,0.973,0.8718,38.191,100,0
drugs,fe_gpt_schema_v2,claude_sonnet_4_6,binary_1,0.8298,0.907,0.7647,0.8298,38.191,100,0
drugs,fe_gpt_schema_v2,gemini_25_pro,binary_0,0.8947,0.8718,0.9189,0.8831,55.2764,100,0
drugs,fe_gpt_schema_v2,gemini_25_pro,binary_1,0.8222,0.9487,0.7255,0.7708,55.2764,100,0
drugs,fe_gpt_schema_v2,gemini_3_flash,binary_0,0.8861,0.8333,0.9459,0.8158,62.3116,100,0
drugs,fe_gpt_schema_v2,gemini_3_flash,binary_1,0.8431,0.8431,0.8431,0.7755,45.2261,100,0
drugs,fe_gpt_schema_v2,gemma3_27b,binary_0,0.8438,1.0,0.7297,0.8438,65.3266,100,0
drugs,fe_gpt_schema_v2,gemma3_27b,binary_1,0.819,0.7963,0.8431,0.7273,45.2261,100,0
drugs,fe_gpt_schema_v2,gpt4,binary_0,0.8533,0.8421,0.8649,0.775,60.3015,100,0
drugs,fe_gpt_schema_v2,gpt4,binary_1,0.8283,0.8542,0.8039,0.8283,45.2261,100,0
drugs,fe_gpt_schema_v2,gpt51_thinking,binary_0,0.878,0.8,0.973,0.85,62.3116,100,0
drugs,fe_gpt_schema_v2,gpt51_thinking,binary_1,0.8571,0.8333,0.8824,0.8411,55.2764,100,0
drugs,fe_gpt_schema_v2,gpt52,binary_0,0.8889,0.8182,0.973,0.85,54.2714,100,0
drugs,fe_gpt_schema_v2,gpt52,binary_1,0.8421,0.9091,0.7843,0.8333,54.2714,100,0
drugs,fe_gpt_schema_v2,gpt5mini,binary_0,0.8919,0.8919,0.8919,0.8767,66.3317,100,0
drugs,fe_gpt_schema_v2,gpt5mini,binary_1,0.8261,0.9268,0.7451,0.7835,60.3015,100,0
drugs,fe_gpt_schema_v2,llama3_70b,binary_0,0.806,0.9,0.7297,0.7941,62.3116,100,0
drugs,fe_gpt_schema_v2,llama3_70b,binary_1,0.8333,0.7895,0.8824,0.8257,52.2613,100,0
drugs,fe_gpt_schema_v2,qwen3_235b,binary_0,0.8333,0.7447,0.9459,0.7901,40.201,100,0
drugs,fe_gpt_schema_v2,qwen3_235b,binary_1,0.8148,0.7719,0.8627,0.8148,35.1759,100,0
drugs,fe_gpt_schema_v2,qwen_hf,binary_0,0.8378,0.8378,0.8378,0.7654,50.2513,100,0
drugs,fe_gpt_schema_v2,qwen_hf,binary_1,0.82,0.8367,0.8039,0.82,40.201,100,0
drugs,gpt_free,claude_sonnet_4_6,binary_0,0.8974,0.8537,0.9459,0.8462,28.1407,100,0
drugs,gpt_free,claude_sonnet_4_6,binary_1,0.8211,0.8864,0.7647,0.78,22.1106,100,0
drugs,gpt_free,gemini_25_pro,binary_0,0.8158,0.7381,0.9118,0.75,25.1256,100,0
drugs,gpt_free,gemini_25_pro,binary_1,0.7677,0.7451,0.7917,0.7677,20.1005,100,0
drugs,gpt_free,gemini_3_flash,binary_0,0.8219,0.7692,0.8824,0.72,62.3116,100,0
drugs,gpt_free,gemini_3_flash,binary_1,0.8,0.7692,0.8333,0.8,38.191,100,0
drugs,gpt_free,gemma3_27b,binary_0,0.8,0.7317,0.8824,0.7838,45.2261,100,0
drugs,gpt_free,gemma3_27b,binary_1,0.7573,0.7091,0.8125,0.7451,35.1759,100,0
drugs,gpt_free,gpt4,binary_0,0.8451,0.8108,0.8824,0.8451,55.2764,100,0
drugs,gpt_free,gpt4,binary_1,0.7917,0.7917,0.7917,0.7917,35.1759,100,0
drugs,gpt_free,gpt51_thinking,binary_0,0.8533,0.7805,0.9412,0.7945,56.2814,100,0
drugs,gpt_free,gpt51_thinking,binary_1,0.7742,0.8,0.75,0.7473,42.2111,100,0
drugs,gpt_free,gpt52,binary_0,0.8286,0.8056,0.8529,0.8169,55.2764,100,0
drugs,gpt_free,gpt52,binary_1,0.7748,0.6825,0.8958,0.7103,34.1709,100,0
drugs,gpt_free,gpt5mini,binary_0,0.7901,0.6809,0.9412,0.775,45.2261,100,0
drugs,gpt_free,gpt5mini,binary_1,0.76,0.7308,0.7917,0.7525,42.2111,100,0
drugs,gpt_free,llama3_70b,binary_0,0.7949,0.7045,0.9118,0.7792,52.2613,100,0
drugs,gpt_free,llama3_70b,binary_1,0.7167,0.5972,0.8958,0.7107,38.191,100,0
drugs,gpt_free,qwen3_235b,binary_0,0.8125,0.8667,0.7647,0.8125,45.2261,100,0
drugs,gpt_free,qwen3_235b,binary_1,0.72,0.6923,0.75,0.6667,30.1508,100,0
drugs,gpt_free,qwen_hf,binary_0,0.8451,0.8108,0.8824,0.8451,40.201,100,0
drugs,gpt_free,qwen_hf,binary_1,0.7629,0.7551,0.7708,0.7234,30.1508,100,0
drugs,gpt_law,claude_sonnet_4_6,binary_0,0.8889,0.9143,0.8649,0.8889,42.2111,100,0
drugs,gpt_law,claude_sonnet_4_6,binary_1,0.835,0.8269,0.8431,0.835,22.1106,100,0
drugs,gpt_law,gemini_25_pro,binary_0,0.8219,0.7692,0.8824,0.8219,35.1759,100,0
drugs,gpt_law,gemini_25_pro,binary_1,0.7579,0.766,0.75,0.75,30.1508,100,0
drugs,gpt_law,gemini_3_flash,binary_0,0.8571,0.8333,0.8824,0.8451,76.3819,100,0
drugs,gpt_law,gemini_3_flash,binary_1,0.7921,0.7547,0.8333,0.7921,45.2261,100,0
drugs,gpt_law,gemma3_27b,binary_0,0.7869,0.8889,0.7059,0.7869,65.3266,100,0
drugs,gpt_law,gemma3_27b,binary_1,0.76,0.7308,0.7917,0.7451,55.2764,100,0
drugs,gpt_law,gpt4,binary_0,0.8696,0.8571,0.8824,0.8286,68.3417,100,0
drugs,gpt_law,gpt4,binary_1,0.7692,0.7143,0.8333,0.7451,38.191,100,0
drugs,gpt_law,gpt51_thinking,binary_0,0.8732,0.8378,0.9118,0.8451,65.3266,100,0
drugs,gpt_law,gpt51_thinking,binary_1,0.7742,0.8,0.75,0.7333,58.2915,100,0
drugs,gpt_law,gpt52,binary_0,0.8571,0.8333,0.8824,0.8333,58.2915,100,0
drugs,gpt_law,gpt52,binary_1,0.7636,0.6774,0.875,0.6796,38.191,100,0
drugs,gpt_law,gpt5mini,binary_0,0.8732,0.8378,0.9118,0.8406,62.3116,100,0
drugs,gpt_law,gpt5mini,binary_1,0.7708,0.7708,0.7708,0.7447,55.2764,100,0
drugs,gpt_law,llama3_70b,binary_0,0.8254,0.8966,0.7647,0.8254,68.3417,100,0
drugs,gpt_law,llama3_70b,binary_1,0.7523,0.6721,0.8542,0.7523,58.2915,100,0
drugs,gpt_law,qwen3_235b,binary_0,0.8767,0.8205,0.9412,0.8767,55.2764,100,0
drugs,gpt_law,qwen3_235b,binary_1,0.7586,0.8462,0.6875,0.7253,55.2764,100,0
drugs,gpt_law,qwen_hf,binary_0,0.8529,0.8529,0.8529,0.8529,58.2915,100,0
drugs,gpt_law,qwen_hf,binary_1,0.7525,0.717,0.7917,0.7525,40.201,100,0
drugs,hybrid_full_gpt,claude_sonnet_4_6,binary_0,0.9067,0.8947,0.9189,0.8611,38.191,100,0
drugs,hybrid_full_gpt,claude_sonnet_4_6,binary_1,0.8247,0.8696,0.7843,0.7619,28.1407,100,0
drugs,hybrid_manual_gpt,claude_sonnet_4_6,binary_0,0.9,0.8372,0.973,0.9,28.1407,100,0
drugs,hybrid_manual_gpt,claude_sonnet_4_6,binary_1,0.8511,0.9302,0.7843,0.8511,28.1407,100,0
drugs,manual_fe,claude_sonnet_4_6,binary_0,0.8861,0.8333,0.9459,0.8861,38.191,100,0
drugs,manual_fe,claude_sonnet_4_6,binary_1,0.8454,0.8913,0.8039,0.8125,34.1709,100,0
drugs,manual_fe,gemini_25_pro,binary_0,0.8767,0.8889,0.8649,0.8611,45.2261,100,0
drugs,manual_fe,gemini_25_pro,binary_1,0.8043,0.9024,0.7255,0.7912,35.1759,100,0
drugs,manual_fe,gemini_3_flash,binary_0,0.8986,0.9688,0.8378,0.8986,68.3417,100,0
drugs,manual_fe,gemini_3_flash,binary_1,0.8478,0.9512,0.7647,0.8478,58.2915,100,0
drugs,manual_fe,gemma3_27b,binary_0,0.8046,0.7,0.9459,0.7955,60.3015,100,0
drugs,manual_fe,gemma3_27b,binary_1,0.8235,0.8235,0.8235,0.8235,45.2261,100,0
drugs,manual_fe,gpt4,binary_0,0.8611,0.8857,0.8378,0.8286,60.3015,100,0
drugs,manual_fe,gpt4,binary_1,0.8,0.8163,0.7843,0.8,45.2261,100,0
drugs,manual_fe,gpt51_thinking,binary_0,0.8358,0.9333,0.7568,0.7778,70.3518,100,0
drugs,manual_fe,gpt51_thinking,binary_1,0.8,0.9231,0.7059,0.7826,62.3116,100,0
drugs,manual_fe,gpt52,binary_0,0.88,0.8684,0.8919,0.8108,56.2814,100,0
drugs,manual_fe,gpt52,binary_1,0.8387,0.9286,0.7647,0.8387,52.2613,100,0
drugs,manual_fe,gpt5mini,binary_0,0.88,0.8684,0.8919,0.88,64.3216,100,0
drugs,manual_fe,gpt5mini,binary_1,0.8,0.7458,0.8627,0.6923,50.2513,100,0
drugs,manual_fe,llama3_70b,binary_0,0.8095,0.7234,0.9189,0.6842,58.2915,100,0
drugs,manual_fe,llama3_70b,binary_1,0.8571,0.8936,0.8235,0.8571,58.2915,100,0
drugs,manual_fe,qwen3_235b,binary_0,0.8358,0.9333,0.7568,0.7778,55.2764,100,0
drugs,manual_fe,qwen3_235b,binary_1,0.8,0.8163,0.7843,0.8,40.201,100,0
drugs,manual_fe,qwen_hf,binary_0,0.8732,0.9118,0.8378,0.8493,58.2915,100,0
drugs,manual_fe,qwen_hf,binary_1,0.7863,0.697,0.902,0.6346,35.1759,100,0
weapon,facts,claude_sonnet_4_6,binary_0,0.7532,0.8056,0.7073,0.7532,58.2915,141,0
weapon,facts,claude_sonnet_4_6,binary_1,0.7826,0.7105,0.871,0.7826,32.1608,141,0
weapon,facts,gemini_25_pro,binary_0,0.65,0.6667,0.6341,0.65,40.201,141,0
weapon,facts,gemini_25_pro,binary_1,0.7692,0.7353,0.8065,0.7692,25.1256,141,0
weapon,facts,gemini_3_flash,binary_0,0.7158,0.6296,0.8293,0.7158,68.3417,141,0
weapon,facts,gemini_3_flash,binary_1,0.7852,0.726,0.8548,0.7385,58.2915,141,0
weapon,facts,gemma3_27b,binary_0,0.7103,0.5758,0.9268,0.7103,55.2764,141,0
weapon,facts,gemma3_27b,binary_1,0.7879,0.7429,0.8387,0.7692,45.2261,141,0
weapon,facts,gpt4,binary_0,0.7586,0.7174,0.8049,0.7253,70.3518,141,0
weapon,facts,gpt4,binary_1,0.7778,0.913,0.6774,0.75,70.3518,141,0
weapon,facts,gpt51_thinking,binary_0,0.7253,0.66,0.8049,0.7097,68.3417,141,0
weapon,facts,gpt51_thinking,binary_1,0.7879,0.7429,0.8387,0.7786,60.3015,141,0
weapon,facts,gpt52,binary_0,0.7342,0.7632,0.7073,0.6304,62.3116,141,0
weapon,facts,gpt52,binary_1,0.8,0.7397,0.871,0.7941,56.2814,141,0
weapon,facts,gpt5mini,binary_0,0.6667,0.569,0.8049,0.5745,64.3216,141,0
weapon,facts,gpt5mini,binary_1,0.75,0.6585,0.871,0.72,55.2764,141,0
weapon,facts,llama3_70b,binary_0,0.5806,0.4337,0.878,0.3704,58.2915,141,0
weapon,facts,llama3_70b,binary_1,0.7172,0.6265,0.8387,0.7172,58.2915,141,0
weapon,facts,qwen3_235b,binary_0,0.7209,0.6889,0.7561,0.6739,45.2261,141,0
weapon,facts,qwen3_235b,binary_1,0.782,0.7324,0.8387,0.782,35.1759,141,0
weapon,facts,qwen_hf,binary_0,0.6733,0.5667,0.8293,0.6733,40.201,141,0
weapon,facts,qwen_hf,binary_1,0.7692,0.679,0.8871,0.7692,35.1759,141,0
weapon,fe_gpt_schema_v2,claude_sonnet_4_6,binary_0,0.7551,0.6491,0.9024,0.6809,48.2412,141,0
