row,gt,wrong,total,wrong_rate,verdict_1,verdict_2
37,1,65,67,0.97,ME-16-02-59812-881,ME-22-03-52964-443
46,0,57,67,0.851,ME-12-05-33444-999,ME-17-04-613-913
140,0,57,67,0.851,SH-15-03-49530-992,ME-16-05-9983-155
45,1,56,67,0.836,ME-16-05-19384-544,ME-16-03-54615-517
86,0,54,67,0.806,ME-20-07-29529-567,ME-16-08-54879-35
110,0,54,67,0.806,sh-10-05-7434-952,SH-18-06-11098-353
111,0,53,67,0.791,SH-19-07-60805-168,SH-16-11-7544-55
52,1,52,67,0.776,ME-16-05-9968-487,ME-13-04-35007-454
14,0,50,67,0.746,ME-17-05-633-549,ME-16-03-54615-517
137,1,50,67,0.746,ME-18-10-30972-637,ME-14-11-7498-539
30,0,49,67,0.731,ME-17-08-28615-573,ME-16-05-336-804
67,1,48,67,0.716,ME-16-10-12213-904,ME-16-01-189-123
20,0,46,67,0.687,ME-16-05-336-804,ME-16-11-69158-529
106,0,44,67,0.657,ME-22-03-52964-443,ME-17-05-35227-215
115,0,44,67,0.657,SH-16-11-7544-55,ME-16-10-12213-904
114,0,43,67,0.642,ME-17-08-28615-573,ME-17-05-35227-215
123,1,41,67,0.612,SH-17-11-53539-235,m07001074-98
21,0,39,67,0.582,SH-17-10-10556-234,m07001074-98
107,0,38,67,0.567,ME-18-04-19642-504,ME-21-10-18557-340
73,0,37,67,0.552,SH-17-10-10556-234,ME-09-06-10774-130
19,0,31,67,0.463,ME-18-05-32659-754,ME-15-02-9111-399
3,0,29,67,0.433,SH-17-10-10556-234,ME-16-11-13999-863
24,0,27,67,0.403,ME-16-08-229-604,ME-16-05-19384-544
31,0,26,67,0.388,ME-16-05-25902-514,SH-17-08-47445-166
79,0,25,67,0.373,ME-17-05-35227-215,ME-15-02-9111-399
16,1,24,67,0.358,ME-16-06-42987-901,ME-16-06-44840-433
58,0,24,67,0.358,ME-16-11-69158-529,ME-16-10-12213-904
94,1,24,67,0.358,SH-17-04-19242-11,SH-16-11-7544-55
109,0,24,67,0.358,ME-16-06-44840-433,ME-14-10-31218-522
117,0,24,67,0.358,SH-20-02-52091-995,ME-17-05-35227-215
4,0,23,67,0.343,SH-17-10-10556-234,m08000207-175
55,1,23,67,0.343,ME-15-12-39071-113,ME-10-08-17917-313
76,0,23,67,0.343,ME-16-10-12213-904,ME-15-02-9111-399
32,1,21,67,0.313,ME-16-05-336-804,ME-14-12-6904-57
71,1,21,67,0.313,ME-16-11-69158-529,ME-16-01-3772-806
81,0,21,67,0.313,ME-16-02-59812-881,ME-16-03-54615-517
97,0,21,67,0.313,ME-16-06-42987-901,ME-12-04-33577-700
108,0,20,66,0.303,ME-16-03-59260-279,SH-11-12-35552-181
53,0,20,67,0.299,ME-16-11-69158-529,ME-14-12-6904-57
59,0,20,67,0.299,ME-16-03-59260-279,ME-16-08-54879-35
82,1,20,67,0.299,SH-23-03-19819-247,SH-16-11-7544-55
