domain,task,rep,model,n,pos,AP,AUC,best_F1,precision,recall,accuracy,best_thr
drugs,lenient,manual_fe,claude_sonnet_4_6,100,50,0.9372,0.916,0.8723,0.9318,0.82,0.88,42.0
drugs,lenient,manual_fe,gemini_25_pro,100,50,0.9042,0.881,0.8276,0.973,0.72,0.85,60.0
drugs,lenient,manual_fe,gemini_3_flash,100,50,0.9229,0.894,0.8723,0.9318,0.82,0.88,62.0
drugs,lenient,manual_fe,gemma3_27b,100,50,0.8915,0.8962,0.8119,0.8039,0.82,0.81,60.0
drugs,lenient,manual_fe,gemma4_31b_or,100,51,0.9179,0.9086,0.8454,0.8913,0.8039,0.85,45.0
drugs,lenient,manual_fe,gpt4,100,50,0.9271,0.9108,0.8539,0.9744,0.76,0.87,65.0
drugs,lenient,manual_fe,gpt51_thinking,100,50,0.9297,0.9144,0.8478,0.9286,0.78,0.86,68.0
drugs,lenient,manual_fe,gpt52,100,50,0.9219,0.9014,0.8511,0.9091,0.8,0.86,48.0
drugs,lenient,manual_fe,gpt5mini,100,50,0.9214,0.9022,0.8515,0.8431,0.86,0.85,60.0
drugs,lenient,manual_fe,llama3_70b,100,50,0.8943,0.8964,0.8542,0.8913,0.82,0.86,60.0
drugs,lenient,manual_fe,qwen3_vl_235b_or,100,51,0.9119,0.9058,0.8247,0.8696,0.7843,0.83,45.0
drugs,lenient,H-Manual,claude_sonnet_4_6,100,50,0.9121,0.908,0.8163,0.8333,0.8,0.82,28.0
drugs,lenient,H-Manual,gemini_25_pro,100,50,0.8923,0.8898,0.8041,0.8298,0.78,0.81,25.0
drugs,lenient,H-Manual,gemini_3_flash,100,50,0.8992,0.886,0.8421,0.8889,0.8,0.85,48.0
drugs,lenient,H-Manual,gemma3_27b,100,50,0.8802,0.8894,0.8119,0.8039,0.82,0.81,45.0
drugs,lenient,H-Manual,gemma4_31b_or,100,50,0.9009,0.911,0.8367,0.8542,0.82,0.84,35.0
drugs,lenient,H-Manual,gpt4,100,50,0.9186,0.9094,0.8367,0.8542,0.82,0.84,45.0
drugs,lenient,H-Manual,gpt51_thinking,100,50,0.897,0.8914,0.82,0.82,0.82,0.82,42.0
drugs,lenient,H-Manual,gpt52,100,50,0.9134,0.9022,0.8352,0.9268,0.76,0.85,48.0
drugs,lenient,H-Manual,gpt5mini,100,50,0.9154,0.9078,0.8387,0.907,0.78,0.85,60.0
drugs,lenient,H-Manual,llama3_70b,100,50,0.8593,0.8448,0.7872,0.8409,0.74,0.8,48.0
drugs,lenient,H-Manual,qwen3_vl_235b_or,100,50,0.8551,0.884,0.8085,0.8636,0.76,0.82,40.0
drugs,lenient,H-Full,claude_sonnet_4_6,100,50,0.9077,0.8966,0.8367,0.8542,0.82,0.84,30.0
drugs,lenient,H-Full,gemini_25_pro,100,50,0.8602,0.8404,0.8172,0.8837,0.76,0.83,35.0
drugs,lenient,H-Full,gemini_3_flash,100,50,0.8945,0.8794,0.8235,0.8077,0.84,0.82,42.0
drugs,lenient,H-Full,gemma3_27b,100,50,0.8683,0.885,0.8224,0.7719,0.88,0.81,45.0
drugs,lenient,H-Full,gemma4_31b_or,100,50,0.8883,0.8892,0.8148,0.7586,0.88,0.8,35.0
drugs,lenient,H-Full,gpt4,100,50,0.889,0.8802,0.82,0.82,0.82,0.82,45.0
drugs,lenient,H-Full,gpt51_thinking,100,50,0.9088,0.8952,0.84,0.84,0.84,0.84,52.0
drugs,lenient,H-Full,gpt52,100,50,0.917,0.9012,0.8478,0.9286,0.78,0.86,55.0
drugs,lenient,H-Full,gpt5mini,100,50,0.8858,0.868,0.8,0.8444,0.76,0.81,60.0
drugs,lenient,H-Full,llama3_70b,100,50,0.852,0.8604,0.7899,0.6812,0.94,0.75,40.0
drugs,lenient,H-Full,qwen3_vl_235b_or,100,50,0.871,0.8788,0.8125,0.8478,0.78,0.82,40.0
drugs,lenient,GPT-Schema,claude_sonnet_4_6,100,50,0.9182,0.9136,0.8485,0.8571,0.84,0.85,34.0
drugs,lenient,GPT-Schema,gemini_25_pro,100,50,0.8979,0.89,0.8478,0.9286,0.78,0.86,45.0
drugs,lenient,GPT-Schema,gemini_3_flash,100,50,0.9142,0.8944,0.8315,0.9487,0.74,0.85,72.0
drugs,lenient,GPT-Schema,gemma3_27b,100,50,0.8927,0.9102,0.8544,0.8302,0.88,0.85,55.0
drugs,lenient,GPT-Schema,gemma4_31b_or,100,51,0.9217,0.911,0.8485,0.875,0.8235,0.85,40.0
drugs,lenient,GPT-Schema,gpt4,100,50,0.891,0.8776,0.8041,0.8298,0.78,0.81,55.0
drugs,lenient,GPT-Schema,gpt51_thinking,100,50,0.916,0.8968,0.86,0.86,0.86,0.86,58.0
