domain,task,metric,rep_vs,delta_manual_minus,p_raw,p_FDR,sig
weapon,strict,AP,H-Manual,0.0141,0.12012,0.12012,n.s.
weapon,strict,AP,H-Full,0.0562,0.00146,0.00293,**
weapon,strict,AP,GPT-Schema,0.0448,0.00684,0.01025,*
weapon,strict,AP,Raw-Facts,0.0437,0.01611,0.01934,*
weapon,strict,AP,GPT-Free,0.049,0.00049,0.00146,**
weapon,strict,AP,Law,0.1003,0.00049,0.00146,**
weapon,strict,best_F1,H-Manual,0.0205,0.00293,0.00879,**
weapon,strict,best_F1,H-Full,0.0319,0.01221,0.02417,*
weapon,strict,best_F1,GPT-Schema,0.0305,0.06152,0.07383,n.s.
weapon,strict,best_F1,Raw-Facts,0.023,0.10303,0.10303,n.s.
weapon,strict,best_F1,GPT-Free,0.0248,0.01611,0.02417,*
weapon,strict,best_F1,Law,0.0559,0.00049,0.00293,**
weapon,lenient,AP,H-Manual,0.0123,0.0415,0.0415,*
weapon,lenient,AP,H-Full,0.0309,0.00684,0.01367,*
weapon,lenient,AP,GPT-Schema,0.08,0.00049,0.00146,**
weapon,lenient,AP,Raw-Facts,0.035,0.01611,0.01934,*
weapon,lenient,AP,GPT-Free,0.0207,0.01221,0.01831,*
weapon,lenient,AP,Law,0.0444,0.00049,0.00146,**
weapon,lenient,best_F1,H-Manual,0.0136,0.03369,0.03369,*
weapon,lenient,best_F1,H-Full,0.0204,0.00146,0.00176,**
weapon,lenient,best_F1,GPT-Schema,0.0573,0.00049,0.00146,**
weapon,lenient,best_F1,Raw-Facts,0.0455,0.00146,0.00176,**
weapon,lenient,best_F1,GPT-Free,0.0427,0.00049,0.00146,**
weapon,lenient,best_F1,Law,0.0344,0.00098,0.00176,**
drugs,strict,AP,H-Manual,0.0235,0.00049,0.00059,***
drugs,strict,AP,H-Full,0.0238,0.00049,0.00059,***
drugs,strict,AP,GPT-Schema,0.0232,0.00049,0.00059,***
drugs,strict,AP,Raw-Facts,0.0502,0.00098,0.00098,***
drugs,strict,AP,GPT-Free,0.049,0.00049,0.00059,***
drugs,strict,AP,Law,0.0634,0.00049,0.00059,***
drugs,strict,best_F1,H-Manual,0.0273,0.00244,0.00293,**
drugs,strict,best_F1,H-Full,0.0253,0.01367,0.01367,*
drugs,strict,best_F1,GPT-Schema,0.0335,0.00195,0.00293,**
drugs,strict,best_F1,Raw-Facts,0.0335,0.00049,0.00146,**
drugs,strict,best_F1,GPT-Free,0.0286,0.00098,0.00195,**
drugs,strict,best_F1,Law,0.0405,0.00049,0.00146,**
drugs,lenient,AP,H-Manual,0.0215,0.00049,0.00059,***
drugs,lenient,AP,H-Full,0.0307,0.00049,0.00059,***
drugs,lenient,AP,GPT-Schema,0.0156,0.00244,0.00244,**
drugs,lenient,AP,Raw-Facts,0.0478,0.00049,0.00059,***
drugs,lenient,AP,GPT-Free,0.0449,0.00049,0.00059,***
drugs,lenient,AP,Law,0.0552,0.00049,0.00059,***
drugs,lenient,best_F1,H-Manual,0.025,0.00098,0.00146,**
drugs,lenient,best_F1,H-Full,0.0262,0.00342,0.0041,**
drugs,lenient,best_F1,GPT-Schema,0.0112,0.12012,0.12012,n.s.
drugs,lenient,best_F1,Raw-Facts,0.0321,0.00098,0.00146,**
drugs,lenient,best_F1,GPT-Free,0.037,0.00049,0.00146,**
drugs,lenient,best_F1,Law,0.0482,0.00049,0.00146,**
