domain,task,rep,n_models,avg_AP,avg_AUC,avg_F1,avg_precision,avg_recall,avg_accuracy,std_AP,std_F1
weapon,strict,manual_fe,11,0.7463,0.8966,0.735,0.6517,0.8625,0.8169,0.063,0.0387
weapon,strict,H-Manual,11,0.7322,0.8855,0.7145,0.6699,0.7849,0.8156,0.0749,0.0462
weapon,strict,H-Full,11,0.6901,0.8677,0.7031,0.6018,0.8581,0.7853,0.0839,0.0483
weapon,strict,GPT-Schema,11,0.7016,0.8634,0.7045,0.6447,0.8093,0.7943,0.0955,0.0699
weapon,strict,Raw-Facts,11,0.7026,0.8643,0.7119,0.6425,0.8138,0.8059,0.0504,0.0401
weapon,strict,GPT-Free,11,0.6973,0.8677,0.7102,0.6683,0.7716,0.8156,0.0637,0.042
weapon,strict,Law,11,0.6461,0.8425,0.6791,0.5746,0.8448,0.7653,0.0542,0.0312
weapon,lenient,manual_fe,11,0.8639,0.9117,0.8282,0.7986,0.8695,0.8401,0.0439,0.022
weapon,lenient,H-Manual,11,0.8516,0.9008,0.8146,0.7278,0.9282,0.813,0.058,0.0334
weapon,lenient,H-Full,11,0.833,0.8856,0.8078,0.7858,0.8372,0.8233,0.0594,0.0277
weapon,lenient,GPT-Schema,11,0.7839,0.8511,0.7709,0.7456,0.8123,0.7853,0.065,0.0304
weapon,lenient,Raw-Facts,11,0.8289,0.8685,0.7827,0.7424,0.8387,0.7943,0.0288,0.0201
weapon,lenient,GPT-Free,11,0.8432,0.8707,0.7855,0.7595,0.8182,0.8027,0.0341,0.0241
weapon,lenient,Law,11,0.8195,0.8732,0.7938,0.7513,0.846,0.8066,0.0494,0.025
drugs,strict,manual_fe,11,0.9532,0.9734,0.9071,0.9265,0.8949,0.9345,0.0132,0.0225
drugs,strict,H-Manual,11,0.9297,0.9631,0.8798,0.8454,0.9195,0.9118,0.0253,0.0172
drugs,strict,H-Full,11,0.9294,0.966,0.8818,0.8599,0.9117,0.9136,0.0301,0.0278
drugs,strict,GPT-Schema,11,0.93,0.9679,0.8736,0.8231,0.9408,0.9018,0.0233,0.0362
drugs,strict,Raw-Facts,11,0.903,0.9426,0.8737,0.8539,0.8987,0.9082,0.0238,0.0212
drugs,strict,GPT-Free,11,0.9042,0.9429,0.8785,0.8532,0.9091,0.9118,0.0235,0.0179
drugs,strict,Law,11,0.8898,0.9307,0.8666,0.8376,0.9013,0.9027,0.0235,0.0286
drugs,lenient,manual_fe,11,0.9164,0.9024,0.8466,0.9044,0.7989,0.8545,0.0138,0.0179
drugs,lenient,H-Manual,11,0.8949,0.8931,0.8216,0.8566,0.7909,0.8282,0.0208,0.0169
drugs,lenient,H-Full,11,0.8857,0.8795,0.8204,0.8216,0.8273,0.8182,0.02,0.0161
drugs,lenient,GPT-Schema,11,0.9008,0.8932,0.8354,0.8672,0.8097,0.84,0.019,0.0185
drugs,lenient,Raw-Facts,11,0.8686,0.8662,0.8145,0.8795,0.7636,0.8264,0.0198,0.0185
drugs,lenient,GPT-Free,11,0.8714,0.8726,0.8096,0.8218,0.8018,0.8118,0.0187,0.0176
drugs,lenient,Law,11,0.8612,0.8535,0.7984,0.8525,0.7564,0.8082,0.0137,0.0154
