data_source,case,הודאה,מספר עבירה,סוג עבירה,עבירות נוספות,סוג הנשק [אקדח],סוג הנשק [תת מקלע],סוג הנשק [תת מקלע מאולתר],סוג הנשק [בקבוק תבערה],סוג הנשק [מטען חבלה],סוג הנשק [רימון רסס],סוג הנשק [רימון הלם/גז],סוג הנשק [טיל לאו ],סוג הנשק [טיל מטאדור],סוג הנשק [רובה צייד],סוג הנשק [רובה צלפים],סוג הנשק [מטען חבלה מאולתר],סוג הנשק [רובה סער ],סוג הנשק [רובה סער מאולתר],סוג הנשק - אם לא נמצא בטבלה,עבר פלילי,חרטה,אופן קבלת הנשק,כסף ששולם,סטטוס הנשק,מכירה לסוכן,כמות תחמושת,אופן החזקת הנשק,תכנון,מטרה-סיבת העבירה,שימוש,נזק,בריחה,עונש,מספר עבירה_mapped,סוג עבירה_mapped,אופן קבלת הנשק_mapped,כסף ששולם_mapped,כמות תחמושת_mapped,אופן החזקת הנשק_mapped,מטרה-סיבת העבירה_mapped,שימוש_mapped,נזק_mapped,עונש_mapped
GT,ME-09-05-16192-355,כן,144 ב,"נשיאת נשק, הובלת נשק",,,1,,,,,,,,,,,,,,כן,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 10 כדורים,ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,20 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,10,['ברכב'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",20 חודשים
GT,ME-09-06-10774-130,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,,,לא,כן,,,תקין,לא,ללא,ברכב,לא,,לא,לא נגרם נזק,לא,6 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",,,,['ברכב'],,לא,['לא נגרם נזק'],6 חודשים
GT,ME-09-11-7566-913,כן,"144 א, 144 ב",ביצוע עבירות בנשק,,1,,,,,,,,,,,,,,,לא,כן,מצא,,תקול,לא,ללא,ברכב,לא,,לא,לא נגרם נזק,לא,6 חודשים בעבודות שירות,"['144א', '144ב']",,מצא,,,['ברכב'],,לא,['לא נגרם נזק'],6 חודשים בעבודות שירות
GT,ME-10-08-17917-313,כן,,החזקה נשק,,1,,,,,,,,,,,,,,,לא,כן,,,נשק מופרד מתחמושת,לא,3 כדורים,מוסלק - מוסתר,לא,הגנה עצמית,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים בעבודות שירות,,['החזקת נשק'],,,3,['מוסלק-מוסתר'],הגנה עצמית,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים בעבודות שירות
GT,ME-12-03-13401-281,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",יריות באזור מגורים - עבירה לפי סעיף 340א לחוק.,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם כדור בקנה,לא,"2 מחסניות ובהן כדורים, 11 כדורים",ברכב,לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,20 חודשים,"['144א', '144ב']","['הובלת נשק', 'החזקת נשק', 'נשיאת נשק', 'ירי באזור מגורים']",,,11,['ברכב'],,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",20 חודשים
GT,ME-12-03-15148-775,כן,144 א,החזקה נשק,"שינוי זהות של כלי רכב, עבירה לפי סעיף 413ט' לחוק העונשין, תשל""ז - 1977.",2,,,,,,,,,,,,,,משתיק קול,לא,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 11 כדורים,ברכב,כן,,לא,לא נגרם נזק,לא,3 שנים,['144א'],['החזקת נשק'],,,11,['ברכב'],,לא,['לא נגרם נזק'],36 חודשים
GT,ME-12-04-33577-700,לא,"144 א, 144 ב","החזקה נשק, נשיאת נשק","חבלה בכוונה מחמירה, עבירה לפי סעיף 329(א)(2) לחוק העונשין ויריות באזור מגורים, עבירה לפי סעיף 340(א) לחוק העונשין.",1,,,,,,,,,,,,,,,כן,לא,,,תקין,לא,ללא,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,4 שנים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק', 'ירי באזור מגורים']",,,,['על גופו'],סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",48 חודשים
GT,ME-12-05-33444-999,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם מחסנית בהכנס,לא,3 מחסניות,"ברכב, מוסלק - מוסתר",לא,הגנה עצמית,לא,לא נגרם נזק,לא,"500 שעות של""צ",['144א'],['החזקת נשק'],,,60,"['ברכב', 'מוסלק-מוסתר']",הגנה עצמית,לא,['לא נגרם נזק'],"500 של""צ"
GT,ME-12-09-51207-971,כן,"144 א, 144 ב","החזקה נשק, ייצור נשק",יריות באזור מגורים - עבירה לפי סעיף 340א לחוק.,,,,,,,,,,,,,,,,לא,כן,ייצר,,נשק עם כדור בקנה,לא,ללא,בבית,לא,חתונה,"כן,ירי","לא נגרם נזק, פוטנציאל נזק קטן",לא,,"['144א', '144ב']","['החזקת נשק', 'ירי באזור מגורים']",ייצר,,,['בבית'],חגיגה,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק מועט']",
GT,ME-13-02-28360-614,כן,144 ב,נשיאת נשק,"הפרעה לשוטר במילוי תפקידו,נהיגה ללא רישיון,נהיגה ללא ביטוח',נהיגה תחת השפעת משקאות משכרים",1,,,,,,,,,,,,,,,לא,כן,,,נשק עם כדור בקנה,לא,ללא,ברכב,לא,,"כן,ירי",לא נגרם נזק,כן,6 חודשים בעבודות שירות,['144ב'],['נשיאת נשק'],,,,['ברכב'],,['כן-ירי'],['לא נגרם נזק'],6 חודשים בעבודות שירות
GT,ME-13-04-35007-454,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם מחסנית בהכנס,לא,ללא,על גופו,כן,סכסוך,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,9 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",,,,['על גופו'],סכסוך,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",9 חודשים
GT,ME-13-10-28139-807,כן,144 א,ביצוע עבירות בנשק,ניסיון לחבלה חמורה בנסיבות מחמירות לפי סעיפים 333+335(א)(1) ו-25 לפי החוק.,1,,,,,,,,,,,,,,,לא,כן,,,תקין,לא,ללא,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,4 שנים,['144א'],,,,,['על גופו'],סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",48 חודשים
GT,ME-13-10-53169-537,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,,,לא,לא,,,נשק עם מחסנית בהכנס,לא,מחסנית ריקה ובה 0 כדורים + 2 כדורים + 17 כדורים,על גופו,כן,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים,['144ב'],['נשיאת נשק'],,,19,['על גופו'],,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים
GT,ME-14-02-51828-88,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,,,,,,,,2,,,,,,לא,כן,,,תקין,לא,ללא,ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים בעבודות שירות,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,,['ברכב'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים בעבודות שירות
GT,ME-14-03-48488-922,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",היזק בזדון בחומר נפיץ,,,,,1,,,,,,,,,,,כן,כן,ייצר,,תקין,לא,ללא,על גופו,כן,בצע כסף,הפעלת מטען,נגרם נזק,לא,42 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",ייצר,,,['על גופו'],בצע כסף,['הפעלת מטען'],['נגרם נזק'],42 חודשים
GT,ME-14-07-13179-197,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","ירי באזור מגורים, לפי סעיף 340א לחוק; שיבוש מהלכי משפט, לפי סעיף 244 לחוק; הפרת הוראה חוקית, לפי סעיף 287(א) לחוק; גניבה, לפי סעיף 384 לחוק; ואיומים, לפי סעיף 192 לחוק.",1,,,,,,,,,,,,,,,כן,כן,מאחר,,נשק עם כדור בקנה,לא,3 מחסניות,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,24 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק', 'ירי באזור מגורים']",מאחר,,60,['על גופו'],סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",24 חודשים
GT,ME-14-10-31218-522,כן,144 א,החזקה נשק,,,,,,,,1,,,,,,,,,כן,כן,,,תקין,לא,ללא,על גופו,לא,,זריקת רימון,"לא נגרם נזק, פוטנציאל נזק קטן",לא,9 חודשים,['144א'],['החזקת נשק'],,,,['על גופו'],,['זריקת רימון'],"['לא נגרם נזק', 'פוטנציאל נזק מועט']",9 חודשים
GT,ME-14-11-7498-539,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק, ניסיון לסחר","עבירות של קשירת קשר לביצוע פשע, גניבה,",,,,,,,,,,,,,2,,,לא,כן,מאחר,,נשק עם מחסנית בהכנס,לא,מחסנית ובה 29 כדורים,"ברכב, מוסלק - מוסתר",כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים,"['144א', '144ב']","['הובלת נשק', 'החזקת נשק', 'ניסיון לסחר בנשק', 'נשיאת נשק']",מאחר,,29,"['ברכב', 'מוסלק-מוסתר']",בצע כסף,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים
GT,ME-14-12-6904-57,כן,144 ב,"נשיאת נשק, הובלת נשק",החזקת סם לצריכה עצמית,,,1,,,,,,,,,,,,,לא,לא,רכש,"קנה ב 4,000 שקל",נשק מופרד מתחמושת,לא,מחסנית,"בבית, על גופו, מוסלק - מוסתר",כן,הגנה עצמית,לא,לא נגרם נזק,לא,18 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",רכש,4000,20,"['בבית', 'מוסלק-מוסתר', 'על גופו']",הגנה עצמית,,['לא נגרם נזק'],18 חודשים
GT,ME-15-02-9111-399,כן,144 א,,,1,,,,,,,,,,,,,,,לא,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 13 כדורים,על גופו,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,10 חודשים,['144א'],,,,13,['על גופו'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",10 חודשים
GT,ME-15-03-29911-554,כן,"144 א, 144 ב",ביצוע עבירות בנשק,,1,,,,,,,,,,,,,,,כן,כן,,,נשק עם כדור בקנה,לא,"מחסנית ובה 12 כדורים, מחסנית, 20 כדורים, 24 כדורים","ברכב, על גופו",לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,28 חודשים,"['144א', '144ב']",,,,76,"['ברכב', 'על גופו']",,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",28 חודשים
GT,ME-15-06-12109-344,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,,,כן,כן,,,תקין,לא,ללא,ברכב,כן,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,9 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,,['ברכב'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",9 חודשים
GT,ME-15-08-44579-251,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,,,כן,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 0 כדורים,"ברכב, מוסלק - מוסתר",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,12 חודשים,['144ב'],['נשיאת נשק'],,,,"['ברכב', 'מוסלק-מוסתר']",,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",12 חודשים
GT,ME-15-09-40313-52,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,,,2,,,,,,,,,,,,,כן,כן,,,נשק עם מחסנית בהכנס,לא,2 מחסניות + 39 כדורים + 8 כדורים,"ברכב, מוסלק - מוסתר",לא,תדמית,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,18 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",,,87,"['ברכב', 'מוסלק-מוסתר']",תדמית,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",18 חודשים
GT,ME-15-11-45465-294,כן,144 ב,"נשיאת נשק, סחר בנשק",,,2,,,,,,,,,,,,,,כן,כן,,"מכר ב 8,000 שקל",נשק מופרד מתחמושת,כן,3 מחסניות,ברכב,כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,24 חודשים,['144ב'],"['נשיאת נשק', 'סחר בנשק']",,8000,60,['ברכב'],בצע כסף,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",24 חודשים
GT,ME-15-12-39071-113,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,,,כן,כן,,,תקין,לא,ללא,"ברכב, מוסלק - מוסתר",לא,הגנה עצמית,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים בעבודות שירות,['144א'],['החזקת נשק'],,,,"['ברכב', 'מוסלק-מוסתר']",הגנה עצמית,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים בעבודות שירות
GT,ME-16-01-189-123,כן,"144 א, 144 ב","נשיאת נשק, הובלת נשק, רכישת נשק",קשירת קשר לסחר בסם מסוכן,,,1,,,,,,,,,,,,,כן,כן,רכש,,נשק מופרד מתחמושת,לא,מחסנית ריקה ובה 0 כדורים + 50 כדורים,"ברכב, מוסלק - מוסתר",לא,ציד,לא,"לא נגרם נזק, פוטנציאל נזק קטן",לא,26 חודשים,"['144א', '144ב']","['הובלת נשק', 'נשיאת נשק']",רכש,,50,"['ברכב', 'מוסלק-מוסתר']",ציד,לא,"['לא נגרם נזק', 'פוטנציאל נזק מועט']",26 חודשים
GT,ME-16-01-31498-921,כן,144 ב,"נשיאת נשק, הובלת נשק","עבירות של גניבה, לפי סעיף 384 לחוק העונשין תשל""ז-1977 להלן: ""חוק העונשין"")",,,,,,4,3,,,,,,,,,כן,כן,גנב,,תקין,לא,ללא,באוטובוס,כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק קטן",לא,18 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",גנב,,,['ברכב'],בצע כסף,לא,"['לא נגרם נזק', 'פוטנציאל נזק מועט']",18 חודשים
